ID	Year	Areal_a	Q_a	Makva_a	Mjordbr_a	Mbefolkn_a	Mind_a	Mnatur_a	Msum_a	Mantropog_a	C_a	Status_a	Mfjell_a	Mskog_a	Minnsjo_a	Mbebygd_a	Komnr	Mspredt_a	Mtett_a
001.10	2015	2499.82	44.769	0	7.108	6.96	6.4	5.048	25.517	20.469	18.073	3	1.782	2.084	1.182	0.626	101	1.124	5.21
001.1A1	2015	779.12	16.664	0	0.803	0.133	0	2.416	3.351	0.935	6.376	1	1.746	0.393	0.277	0.015	101	0.114	0.003
001.1A20	2015	777.96	16.645	0	0.803	0.133	0	2.413	3.348	0.935	6.378	1	1.746	0.39	0.277	0.015	101	0.114	0.003
001.1A2A	2015	57.89	0.814	0	0.273	0.043	0	0.179	0.495	0.316	19.296	3	0	0.087	0.092	0.004	101	0.039	0
001.1A2B	2015	40.49	0.569	0	0.171	0.028	0	0.344	0.543	0.199	30.229	4	0	0.099	0.245	0.003	101	0.024	0
001.1A3	2015	719.72	15.827	0	0.53	0.09	0	2.233	2.852	0.619	5.714	1	1.746	0.302	0.185	0.011	101	0.075	0.003
001.1A40	2015	702.96	15.591	0	0.401	0.073	0	2.523	2.997	0.474	6.096	1	2.03	0.296	0.197	0.012	101	0.057	0.004
001.1A4A	2015	60.89	0.978	0	0.064	0.009	0	0.168	0.24	0.073	7.794	2	0.012	0.119	0.036	0	101	0.009	0
001.1A4B	2015	25.69	0.4	0	0.045	0.006	0	0.111	0.162	0.052	12.866	3	0	0.075	0.035	0	101	0.006	0
001.1A4C	2015	22.89	0.358	0	0.045	0.006	0	0.093	0.145	0.052	12.841	3	0	0.068	0.025	0	101	0.006	0
001.1A4D	2015	7.92	0.13	0	0	0	0	0.043	0.043	0	10.458	2	0	0.023	0.02	0	101	0	0
001.1A5	2015	629.7	14.44	0	0.114	0.033	0	2.307	2.453	0.146	5.386	1	2.017	0.136	0.153	0.012	101	0.016	0.004
001.1A6	2015	623.83	14.323	0	0.076	0.027	0	2.275	2.379	0.104	5.266	1	2.01	0.124	0.141	0.012	101	0.011	0.004
001.1B	2015	623.48	14.315	0	0.076	0.027	0	2.274	2.377	0.104	5.266	1	2.009	0.124	0.141	0.012	101	0.011	0.004
001.1C	2015	508.58	11.488	0	0.076	0.027	0	1.828	1.932	0.104	5.332	1	1.564	0.122	0.141	0.012	101	0.011	0.004
