ID	Year	Areal_a	Q_a	Makva_a	Mjordbr_a	Mbefolkn_a	Mind_a	Mnatur_a	Msum_a	Mantropog_a	C_a	Status_a	Mfjell_a	Mskog_a	Minnsjo_a	Mbebygd_a	Komnr	Mspredt_a	Mtett_a
001.1D	2015	507.84	11.47	0	0.076	0.027	0	1.825	1.929	0.104	5.333	1	1.562	0.122	0.141	0.012	101	0.011	0.004
001.1E	2015	281.76	6.173	0	0.076	0.027	0	0.99	1.094	0.104	5.618	1	0.726	0.122	0.141	0.012	101	0.011	0.004
001.1F	2015	202.86	4.232	0	0.076	0.027	0	0.684	0.788	0.104	5.901	1	0.42	0.122	0.141	0.012	101	0.011	0.004
001.1G	2015	148.19	2.888	0	0.076	0.027	0	0.472	0.576	0.104	6.321	1	0.208	0.122	0.141	0.012	101	0.011	0.004
001.1H	2015	146.24	2.84	0	0.076	0.027	0	0.464	0.568	0.104	6.343	1	0.201	0.122	0.141	0.012	101	0.011	0.004
001.1J	2015	115.66	2.087	0	0.076	0.027	0	0.346	0.449	0.104	6.827	1	0.082	0.122	0.141	0.012	101	0.011	0.004
001.1K	2015	70.59	1.243	0	0.081	0.011	0	0.205	0.297	0.092	7.577	2	0.032	0.08	0.094	0	101	0.011	0
001.1L	2015	53.34	0.919	0	0	0	0	0.406	0.406	0	13.99	3	0.043	0.098	0.265	0	118	0	0
001.1M	2015	15.38	0.252	0	0	0	0	0.12	0.12	0	15.081	3	0	0.041	0.079	0	101	0	0
001.21	2015	1720.16	28.096	0	6.306	6.828	6.4	2.63	22.164	19.534	25.014	4	0.036	1.689	0.905	0.612	101	1.01	5.207
001.2210	2015	1719.94	28.094	0	6.306	6.828	6.4	2.63	22.163	19.534	25.016	4	0.036	1.689	0.905	0.612	101	1.01	5.207
001.221Z	2015	1.68	0.024	0	0.007	0.001	0	0.004	0.012	0.008	16.221	3	0	0.004	0	0	101	0.001	0
001.2220	2015	1713.28	28	0	6.269	6.823	6.4	2.613	22.104	19.491	25.032	4	0.034	1.674	0.905	0.612	101	1.004	5.207
001.222Z	2015	6.21	0.087	0	0.057	0.008	0	0.017	0.082	0.065	29.948	4	0	0.017	0	0	101	0.008	0
001.2230	2015	1702.7	27.851	0	6.189	6.797	6.4	2.584	21.97	19.386	25.013	4	0.032	1.647	0.905	0.612	101	0.993	5.193
001.223Z	2015	8.45	0.119	0	0.154	0.022	0	0.028	0.204	0.176	54.54	5	0	0.028	0	0	101	0.022	0
001.224	2015	1688.97	27.665	0	5.964	6.765	6.4	2.54	21.669	19.129	24.837	4	0.032	1.603	0.905	0.612	101	0.961	5.193
001.22Z	2015	22.37	0.314	0	0.88	0.19	0	0.102	1.172	1.069	118.14	5	0	0.102	0	0.064	101	0.125	0
001.2Z	2015	26.6	0.405	0	0.189	0.027	0	0.082	0.298	0.216	23.314	4	0	0.075	0.007	0	101	0.027	0
001.310	2015	1633.94	26.86	0	4.869	6.504	6.4	2.342	20.115	17.773	23.747	4	0.031	1.413	0.898	0.507	101	0.805	5.193
001.31Z	2015	19.37	0.272	0	0.87	5.303	0	0.095	6.268	6.173	729.935	5	0	0.095	0	0.059	101	0.124	5.12
001.320	2015	1613.56	26.573	0	3.992	1.185	6.4	2.245	13.822	11.577	16.493	3	0.031	1.316	0.898	0.433	101	0.68	0.073
001.32Z	2015	2.82	0.036	0	0.169	0.034	0	0.016	0.219	0.203	190.93	5	0	0.016	0	0.01	101	0.024	0
001.33	2015	1609.13	26.516	0	3.806	1.138	6.4	2.224	13.568	11.343	16.225	3	0.031	1.295	0.898	0.411	101	0.654	0.073
001.3Z	2015	17.33	0.223	0	0.795	0.117	0	0.087	0.998	0.912	141.783	5	0	0.087	0	0.004	101	0.113	0
001.A1	2015	1588.28	26.243	0	2.939	1.001	6.4	2.123	12.463	10.34	15.059	3	0.031	1.194	0.898	0.398	101	0.53	0.073
001.A2	2015	1587.85	26.238	0	2.939	0.985	6.4	2.122	12.447	10.325	15.043	3	0.031	1.194	0.898	0.383	101	0.53	0.073
001.A3	2015	1580.27	26.123	0	2.851	0.734	6.4	2.11	12.096	9.986	14.683	3	0.031	1.181	0.898	0.144	101	0.518	0.073
001.A4	2015	1579.73	26.116	0	2.851	0.726	6.4	2.11	12.087	9.977	14.676	3	0.031	1.181	0.898	0.136	101	0.518	0.073
001.A5	2015	1578.96	26.105	0	2.848	0.699	0	2.109	5.656	3.547	6.87	1	0.031	1.18	0.898	0.11	101	0.517	0.073
001.A6	2015	1577.78	26.088	0	4.221	1.025	0	3.142	8.388	5.245	10.195	2	0.046	1.756	1.34	0.149	101	0.768	0.108
001.A7	2015	1575.79	26.058	0	4.177	0.977	0	3.137	8.29	5.154	10.088	2	0.046	1.751	1.34	0.107	101	0.761	0.108
001.A8	2015	1574.25	26.036	0	4.107	0.945	0	3.128	8.18	5.052	9.962	2	0.046	1.744	1.338	0.085	101	0.751	0.108
001.B10	2015	1574.05	26.034	0	4.107	0.942	0	3.125	8.174	5.049	9.956	2	0.046	1.744	1.336	0.082	101	0.751	0.108
001.B1A	2015	61.23	0.864	0	0.014	0.002	0	0.147	0.163	0.016	5.992	1	0	0.051	0.096	0	101	0.002	0
001.B1B1	2015	61.03	0.861	0	0.014	0.002	0	0.147	0.163	0.016	5.992	1	0	0.05	0.096	0	101	0.002	0
001.B1B2	2015	57.4	0.81	0	0.043	0.006	0	0.378	0.428	0.05	16.738	3	0	0.132	0.246	0	101	0.006	0
001.B1B3	2015	56.38	0.797	0	0.043	0.006	0	0.371	0.42	0.05	16.728	3	0	0.13	0.241	0	101	0.006	0
001.B1B4	2015	55.77	0.79	0	0.043	0.006	0	0.364	0.413	0.05	16.597	3	0	0.129	0.235	0	101	0.006	0
001.B1C	2015	13.13	0.19	0	0	0	0	0.084	0.084	0	13.955	3	0	0.026	0.057	0	101	0	0
001.B1D	2015	10.88	0.156	0	0	0	0	0.077	0.077	0	15.701	3	0	0.02	0.057	0	101	0	0
001.B1E	2015	2.73	0.042	0	0	0	0	0.012	0.012	0	9.42	2	0	0.007	0.005	0	101	0	0
001.B21	2015	1508.11	25.115	0	4.079	0.936	0	2.905	7.919	5.014	9.998	2	0.046	1.686	1.173	0.08	101	0.747	0.108
001.B22	2015	1480.22	24.723	0	3.687	0.868	0	2.623	7.177	4.555	9.206	2	0.044	1.606	0.972	0.068	101	0.692	0.108
001.B2A	2015	45.85	0.718	0	0.329	0.047	0	0.131	0.507	0.375	22.371	4	0	0.119	0.012	0	101	0.047	0
001.B2B	2015	26.06	0.417	0	0.078	0.011	0	0.1	0.19	0.09	14.444	3	0	0.082	0.018	0	101	0.011	0
001.B2C	2015	21.56	0.354	0	0.006	0.001	0	0.07	0.077	0.007	6.87	1	0	0.067	0.003	0	101	0.001	0
001.B3	2015	1391.59	23.403	0	3.139	0.79	0	2.24	6.169	3.929	8.358	2	0.044	1.371	0.825	0.068	101	0.614	0.108
001.B4	2015	1390.25	23.384	0	3.27	0.823	0	2.328	6.421	4.093	8.707	2	0.046	1.425	0.858	0.071	101	0.639	0.113
001.B5	2015	1389.3	23.371	0	3.27	0.823	0	2.324	6.417	4.093	8.707	2	0.046	1.422	0.856	0.071	101	0.639	0.113
001.B6	2015	1386.95	23.335	0	3.555	0.894	0	2.519	6.968	4.449	9.468	2	0.049	1.539	0.931	0.077	101	0.695	0.123
001.B7	2015	1384.12	23.292	0	3.555	0.894	0	2.511	6.96	4.449	9.475	2	0.047	1.534	0.931	0.077	118	0.695	0.123
001.B8	2015	1370.48	23.068	0	5.006	1.259	0	3.428	9.694	6.266	13.325	3	0.064	2.107	1.256	0.108	101	0.978	0.173
001.C1	2015	1368.76	23.042	0	4.988	1.257	0	3.416	9.66	6.245	13.294	3	0.064	2.102	1.25	0.108	118	0.976	0.173
001.C2	2015	1347.33	22.691	0	4.988	1.257	0	3.293	9.538	6.245	13.329	3	0.064	2.042	1.187	0.108	118	0.976	0.173
001.C31	2015	1343.41	22.631	0	4.95	1.247	0	3.268	9.464	6.197	13.261	3	0.064	2.027	1.177	0.108	118	0.966	0.173
001.C32	2015	1335.61	22.521	0	4.949	1.247	0	3.201	9.397	6.196	13.231	3	0.064	2.01	1.127	0.108	118	0.966	0.173
001.C3A	2015	37.36	0.687	0	0.061	0.016	0	0.111	0.188	0.076	8.675	2	0.037	0.062	0.012	0	118	0.016	0
001.C3B1	2015	25.1	0.485	0	0	0	0	0.073	0.073	0	4.774	1	0.044	0.022	0.008	0	118	0	0
001.C3B2	2015	24.14	0.467	0	0	0	0	0.07	0.07	0	4.741	1	0.043	0.02	0.008	0	118	0	0
001.C3C1	2015	11.77	0.221	0	0	0	0	0.031	0.031	0	4.448	1	0.004	0.02	0.008	0	118	0	0
001.C3C2	2015	6.12	0.122	0	0	0	0	0.024	0.024	0	6.116	1	0.014	0.006	0.004	0	118	0	0
001.C4	2015	1284.28	21.622	0	4.761	1.198	0	2.957	8.915	5.959	13.075	3	0.027	1.9	1.03	0.108	118	0.917	0.173
001.C5	2015	1264	21.313	0	4.51	1.133	0	2.816	8.459	5.643	12.586	3	0.027	1.816	0.973	0.108	118	0.853	0.173
001.C6	2015	1260.43	21.259	0	6.226	1.523	0	3.875	11.624	7.749	17.338	3	0.037	2.505	1.332	0.15	118	1.174	0.198
001.D1	2015	1256.09	21.188	0	6.223	1.522	0	3.849	11.593	7.744	17.35	3	0.037	2.493	1.319	0.15	118	1.173	0.198
001.D2	2015	1208.39	20.461	0	5.665	1.378	0	3.563	10.606	7.043	16.437	3	0.036	2.295	1.232	0.15	118	1.03	0.198
001.D3	2015	1157.75	19.631	0	5.385	1.306	0	3.224	9.914	6.69	16.014	3	0.036	2.121	1.066	0.15	118	0.957	0.198
001.D4	2015	1155.56	19.595	0	5.358	1.299	0	3.214	9.87	6.657	15.973	3	0.036	2.112	1.066	0.15	118	0.95	0.198
001.E1	2015	1154.66	19.581	0	5.334	1.293	0	3.208	9.835	6.627	15.927	3	0.035	2.106	1.066	0.15	119	0.944	0.198
001.E2	2015	1122.6	19.131	0	5.096	1.264	0	3.065	9.425	6.359	15.622	3	0.028	2.003	1.035	0.15	118	0.915	0.198
001.E31	2015	1104.02	18.869	0	5.054	1.253	0	3.013	9.32	6.307	15.662	3	0.018	1.96	1.035	0.15	119	0.905	0.198
001.E32	2015	1093.5	18.734	0	4.884	1.233	0	2.966	9.083	6.117	15.374	3	0.013	1.919	1.035	0.15	119	0.884	0.198
001.E3A	2015	28.98	0.422	0	0.437	0.09	0	0.157	0.684	0.527	51.417	5	0	0.121	0.035	0.037	119	0.053	0
001.E3B	2015	27.27	0.398	0	0.353	0.078	0	0.141	0.573	0.432	45.687	4	0	0.106	0.035	0.035	119	0.043	0
001.E3C	2015	12.18	0.185	0	0.069	0.009	0	0.048	0.126	0.078	21.556	4	0	0.043	0.005	0.001	119	0.008	0
001.E4	2015	1063.64	18.3	0	4.436	0.984	0	2.807	8.226	5.42	14.254	3	0.012	1.795	1	0.095	119	0.83	0.059
001.F11	2015	1008.44	17.459	0	7.24	1.629	0	4.46	13.329	8.869	24.208	4	0.004	2.8	1.656	0.149	119	1.378	0.102
001.F12	2015	949.04	16.415	0	6.483	1.521	0	3.972	11.976	8.005	23.135	4	0.002	2.542	1.428	0.133	119	1.286	0.102
001.F1A	2015	44.22	0.87	0	0.154	0.019	0	0.19	0.363	0.173	13.242	3	0	0.148	0.042	0	119	0.019	0
001.F1B	2015	20.4	0.395	0	0	0	0	0.089	0.089	0	7.165	2	0	0.053	0.037	0	119	0	0
001.F1C	2015	9.21	0.173	0	0	0	0	0.043	0.043	0	7.959	2	0	0.031	0.012	0	121	0	0
001.F2	2015	902.08	15.501	0	6.329	1.503	0	3.76	11.592	7.832	23.715	4	0.001	2.387	1.372	0.133	119	1.268	0.102
001.F3	2015	829.55	14.226	0	5.288	1.376	0	3.138	9.802	6.664	21.849	4	0.001	2.055	1.082	0.132	221	1.142	0.102
001.F4	2015	819.28	14.046	0	5.222	1.364	0	3.069	9.655	6.586	21.797	4	0.001	2.017	1.051	0.132	221	1.13	0.102
001.F5	2015	815.62	13.986	0	5.222	1.364	0	3.04	9.626	6.586	21.824	4	0.001	2.007	1.031	0.132	221	1.13	0.102
001.F6	2015	814.47	13.967	0	5.204	1.361	0	3.034	9.599	6.565	21.793	4	0.001	2.002	1.031	0.132	221	1.127	0.102
001.FA	2015	264.92	4.599	0	0.28	0.095	0	0.824	1.199	0.375	8.268	2	0	0.406	0.418	0	221	0.061	0.034
001.FB	2015	246.31	4.272	0	0.214	0.118	0	1.553	1.885	0.332	13.992	3	0	0.682	0.87	0	221	0.046	0.071
001.FC11	2015	169.02	2.914	0	0.177	0.11	0	1.011	1.297	0.287	14.117	3	0	0.452	0.559	0	221	0.038	0.071
001.FC12	2015	160.98	2.792	0	0.191	0.121	0	1.038	1.351	0.312	15.341	3	0	0.487	0.551	0	221	0.041	0.08
001.FC1A	2015	16.71	0.302	0	0	0	0	0.095	0.095	0	9.943	2	0	0.044	0.051	0	221	0	0
001.FC1B	2015	13.66	0.244	0	0	0	0	0.081	0.081	0	10.495	2	0	0.033	0.048	0	221	0	0
001.FC1C	2015	3.81	0.071	0	0	0	0	0.017	0.017	0	7.393	2	0	0.013	0.004	0	221	0	0
001.FC2	2015	95.18	1.627	0	0.095	0.021	0	0.631	0.746	0.116	14.543	3	0	0.286	0.345	0	221	0.021	0
001.FD	2015	56.72	0.997	0	0.065	0.014	0	0.261	0.341	0.079	10.837	2	0	0.188	0.073	0	221	0.014	0
001.G0	2015	548.24	9.343	0	4.916	1.265	0	2.204	8.385	6.181	28.458	4	0.001	1.59	0.614	0.132	221	1.065	0.068
001.GA0	2015	171.01	2.981	0	1.76	0.403	0	1.01	3.173	2.162	33.754	4	0.001	0.598	0.412	0.021	221	0.381	0
001.GAA	2015	68.04	1.275	0	0.609	0.138	0	0.312	1.059	0.747	26.324	4	0	0.278	0.034	0.006	221	0.132	0
001.GAB	2015	12.21	0.229	0	0	0	0	0.069	0.069	0	9.622	2	0	0.04	0.029	0	221	0	0
001.GB	2015	94.92	1.573	0	0.923	0.209	0	0.635	1.768	1.133	35.628	4	0.001	0.275	0.36	0.009	221	0.2	0
001.GC	2015	90.21	1.496	0	1.055	0.229	0	0.788	2.072	1.284	43.928	4	0.001	0.328	0.459	0	221	0.229	0
001.GD	2015	7.07	0.133	0	0.1	0.022	0	0.034	0.156	0.122	37.264	4	0	0.034	0	0	221	0.022	0
001.H1	2015	365.36	6.168	0	3.013	0.831	0	1.143	4.987	3.844	25.641	4	0	0.941	0.201	0.111	221	0.652	0.068
001.H2	2015	330.16	5.549	0	2.887	0.809	0	1.125	4.821	3.696	27.548	4	0	0.902	0.223	0.129	221	0.625	0.054
001.H3	2015	280.22	4.672	0	1.886	0.549	0	0.852	3.287	2.435	22.31	4	0	0.646	0.206	0.086	221	0.408	0.054
001.H4	2015	278.85	4.651	0	1.872	0.546	0	0.842	3.259	2.418	22.221	4	0	0.641	0.2	0.086	221	0.405	0.054
001.J1	2015	278.42	4.644	0	1.855	0.542	0	0.834	3.231	2.397	22.062	4	0	0.639	0.195	0.086	221	0.402	0.054
001.J2	2015	277	4.623	0	3.087	0.906	0	1.391	5.383	3.993	36.926	4	0.001	1.07	0.32	0.145	221	0.668	0.092
001.J3	2015	275.63	4.604	0	3.034	0.894	0	1.376	5.304	3.928	36.533	4	0.001	1.062	0.314	0.145	221	0.657	0.092
001.J4	2015	257.95	4.334	0	2.765	0.836	0	1.236	4.837	3.601	35.384	4	0.001	0.989	0.246	0.145	221	0.599	0.092
001.K110	2015	226.39	3.78	0	2.364	0.643	0	1.043	4.051	3.007	33.984	4	0.001	0.853	0.19	0.131	221	0.512	0
001.K11A	2015	17.87	0.299	0	0.036	0.011	0	0.085	0.133	0.047	14.059	3	0	0.04	0.046	0.003	221	0.008	0
001.K11B	2015	10.85	0.184	0	0	0	0	0.062	0.062	0	10.727	2	0	0.02	0.042	0	221	0	0
001.K11C	2015	5.18	0.091	0	0	0	0	0.027	0.027	0	9.508	2	0	0.016	0.011	0	221	0	0
001.K12	2015	206.35	3.445	0	2.286	0.617	0	0.947	3.85	2.903	35.438	4	0.001	0.802	0.145	0.122	221	0.495	0
001.K1Z	2015	47.28	0.831	0	0.196	0.043	0	0.19	0.429	0.239	16.388	3	0	0.174	0.016	0	221	0.043	0
001.K2	2015	144.53	2.376	0	1.795	0.51	0	0.683	2.989	2.306	39.891	4	0.001	0.554	0.128	0.122	221	0.389	0
001.K3	2015	138.49	2.277	0	1.716	0.443	0	0.66	2.818	2.159	39.249	4	0	0.531	0.128	0.071	221	0.372	0
001.K41	2015	124.18	2.059	0	1.362	0.366	0	0.581	2.31	1.728	35.572	4	0	0.454	0.127	0.071	221	0.295	0
001.K42	2015	110.85	1.84	0	1.055	0.283	0	0.509	1.847	1.338	31.833	4	0	0.384	0.125	0.055	221	0.228	0
001.K4A	2015	55.35	0.93	0	0.958	0.263	0	0.285	1.506	1.221	51.35	5	0	0.253	0.032	0.055	221	0.208	0
001.K4B	2015	13.84	0.249	0	0	0	0	0.066	0.066	0	8.422	2	0	0.034	0.032	0	221	0	0
001.K4C	2015	5.22	0.098	0	0	0	0	0.029	0.029	0	9.54	2	0	0.017	0.012	0	221	0	0
001.L	2015	45.78	0.751	0	0.027	0.006	0	0.182	0.215	0.033	9.079	2	0	0.094	0.087	0	221	0.006	0
001.M	2015	23.99	0.393	0	0	0	0	0.095	0.095	0	7.648	2	0	0.072	0.022	0	236	0	0
002.1110	2015	42407.42	763.027	0	165.706	72.635	15.27	85.741	339.353	253.612	14.103	3	18.903	52.225	14.613	9.744	101	27.422	35.47
002.111Z	2015	29.73	0.351	0	1.159	0.165	0	0.134	1.458	1.324	131.602	5	0	0.132	0.002	0	101	0.165	0
002.1120	2015	42369.31	762.576	0	164.388	72.44	15.27	85.581	337.678	252.097	14.041	3	18.903	52.067	14.612	9.736	105	27.234	35.47
002.112Z	2015	7.15	0.084	0	0.341	0.047	0	0.036	0.424	0.388	159.147	5	0	0.036	0	0	105	0.047	0
002.1130	2015	42357.69	762.444	0	163.995	72.386	15.27	85.533	337.184	251.651	14.023	3	18.903	52.019	14.612	9.736	105	27.18	35.47
002.113Z	2015	26.61	0.343	0	1.263	0.173	0	0.138	1.574	1.436	145.57	5	0	0.136	0.002	0	105	0.173	0
002.114	2015	42325.9	762.04	0	162.721	72.193	15.27	85.385	335.569	250.184	13.964	3	18.902	51.873	14.609	9.717	105	27.006	35.469
002.1150	2015	42309.8	761.85	0	161.976	72.091	15.27	85.297	334.634	249.337	13.928	3	18.902	51.785	14.609	9.717	106	26.904	35.469
002.115Z	2015	3.8	0.049	0	0.166	0.008	0	0.018	0.192	0.174	124.419	5	0	0.018	0	0.001	106	0.007	0
002.1160	2015	42281.15	761.507	0	160.789	72.01	15.27	85.163	333.232	248.069	13.876	3	18.902	51.652	14.609	9.69	106	26.851	35.469
002.116Z	2015	2.52	0.027	0	0.084	0.006	0	0.01	0.1	0.09	116.934	5	0	0.01	0	0.003	106	0.004	0
002.1170	2015	42269.28	761.38	0	160.638	72	15.27	85.132	333.04	247.908	13.87	3	18.902	51.621	14.609	9.687	106	26.844	35.469
002.117Z	2015	2.53	0.03	0	0.156	0.014	0	0.015	0.184	0.169	195.447	5	0	0.015	0	0.007	106	0.007	0
002.1180	2015	42264.53	761.326	0	160.373	71.977	15.27	85.106	332.726	247.62	13.858	3	18.902	51.594	14.609	9.676	106	26.832	35.469
002.118Z	2015	2.94	0.035	0	0.151	0.007	0	0.016	0.173	0.158	158.301	5	0	0.015	0	0	106	0.007	0
002.1190	2015	42260.49	761.278	0	160.109	71.965	15.27	85.081	332.425	247.344	13.847	3	18.902	51.569	14.609	9.676	106	26.82	35.469
002.119Z	2015	3.19	0.038	0	0.109	0.005	0	0.013	0.128	0.115	107.517	5	0	0.013	0	0	106	0.005	0
002.11Z	2015	30.19	0.389	0	1.908	0.348	0	0.182	2.438	2.256	198.655	5	0	0.181	0	0.087	105	0.261	0
002.12	2015	42226.44	760.843	0	158.085	71.612	15.27	84.884	329.851	244.967	13.747	3	18.902	51.372	14.609	9.589	106	26.554	35.469
002.21	2015	42211.82	760.671	0	157.377	57.543	15.27	84.815	315.004	230.19	13.131	3	18.901	51.304	14.609	9.452	106	26.522	21.569
002.220	2015	42198.8	760.531	0	157.181	57.509	15.27	84.776	314.736	229.96	13.123	3	18.901	51.265	14.609	9.427	106	26.513	21.569
002.22Z	2015	6.24	0.074	0	0.175	0.008	0	0.023	0.206	0.183	88.614	5	0	0.023	0	0	106	0.008	0
002.2A	2015	116.66	1.639	0	5.373	0.75	0	0.629	6.751	6.123	130.578	5	0.007	0.562	0.06	0.565	106	0.175	0.01
002.2B	2015	87.86	1.268	0	4.84	0.214	0	0.553	5.607	5.055	140.186	5	0.002	0.495	0.056	0.053	106	0.151	0.01
002.2C	2015	38.71	0.582	0	2.429	0.056	0	0.293	2.778	2.485	151.358	5	0	0.237	0.056	0.014	135	0.042	0
002.31	2015	42071.97	758.775	0	151.618	56.749	15.27	84.115	307.752	223.637	12.861	3	18.894	50.672	14.549	8.86	106	26.33	21.559
002.320	2015	42069.82	758.764	0	151.617	56.749	15.27	84.113	307.749	223.636	12.861	3	18.894	50.67	14.549	8.86	106	26.33	21.559
002.32Z	2015	8.09	0.113	0	0.4	0.018	0	0.043	0.461	0.418	129.355	5	0	0.043	0	0	106	0.018	0
002.3Z	2015	5.04	0.054	0	0.068	0.017	0	0.013	0.097	0.085	57.102	5	0	0.013	0	0.013	106	0.003	0
002.41	2015	42038.04	758.477	0	150.752	56.687	15.27	84.009	306.718	222.709	12.823	3	18.893	50.567	14.549	8.837	111	26.291	21.559
002.42	2015	42001.9	758.127	0	150.348	56.632	15.27	83.927	306.178	222.25	12.806	3	18.89	50.488	14.549	8.803	111	26.27	21.559
002.43	2015	41994.83	758.097	0	150.21	56.617	15.27	83.912	306.009	222.097	12.8	3	18.887	50.475	14.549	8.795	111	26.263	21.559
002.44	2015	41988.06	758.031	0	150.184	56.616	15.27	83.9	305.97	222.07	12.799	3	18.882	50.469	14.549	8.795	111	26.261	21.559
002.A1	2015	41971.22	757.977	0	150.184	56.597	15.27	83.891	305.942	222.051	12.799	3	18.879	50.463	14.549	8.777	106	26.261	21.559
002.A20	2015	41962.85	757.869	0	150.009	56.348	15.27	83.873	305.5	221.627	12.782	3	18.876	50.448	14.549	8.535	106	26.253	21.559
002.A2A	2015	89.9	1.293	0	1.631	0.385	0	0.379	2.396	2.016	58.744	5	0.003	0.209	0.167	0.162	105	0.223	0
002.A2B	2015	57.91	0.847	0	0.607	0.09	0	0.206	0.903	0.697	33.834	4	0.001	0.124	0.082	0.007	105	0.083	0
002.A2C	2015	26.82	0.346	0	0.641	0.116	0	0.357	1.114	0.757	102.15	5	0	0.078	0.278	0.028	105	0.088	0
002.A3	2015	41856.15	756.36	0	148.024	55.604	15.27	83.442	302.34	218.898	12.675	3	18.869	50.2	14.373	8.03	106	26.015	21.559
002.A4	2015	41828.97	756.009	0	146.148	55.425	15.27	83.269	300.112	216.843	12.588	3	18.867	50.029	14.373	7.936	105	25.93	21.559
002.A51	2015	41818.13	755.858	0	145.893	51.562	0.27	83.246	280.97	197.725	11.787	3	18.865	50.007	14.373	7.557	105	25.895	18.109
002.A52	2015	41803.47	755.653	0	145.581	51.295	0.27	83.204	280.35	197.146	11.764	3	18.862	49.969	14.373	7.333	105	25.853	18.109
002.A5A	2015	170.47	2.23	0	1.45	0.201	0	0.512	2.163	1.651	30.765	4	0	0.3	0.212	0.026	128	0.146	0.029
002.A5B	2015	140.1	1.806	0	1.359	0.165	0	0.738	2.261	1.523	39.711	4	0	0.349	0.388	0.017	105	0.147	0
002.A5C	2015	87.94	1.133	0	0.888	0.083	0	0.345	1.317	0.971	36.837	4	0	0.23	0.116	0	128	0.083	0
002.A60	2015	41578.4	752.661	0	142.616	50.86	0.27	82.461	276.207	193.746	11.637	3	18.856	49.461	14.145	7.28	105	25.499	18.081
002.A6Z	2015	33.02	0.497	0	0.169	0.023	0	0.251	0.443	0.192	28.274	4	0	0.077	0.174	0	105	0.023	0
002.A7	2015	41513.53	751.72	0	141.794	50.55	0.27	82.022	274.636	192.614	11.585	3	18.847	49.296	13.88	7.082	128	25.387	18.081
002.A8	2015	41499.07	751.503	0	141.54	50.526	0.27	81.875	274.21	192.336	11.57	3	18.847	49.253	13.775	7.082	127	25.363	18.081
002.AA1	2015	468.19	7.13	0	9.259	1.902	0	2.485	13.645	11.16	60.682	5	0	2.27	0.215	0.123	128	1.454	0.325
002.AA2	2015	467.97	7.127	0	9.249	1.901	0	2.484	13.633	11.15	60.654	5	0	2.269	0.215	0.123	128	1.453	0.325
002.AA3	2015	467.59	7.122	0	9.24	1.899	0	2.482	13.62	11.139	60.642	5	0	2.267	0.215	0.123	128	1.451	0.325
002.AA4	2015	461.97	7.038	0	9.116	1.88	0	2.453	13.449	10.997	60.601	5	0	2.238	0.215	0.123	128	1.433	0.325
002.AA5	2015	446.26	6.784	0	8.375	1.767	0	2.32	12.462	10.142	58.248	5	0	2.105	0.215	0.123	128	1.32	0.325
002.AA6	2015	440.1	6.692	0	8.277	1.752	0	2.293	12.323	10.029	58.392	5	0	2.078	0.215	0.123	128	1.305	0.325
