station_id;year;Cd_tonnes;Cd_Est;Cu_tonnes;Cu_Est;Hg_kg;Hg_Est;Pb_tonnes;Pb_Est;Zn_tonnes;Zn_Est;Ag_tonnes;Ag_Est;As_tonnes;As_Est;Cr_tonnes;Cr_Est;Ni_tonnes;Ni_Est
30019;1990;0;0;0.447930996;0;0;0;0;0;7.465516595;0;0;1;0.083942624;1;0.221788056;1;0.194103431;1
30019;1991;0;0;0.193460313;0;0;0;0.096730157;0;9.673015664;0;0;1;0.072509232;1;0.191579449;1;0.167665605;1
30019;1992;0.01588474;0;0.156199942;0;0;0;0.063538959;0;1.728789188;0;0;1;0.059536257;1;0;0;0.148257572;0
30019;1993;0.049939356;0;0.097500647;0;0.237806455;0;0.111769034;0;4.584908455;0;0;1;0.045183226;0;0.225916132;0;0.116525163;0
30019;1994;0.033450526;0;0.286718792;0;0.477864653;0;0.210260447;0;5.352084118;0;0;1;0.090794284;0;0.453971421;0;0.23415368;0
30019;1995;0.028113788;0;0.240975327;0;0.401625545;0;0.17671524;0;4.498206102;0;0;1;0.076308854;0;0.381544268;0;0.196796517;0
30019;1996;0.016253802;0;0.216717355;0;0.406345041;0;0.13273938;0;0.704331404;0;0;1;0.06230624;0;0;0;0.216717355;0
30019;1997;0.016341885;0;0.163418846;0;0.272364743;0;0.089880365;0;3.023248648;0;0;1;0.08443307;0;0;0;0.19065532;0
30019;1998;0.011940058;0;0.238801151;0;0.398001919;0;0.214921036;0;3.263615736;0;0;1;0.095520461;0;0;0;0.278601343;0
30019;1999;0.017906605;0;0.428011525;0;0.449744861;1;0.100451684;0;2.445780144;0;0;1;0.021837323;0;0.200903369;0;0.524095745;0
30019;2000;0.016963606;0;0.388521307;0;0.563499213;1;0.131331146;0;3.556885207;0;0;1;0.136803277;0;0;0;0.279078685;0
30019;2001;0.007636618;0;0.19568833;0;0.491493629;1;0.033410203;0;0.572746333;0;0;1;0.081139064;0;0.124095039;0;0.100230608;0
30019;2002;0.008875748;0;0.119363502;0;0.315169197;1;0.091818078;0;1.744543488;0;0;1;0.079575668;0;0.042848437;0;0.159151336;0
30019;2003;0.015535179;0;0.251521946;0;0.380893704;1;0.13685753;0;2.515219463;0;0;1;0.110965565;0;0.070278191;0;0.203436868;0
30019;2004;0.01226319;1;0.237083781;1;0.406899744;1;0.146201665;1;1.387987073;1;0;1;0.102312941;1;0.100431324;1;0.205472611;1
30019;2005;0.007431412;1;0.151794371;1;0.260520101;1;0.093606529;1;0.761440497;1;0;1;0.066289566;1;0.057133715;1;0.131555122;1
30019;2006;0.012921333;1;0.279748744;1;0.480124332;1;0.172511725;1;1.168821068;1;0;1;0.123611201;1;0.092083961;1;0.242448911;1
30019;2007;0.008055797;1;0.185527544;1;0.318415329;1;0.114408652;1;0.61965407;1;0;1;0.08293523;1;0.05230846;1;0.160790539;1
30019;2008;0.011545624;1;0.284004247;1;0.487427924;1;0.175135952;1;0.710523066;1;0;1;0.128421762;1;0.066662108;1;0.246137014;1
30019;2009;0.010492587;1;0.276959139;1;0.475336618;1;0.170791469;1;0.46076348;1;0;1;0.126664845;1;0.051929839;1;0.240031254;1
30019;2010;0.006177984;1;0.175926093;1;0.301936648;1;0.108487757;1;0.145226739;1;0;1;0.081365818;1;0.024678521;1;0.152469281;1
30019;2011;0.007206507;1;0.222774433;1;0.382341041;1;0.137377567;1;0;1;0;1;0.104182408;1;0.020730399;1;0.193071175;1
30019;2012;0.006564993;1;0.221933792;1;0.380898273;1;0.136859171;1;0;1;0;1;0.104934172;1;0.010171965;1;0.192342619;1
