regine,type,year,name,unit,value
002.12,INDUSTRI,2001,Pb,tonn,0.0002389
002.12,INDUSTRI,2002,Cd,tonn,6.900000000000001e-05
002.12,INDUSTRI,2002,Hg,tonn,5.6e-06
002.12,INDUSTRI,2002,Pb,tonn,0.00013769999999999999
002.12,INDUSTRI,2005,As,tonn,0.000408
002.12,INDUSTRI,2005,Cd,tonn,4.7e-05
002.12,INDUSTRI,2005,Cu,tonn,0.000496
002.12,INDUSTRI,2005,Hg,tonn,1.5e-06
002.12,INDUSTRI,2005,Ni,tonn,0.000223
002.12,INDUSTRI,2005,Pb,tonn,0.000357
002.12,INDUSTRI,2005,Zn,tonn,0.0053419999999999995
002.12,INDUSTRI,2006,As,tonn,5.3e-05
002.12,INDUSTRI,2006,Cd,tonn,1.8e-05
002.12,INDUSTRI,2006,Cu,tonn,0.00013800000000000002
002.12,INDUSTRI,2006,Hg,tonn,2.0000000000000002e-07
002.12,INDUSTRI,2006,Ni,tonn,0.000112
002.12,INDUSTRI,2006,Pb,tonn,6.500000000000001e-05
002.12,INDUSTRI,2006,Zn,tonn,0.000748
002.12,INDUSTRI,2007,As,tonn,7.4e-05
002.12,INDUSTRI,2007,Cd,tonn,1.2e-05
002.12,INDUSTRI,2007,Cu,tonn,0.00011
002.12,INDUSTRI,2007,Hg,tonn,9e-07
002.12,INDUSTRI,2007,Ni,tonn,0.000479
002.12,INDUSTRI,2007,Pb,tonn,3.7e-05
002.12,INDUSTRI,2007,Zn,tonn,0.001373
002.12,INDUSTRI,2009,As,tonn,0.000221
002.12,INDUSTRI,2009,Cd,tonn,1.2e-05
002.12,INDUSTRI,2009,Cu,tonn,1.4e-05
002.12,INDUSTRI,2009,Hg,tonn,2.0000000000000002e-07
002.12,INDUSTRI,2009,Ni,tonn,0.000109
002.12,INDUSTRI,2009,Pb,tonn,4.8e-05
002.12,INDUSTRI,2009,Zn,tonn,0.002814
002.12,INDUSTRI,2010,As,tonn,0.00027600000000000004
002.12,INDUSTRI,2010,Cd,tonn,1.7e-05
002.12,INDUSTRI,2010,Cu,tonn,2.3e-05
002.12,INDUSTRI,2010,Hg,tonn,1e-06
002.12,INDUSTRI,2010,Ni,tonn,0.00010199999999999999
002.12,INDUSTRI,2010,Pb,tonn,8.400000000000001e-05
002.12,INDUSTRI,2010,Zn,tonn,0.0042320000000000005
002.12,INDUSTRI,2011,As,tonn,0.0001174
002.12,INDUSTRI,2011,Cd,tonn,2.52e-05
002.12,INDUSTRI,2011,Cu,tonn,1.73e-05
002.12,INDUSTRI,2011,Hg,tonn,3e-07
002.12,INDUSTRI,2011,Ni,tonn,0.0001219
002.12,INDUSTRI,2011,Pb,tonn,5.84e-05
002.12,INDUSTRI,2011,Zn,tonn,0.0030074999999999998
002.12,INDUSTRI,2012,As,tonn,0.000106
002.12,INDUSTRI,2012,Cd,tonn,3.0099999999999996e-05
002.12,INDUSTRI,2012,Cu,tonn,5.86e-05
002.12,INDUSTRI,2012,Hg,tonn,1e-07
002.12,INDUSTRI,2012,Ni,tonn,9.75e-05
002.12,INDUSTRI,2012,Pb,tonn,5.33e-05
002.12,INDUSTRI,2012,Zn,tonn,0.0015467
002.12,INDUSTRI,2013,As,tonn,0.0001459
002.12,INDUSTRI,2013,Cd,tonn,7.499999999999999e-06
002.12,INDUSTRI,2013,Cu,tonn,1.2699999999999999e-05
002.12,INDUSTRI,2013,Hg,tonn,1e-07
002.12,INDUSTRI,2013,Ni,tonn,9.039999999999999e-05
002.12,INDUSTRI,2013,Pb,tonn,2.94e-05
002.12,INDUSTRI,2013,Zn,tonn,0.001739
002.12,INDUSTRI,2014,As,tonn,7.000000000000001e-05
002.12,INDUSTRI,2014,Cd,tonn,4e-06
002.12,INDUSTRI,2014,Cu,tonn,2e-06
002.12,INDUSTRI,2014,Hg,tonn,4.0000000000000003e-07
002.12,INDUSTRI,2014,Ni,tonn,1.1299999999999999e-05
002.12,INDUSTRI,2014,Pb,tonn,1.76e-05
002.12,INDUSTRI,2014,Zn,tonn,0.00066
002.12,INDUSTRI,2016,As,tonn,0.0001976
002.12,INDUSTRI,2016,Cd,tonn,0.0002071
002.12,INDUSTRI,2016,Cr,tonn,1.69e-05
002.12,INDUSTRI,2016,Cu,tonn,4.17e-05
002.12,INDUSTRI,2016,Hg,tonn,1.8e-06
002.12,INDUSTRI,2016,Ni,tonn,3.34e-05
002.12,INDUSTRI,2016,Pb,tonn,0.0001813
002.12,INDUSTRI,2016,Zn,tonn,0.0150709
002.12,INDUSTRI,2017,As,tonn,0.0001936
002.12,INDUSTRI,2017,Cd,tonn,5.93e-05
002.12,INDUSTRI,2017,Cr,tonn,5.79e-05
002.12,INDUSTRI,2017,Cu,tonn,7.81e-05
002.12,INDUSTRI,2017,Hg,tonn,1.8e-06
002.12,INDUSTRI,2017,Ni,tonn,3.87e-05
002.12,INDUSTRI,2017,Pb,tonn,0.0002331
002.12,INDUSTRI,2017,Zn,tonn,0.0092352
002.12,INDUSTRI,2018,As,tonn,0.000269
002.12,INDUSTRI,2018,Cd,tonn,8.83e-05
002.12,INDUSTRI,2018,Cr,tonn,0.0002053
002.12,INDUSTRI,2018,Cu,tonn,4.11e-05
002.12,INDUSTRI,2018,Hg,tonn,2.3e-06
002.12,INDUSTRI,2018,Ni,tonn,6.78e-05
002.12,INDUSTRI,2018,Pb,tonn,0.0002546
002.12,INDUSTRI,2018,Zn,tonn,0.008274
002.12,INDUSTRI,2019,As,tonn,2.08e-05
002.12,INDUSTRI,2019,Cd,tonn,4.3e-06
002.12,INDUSTRI,2019,Cr,tonn,2.93e-05
002.12,INDUSTRI,2019,Cu,tonn,0.0001771
002.12,INDUSTRI,2019,Hg,tonn,6e-07
002.12,INDUSTRI,2019,Ni,tonn,3.89e-05
002.12,INDUSTRI,2019,Pb,tonn,5.26e-05
002.12,INDUSTRI,2019,Zn,tonn,0.0133785
002.12,RENSEANLEGG,2003,Cd,tonn,0.0026000000000000003
002.12,RENSEANLEGG,2003,Cr,tonn,0.11
002.12,RENSEANLEGG,2003,Cu,tonn,0.07
002.12,RENSEANLEGG,2003,Hg,tonn,0.0026000000000000003
002.12,RENSEANLEGG,2003,Ni,tonn,0.074
002.12,RENSEANLEGG,2003,Pb,tonn,0.02
002.12,RENSEANLEGG,2003,Zn,tonn,1.084
002.12,RENSEANLEGG,2004,Cd,tonn,0.00443
002.12,RENSEANLEGG,2004,Cr,tonn,0.03118
002.12,RENSEANLEGG,2004,Cu,tonn,0.0901
002.12,RENSEANLEGG,2004,Hg,tonn,0.00394
002.12,RENSEANLEGG,2004,Ni,tonn,0.08209999999999999
002.12,RENSEANLEGG,2004,Pb,tonn,0.04715
002.12,RENSEANLEGG,2004,Zn,tonn,1.685
002.12,RENSEANLEGG,2005,As,tonn,0.0066
002.12,RENSEANLEGG,2005,Cd,tonn,0.00269
002.12,RENSEANLEGG,2005,Cr,tonn,0.04131
002.12,RENSEANLEGG,2005,Cu,tonn,0.21438
002.12,RENSEANLEGG,2005,Hg,tonn,0.00256
002.12,RENSEANLEGG,2005,Ni,tonn,0.09104999999999999
002.12,RENSEANLEGG,2005,Pb,tonn,0.02684
002.12,RENSEANLEGG,2005,Zn,tonn,0.90837
002.12,RENSEANLEGG,2006,As,tonn,0.0095
002.12,RENSEANLEGG,2006,Cd,tonn,0.008199999999999999
002.12,RENSEANLEGG,2006,Cr,tonn,0.0427
002.12,RENSEANLEGG,2006,Cu,tonn,0.16140000000000002
002.12,RENSEANLEGG,2006,Hg,tonn,0.0033
002.12,RENSEANLEGG,2006,Ni,tonn,0.114
002.12,RENSEANLEGG,2006,Pb,tonn,0.0332
002.12,RENSEANLEGG,2006,Zn,tonn,3.735
002.12,RENSEANLEGG,2007,As,tonn,0.009800000000000001
002.12,RENSEANLEGG,2007,Cd,tonn,0.0019
002.12,RENSEANLEGG,2007,Cr,tonn,0.0136
002.12,RENSEANLEGG,2007,Cu,tonn,0.06409999999999999
002.12,RENSEANLEGG,2007,Hg,tonn,0.0096
002.12,RENSEANLEGG,2007,Ni,tonn,0.235
002.12,RENSEANLEGG,2007,Pb,tonn,0.0158
002.12,RENSEANLEGG,2007,Zn,tonn,1.239
002.12,RENSEANLEGG,2008,As,tonn,0.0229
002.12,RENSEANLEGG,2008,Cd,tonn,0.0009599999999999999
002.12,RENSEANLEGG,2008,Cr,tonn,0.0273
002.12,RENSEANLEGG,2008,Cu,tonn,0.0746
002.12,RENSEANLEGG,2008,Hg,tonn,0.00039
002.12,RENSEANLEGG,2008,Ni,tonn,0.23709999999999998
002.12,RENSEANLEGG,2008,Pb,tonn,0.0121
002.12,RENSEANLEGG,2008,Zn,tonn,0.7142000000000001
002.12,RENSEANLEGG,2009,As,tonn,0.013300000000000001
002.12,RENSEANLEGG,2009,Cd,tonn,0.00031
002.12,RENSEANLEGG,2009,Cr,tonn,0.0404
002.12,RENSEANLEGG,2009,Cu,tonn,0.0675
002.12,RENSEANLEGG,2009,Hg,tonn,0.00015
002.12,RENSEANLEGG,2009,Ni,tonn,0.2538
002.12,RENSEANLEGG,2009,Pb,tonn,0.0081
002.12,RENSEANLEGG,2009,Zn,tonn,0.6109
002.12,RENSEANLEGG,2010,As,tonn,0.007037
002.12,RENSEANLEGG,2010,Cd,tonn,0.000447
002.12,RENSEANLEGG,2010,Cr,tonn,0.04856
002.12,RENSEANLEGG,2010,Cu,tonn,0.059497
002.12,RENSEANLEGG,2010,Hg,tonn,0.000152
002.12,RENSEANLEGG,2010,Ni,tonn,0.26269200000000004
002.12,RENSEANLEGG,2010,Pb,tonn,0.007666
002.12,RENSEANLEGG,2010,Zn,tonn,0.59835
002.12,RENSEANLEGG,2011,As,tonn,0.009538
002.12,RENSEANLEGG,2011,Cd,tonn,0.000524
002.12,RENSEANLEGG,2011,Cr,tonn,0.048112
002.12,RENSEANLEGG,2011,Cu,tonn,0.06978400000000001
002.12,RENSEANLEGG,2011,Hg,tonn,0.00017199999999999998
002.12,RENSEANLEGG,2011,Ni,tonn,0.22961199999999998
002.12,RENSEANLEGG,2011,Pb,tonn,0.009414
002.12,RENSEANLEGG,2011,Zn,tonn,0.64038
002.12,RENSEANLEGG,2012,As,tonn,0.010874000000000002
002.12,RENSEANLEGG,2012,Cd,tonn,0.00047099999999999996
002.12,RENSEANLEGG,2012,Cr,tonn,0.08754
002.12,RENSEANLEGG,2012,Cu,tonn,0.075754
002.12,RENSEANLEGG,2012,Hg,tonn,0.000156
002.12,RENSEANLEGG,2012,Ni,tonn,0.196016
002.12,RENSEANLEGG,2012,Pb,tonn,0.010856
002.12,RENSEANLEGG,2012,Zn,tonn,0.605427
002.12,RENSEANLEGG,2013,As,tonn,0.011779
002.12,RENSEANLEGG,2013,Cd,tonn,0.000481
002.12,RENSEANLEGG,2013,Cu,tonn,0.07555200000000001
002.12,RENSEANLEGG,2013,Hg,tonn,0.000243
002.12,RENSEANLEGG,2013,Ni,tonn,0.21947
002.12,RENSEANLEGG,2013,Pb,tonn,0.008067
002.12,RENSEANLEGG,2013,Zn,tonn,0.778015
002.12,RENSEANLEGG,2014,As,tonn,0.02664
002.12,RENSEANLEGG,2014,Cd,tonn,0.00094
002.12,RENSEANLEGG,2014,Cr,tonn,0.06641
002.12,RENSEANLEGG,2014,Cu,tonn,0.10839
002.12,RENSEANLEGG,2014,Hg,tonn,0.00029
002.12,RENSEANLEGG,2014,Ni,tonn,0.24013
002.12,RENSEANLEGG,2014,Pb,tonn,0.01463
002.12,RENSEANLEGG,2014,Zn,tonn,0.65215
002.12,RENSEANLEGG,2016,As,tonn,0.02033
002.12,RENSEANLEGG,2016,Cd,tonn,0.00104
002.12,RENSEANLEGG,2016,Cr,tonn,0.07222
002.12,RENSEANLEGG,2016,Cu,tonn,0.13103
002.12,RENSEANLEGG,2016,Hg,tonn,0.00187
002.12,RENSEANLEGG,2016,Ni,tonn,0.16654
002.12,RENSEANLEGG,2016,Pb,tonn,0.01869
002.12,RENSEANLEGG,2016,Zn,tonn,0.79876
002.12,RENSEANLEGG,2017,As,tonn,0.017623
002.12,RENSEANLEGG,2017,Cd,tonn,0.000951
002.12,RENSEANLEGG,2017,Cr,tonn,0.048391
002.12,RENSEANLEGG,2017,Cu,tonn,0.071047
002.12,RENSEANLEGG,2017,Hg,tonn,0.000914
002.12,RENSEANLEGG,2017,Ni,tonn,0.177985
002.12,RENSEANLEGG,2017,Pb,tonn,0.013608
002.12,RENSEANLEGG,2017,Zn,tonn,0.715903
002.12,RENSEANLEGG,2018,As,tonn,0.021378
002.12,RENSEANLEGG,2018,Cd,tonn,0.000693
002.12,RENSEANLEGG,2018,Cr,tonn,0.045338
002.12,RENSEANLEGG,2018,Cu,tonn,0.085895
002.12,RENSEANLEGG,2018,Hg,tonn,0.000258
002.12,RENSEANLEGG,2018,Ni,tonn,0.190717
002.12,RENSEANLEGG,2018,Pb,tonn,0.012908
002.12,RENSEANLEGG,2018,Zn,tonn,0.599125
002.12,RENSEANLEGG,2019,As,tonn,0.018063
002.12,RENSEANLEGG,2019,Cd,tonn,0.000839
002.12,RENSEANLEGG,2019,Cr,tonn,0.062732
002.12,RENSEANLEGG,2019,Cu,tonn,0.0919
002.12,RENSEANLEGG,2019,Hg,tonn,0.000187
002.12,RENSEANLEGG,2019,Ni,tonn,0.248193
002.12,RENSEANLEGG,2019,Pb,tonn,0.012435
002.12,RENSEANLEGG,2019,Zn,tonn,0.960021
002.2A,INDUSTRI,1996,Cu,tonn,0.00359
002.2A,INDUSTRI,1997,As,tonn,0.000914
002.2A,INDUSTRI,1997,Cd,tonn,4.6e-05
002.2A,INDUSTRI,1997,Cu,tonn,0.012128
002.2A,INDUSTRI,1997,Hg,tonn,8e-06
002.2A,INDUSTRI,1997,Ni,tonn,0.000873
002.2A,INDUSTRI,1997,Pb,tonn,0.00079
002.2A,INDUSTRI,1997,Zn,tonn,0.014464
002.2A,INDUSTRI,1998,As,tonn,0.000872
002.2A,INDUSTRI,1998,Cd,tonn,4.4e-05
002.2A,INDUSTRI,1998,Cu,tonn,0.010666
002.2A,INDUSTRI,1998,Hg,tonn,6e-06
002.2A,INDUSTRI,1998,Ni,tonn,0.000253
002.2A,INDUSTRI,1998,Pb,tonn,0.000832
002.2A,INDUSTRI,1998,Zn,tonn,0.021214
002.2A,INDUSTRI,1999,As,tonn,0.000862
002.2A,INDUSTRI,1999,Cd,tonn,3.7e-05
002.2A,INDUSTRI,1999,Cu,tonn,0.008960000000000001
002.2A,INDUSTRI,1999,Hg,tonn,1.4999999999999999e-05
002.2A,INDUSTRI,1999,Ni,tonn,0.000825
002.2A,INDUSTRI,1999,Pb,tonn,0.000825
002.2A,INDUSTRI,1999,Zn,tonn,0.00656
002.2A,INDUSTRI,2000,Cu,tonn,0.0118807
002.2A,INDUSTRI,2000,Hg,tonn,5.5e-06
002.2A,INDUSTRI,2000,Pb,tonn,0.0006842
002.2A,INDUSTRI,2000,Zn,tonn,0.0047596
002.2A,INDUSTRI,2001,Cu,tonn,0.00787
002.2A,INDUSTRI,2001,Hg,tonn,3.5e-06
002.2A,INDUSTRI,2001,Pb,tonn,0.0005340000000000001
002.2A,INDUSTRI,2001,Zn,tonn,0.006623
002.2A,INDUSTRI,2002,Cu,tonn,0.004851
002.2A,INDUSTRI,2002,Hg,tonn,1.5e-06
002.2A,INDUSTRI,2002,Pb,tonn,0.000399
002.2A,INDUSTRI,2002,Zn,tonn,0.005607
002.2A,INDUSTRI,2003,Cu,tonn,0.004242
002.2A,INDUSTRI,2003,Hg,tonn,1.6999999999999998e-06
002.2A,INDUSTRI,2003,Pb,tonn,0.000602
002.2A,INDUSTRI,2003,Zn,tonn,0.00304
002.2A,INDUSTRI,2004,Cu,tonn,0.003782
002.2A,INDUSTRI,2004,Hg,tonn,4e-06
002.2A,INDUSTRI,2004,Pb,tonn,0.0006039999999999999
002.2A,INDUSTRI,2004,Zn,tonn,0.00246
002.2A,INDUSTRI,2005,Cu,tonn,0.0034
002.2A,INDUSTRI,2005,Hg,tonn,3.3e-07
002.2A,INDUSTRI,2005,Pb,tonn,0.000165
002.2A,INDUSTRI,2005,Zn,tonn,0.005900000000000001
002.2A,INDUSTRI,2006,Cu,tonn,0.0016265000000000001
002.2A,INDUSTRI,2006,Hg,tonn,2.4000000000000003e-07
002.2A,INDUSTRI,2006,Pb,tonn,4e-05
002.2A,INDUSTRI,2006,Zn,tonn,0.0027
002.2A,INDUSTRI,2007,Cu,tonn,0.0017796
002.2A,INDUSTRI,2007,Hg,tonn,2.6e-07
002.2A,INDUSTRI,2007,Pb,tonn,4.8e-05
002.2A,INDUSTRI,2007,Zn,tonn,0.00939
002.2A,INDUSTRI,2008,Cu,tonn,0.0010976
002.2A,INDUSTRI,2019,Cd,tonn,0.0
002.2A,INDUSTRI,2019,Hg,tonn,0.0
002.2A,INDUSTRI,2019,Pb,tonn,1.6e-06
002.2B,INDUSTRI,1992,Ni,tonn,0.0096
002.2B,INDUSTRI,1992,Zn,tonn,0.0016
002.2B,INDUSTRI,1993,Ni,tonn,0.0008399999999999999
002.2B,INDUSTRI,1993,Zn,tonn,7.4e-05
002.A1,INDUSTRI,1990,Cu,tonn,0.6
