regine,type,year,name,unit,value
001.22Z,INDUSTRI,1992,Cu,tonn,2.9e-05
001.22Z,INDUSTRI,1992,Zn,tonn,1.8e-05
001.22Z,INDUSTRI,1993,Cu,tonn,5.3e-05
001.22Z,INDUSTRI,1993,Zn,tonn,3.5000000000000004e-05
001.22Z,INDUSTRI,1994,Cu,tonn,0.00011
001.22Z,INDUSTRI,1994,Zn,tonn,2.4e-05
001.22Z,INDUSTRI,1995,Cu,tonn,2e-05
001.22Z,INDUSTRI,1995,Zn,tonn,2e-05
001.22Z,INDUSTRI,1996,Cu,tonn,2.9999999999999997e-05
001.22Z,INDUSTRI,1996,Zn,tonn,2e-05
001.22Z,INDUSTRI,1997,Cu,tonn,1e-05
001.22Z,INDUSTRI,1997,Zn,tonn,2e-05
001.22Z,INDUSTRI,1998,Cu,tonn,1e-05
001.22Z,INDUSTRI,1998,Zn,tonn,2e-05
001.22Z,INDUSTRI,1999,Cu,tonn,2e-05
001.22Z,INDUSTRI,1999,Zn,tonn,1e-05
001.22Z,INDUSTRI,2000,Cu,tonn,4e-05
001.22Z,INDUSTRI,2000,Zn,tonn,4e-05
001.22Z,INDUSTRI,2001,Cu,tonn,1e-05
001.22Z,INDUSTRI,2001,Zn,tonn,1e-05
001.22Z,INDUSTRI,2002,Cu,tonn,1e-05
001.22Z,INDUSTRI,2002,Zn,tonn,1e-05
001.22Z,INDUSTRI,2003,Cu,tonn,1e-05
001.22Z,INDUSTRI,2003,Zn,tonn,1e-05
001.22Z,INDUSTRI,2004,Cu,tonn,1e-06
001.22Z,INDUSTRI,2004,Zn,tonn,1e-05
001.22Z,INDUSTRI,2005,Cu,tonn,2e-06
001.22Z,INDUSTRI,2005,Zn,tonn,1e-05
001.22Z,INDUSTRI,2007,Cu,tonn,2e-06
001.22Z,INDUSTRI,2007,Zn,tonn,1e-05
001.22Z,INDUSTRI,2008,Cu,tonn,4e-05
001.22Z,INDUSTRI,2008,Zn,tonn,5.9999999999999995e-05
001.31Z,RENSEANLEGG,2005,As,tonn,0.00439
001.31Z,RENSEANLEGG,2005,Cd,tonn,0.00031
001.31Z,RENSEANLEGG,2005,Cr,tonn,0.00393
001.31Z,RENSEANLEGG,2005,Cu,tonn,0.0305
001.31Z,RENSEANLEGG,2005,Hg,tonn,0.00019
001.31Z,RENSEANLEGG,2005,Pb,tonn,0.00028000000000000003
001.31Z,RENSEANLEGG,2005,Zn,tonn,0.114
001.31Z,RENSEANLEGG,2006,As,tonn,0.00616
001.31Z,RENSEANLEGG,2006,Cd,tonn,0.00028000000000000003
001.31Z,RENSEANLEGG,2006,Cr,tonn,0.010199999999999999
001.31Z,RENSEANLEGG,2006,Cu,tonn,0.0416
001.31Z,RENSEANLEGG,2006,Hg,tonn,0.0005200000000000001
001.31Z,RENSEANLEGG,2006,Pb,tonn,0.0081
001.31Z,RENSEANLEGG,2006,Zn,tonn,0.16640000000000002
001.31Z,RENSEANLEGG,2007,As,tonn,0.0044
001.31Z,RENSEANLEGG,2007,Cd,tonn,0.00028000000000000003
001.31Z,RENSEANLEGG,2007,Cr,tonn,0.00502
001.31Z,RENSEANLEGG,2007,Cu,tonn,0.019530000000000002
001.31Z,RENSEANLEGG,2007,Hg,tonn,0.00099
001.31Z,RENSEANLEGG,2007,Pb,tonn,0.00468
001.31Z,RENSEANLEGG,2007,Zn,tonn,0.08165
001.31Z,RENSEANLEGG,2011,As,tonn,0.003059
001.31Z,RENSEANLEGG,2011,Cd,tonn,0.000263
001.31Z,RENSEANLEGG,2011,Cr,tonn,0.006838
001.31Z,RENSEANLEGG,2011,Cu,tonn,0.047819
001.31Z,RENSEANLEGG,2011,Hg,tonn,0.000105
001.31Z,RENSEANLEGG,2011,Ni,tonn,0.05145
001.31Z,RENSEANLEGG,2011,Pb,tonn,0.002626
001.31Z,RENSEANLEGG,2011,Zn,tonn,0.105563
001.31Z,RENSEANLEGG,2014,As,tonn,0.0028
001.31Z,RENSEANLEGG,2014,Cd,tonn,0.000175
001.31Z,RENSEANLEGG,2014,Cr,tonn,0.006534
001.31Z,RENSEANLEGG,2014,Cu,tonn,0.030219
001.31Z,RENSEANLEGG,2014,Hg,tonn,5.8e-05
001.31Z,RENSEANLEGG,2014,Ni,tonn,0.026836
001.31Z,RENSEANLEGG,2014,Pb,tonn,0.001458
001.31Z,RENSEANLEGG,2014,Zn,tonn,0.103434
001.31Z,RENSEANLEGG,2015,As,tonn,0.00396
001.31Z,RENSEANLEGG,2015,Cd,tonn,0.00017999999999999998
001.31Z,RENSEANLEGG,2015,Cr,tonn,0.01182
001.31Z,RENSEANLEGG,2015,Cu,tonn,0.05047
001.31Z,RENSEANLEGG,2015,Hg,tonn,4.8e-05
001.31Z,RENSEANLEGG,2015,Ni,tonn,0.02807
001.31Z,RENSEANLEGG,2015,Pb,tonn,0.004940000000000001
001.31Z,RENSEANLEGG,2015,Zn,tonn,0.14505
001.31Z,RENSEANLEGG,2018,As,tonn,0.00211
001.31Z,RENSEANLEGG,2018,Cd,tonn,0.000103
001.31Z,RENSEANLEGG,2018,Cr,tonn,0.001854
001.31Z,RENSEANLEGG,2018,Cu,tonn,0.011803
001.31Z,RENSEANLEGG,2018,Hg,tonn,4e-05
001.31Z,RENSEANLEGG,2018,Ni,tonn,0.011154
001.31Z,RENSEANLEGG,2018,Pb,tonn,0.001142
001.31Z,RENSEANLEGG,2018,Zn,tonn,0.074045
001.31Z,RENSEANLEGG,2019,As,tonn,0.003033
001.31Z,RENSEANLEGG,2019,Cd,tonn,0.000162
001.31Z,RENSEANLEGG,2019,Cr,tonn,0.0086
001.31Z,RENSEANLEGG,2019,Cu,tonn,0.023205
001.31Z,RENSEANLEGG,2019,Hg,tonn,6.7e-05
001.31Z,RENSEANLEGG,2019,Ni,tonn,0.015437
001.31Z,RENSEANLEGG,2019,Pb,tonn,0.001801
001.31Z,RENSEANLEGG,2019,Zn,tonn,0.111269
001.32Z,INDUSTRI,1990,Pb,tonn,0.01
001.A4,INDUSTRI,2013,As,tonn,0.038090000000000006
001.A4,INDUSTRI,2013,Cd,tonn,0.00552
001.A4,INDUSTRI,2013,Cr,tonn,0.0046500000000000005
001.A4,INDUSTRI,2013,Cu,tonn,0.07597
001.A4,INDUSTRI,2013,Hg,tonn,2.1000000000000002e-05
001.A4,INDUSTRI,2013,Ni,tonn,0.03465
001.A4,INDUSTRI,2013,Pb,tonn,0.03059
001.A4,INDUSTRI,2013,Zn,tonn,1.3382
001.A4,INDUSTRI,2014,As,tonn,0.04721
001.A4,INDUSTRI,2014,Cd,tonn,0.00714
001.A4,INDUSTRI,2014,Cr,tonn,0.00644
001.A4,INDUSTRI,2014,Cu,tonn,0.048299999999999996
001.A4,INDUSTRI,2014,Hg,tonn,0.0
001.A4,INDUSTRI,2014,Ni,tonn,0.047200000000000006
001.A4,INDUSTRI,2014,Pb,tonn,0.03429
001.A4,INDUSTRI,2014,Zn,tonn,2.618
001.A4,INDUSTRI,2015,As,tonn,0.0597
001.A4,INDUSTRI,2015,Cd,tonn,0.005200000000000001
001.A4,INDUSTRI,2015,Cr,tonn,0.0105
001.A4,INDUSTRI,2015,Cu,tonn,0.047
001.A4,INDUSTRI,2015,Ni,tonn,0.0494
001.A4,INDUSTRI,2015,Pb,tonn,0.030699999999999998
001.A4,INDUSTRI,2015,Zn,tonn,2.051
001.A4,INDUSTRI,2016,As,tonn,0.04895
001.A4,INDUSTRI,2016,Cd,tonn,0.01379
001.A4,INDUSTRI,2016,Cr,tonn,0.00721
001.A4,INDUSTRI,2016,Cu,tonn,0.11309
001.A4,INDUSTRI,2016,Hg,tonn,2e-05
001.A4,INDUSTRI,2016,Ni,tonn,0.05255
001.A4,INDUSTRI,2016,Pb,tonn,0.03936
001.A4,INDUSTRI,2016,Zn,tonn,2.657
001.A4,INDUSTRI,2017,As,tonn,0.06018
001.A4,INDUSTRI,2017,Cd,tonn,0.00708
001.A4,INDUSTRI,2017,Cr,tonn,0.0106
001.A4,INDUSTRI,2017,Cu,tonn,0.05171
001.A4,INDUSTRI,2017,Hg,tonn,0.0
001.A4,INDUSTRI,2017,Ni,tonn,0.0727
001.A4,INDUSTRI,2017,Pb,tonn,0.0343
001.A4,INDUSTRI,2017,Zn,tonn,2.585
001.A4,INDUSTRI,2018,As,tonn,0.04207
001.A4,INDUSTRI,2018,Cd,tonn,0.00933
001.A4,INDUSTRI,2018,Cr,tonn,0.00935
001.A4,INDUSTRI,2018,Cu,tonn,0.05145
001.A4,INDUSTRI,2018,Hg,tonn,0.0
001.A4,INDUSTRI,2018,Ni,tonn,0.06256
001.A4,INDUSTRI,2018,Pb,tonn,0.05493
001.A4,INDUSTRI,2018,Zn,tonn,3.11729
001.A4,INDUSTRI,2019,As,tonn,0.02489
001.A4,INDUSTRI,2019,Cd,tonn,0.01256
001.A4,INDUSTRI,2019,Cr,tonn,0.01999
001.A4,INDUSTRI,2019,Cu,tonn,0.09112
001.A4,INDUSTRI,2019,Hg,tonn,0.0
001.A4,INDUSTRI,2019,Ni,tonn,0.06937
001.A4,INDUSTRI,2019,Pb,tonn,0.03739
001.A4,INDUSTRI,2019,Zn,tonn,2.86084
002.12,INDUSTRI,1994,Cd,tonn,5.5e-05
002.12,INDUSTRI,1994,Hg,tonn,7e-06
002.12,INDUSTRI,1994,Pb,tonn,0.00017
002.12,INDUSTRI,1995,Cd,tonn,0.00014399999999999998
002.12,INDUSTRI,1995,Hg,tonn,2.7e-05
002.12,INDUSTRI,1995,Pb,tonn,6.8e-05
002.12,INDUSTRI,1996,Cd,tonn,0.0001547
002.12,INDUSTRI,1996,Hg,tonn,2.97e-05
002.12,INDUSTRI,1996,Pb,tonn,7.65e-05
002.12,INDUSTRI,1997,Cd,tonn,0.0001995
002.12,INDUSTRI,1997,Hg,tonn,8.91e-05
002.12,INDUSTRI,1997,Pb,tonn,0.0003595
002.12,INDUSTRI,1998,Cd,tonn,0.00011389000000000001
002.12,INDUSTRI,1998,Hg,tonn,1.7919999999999998e-05
002.12,INDUSTRI,1998,Pb,tonn,0.00011949
002.12,INDUSTRI,1999,Cd,tonn,1.02e-05
002.12,INDUSTRI,1999,Hg,tonn,3.3999999999999996e-06
002.12,INDUSTRI,1999,Pb,tonn,8.09e-05
002.12,INDUSTRI,2000,Cd,tonn,8.88e-05
002.12,INDUSTRI,2000,Hg,tonn,6.3e-06
002.12,INDUSTRI,2000,Pb,tonn,0.00026910000000000004
002.12,INDUSTRI,2001,Cd,tonn,3.23e-05
002.12,INDUSTRI,2001,Hg,tonn,5.2e-06
