regine;ret_as;ret_cd;ret_cr;ret_cu;ret_hg;ret_ni;ret_pb;ret_zn
002.DC71;0;0;0;0;0;0;0;0
002.DD12;0;0;0;0;0;0;0;0
002.DD41;0;0;0;0;0;0;0;0
002.DD20;0;0;0;0;0;0;0;0
002.DC34;0;0;0;0;0;0;0;0
002.DC43;0;0;0;0;0;0;0;0
002.DD3;0;0;0;0;0;0;0;0
002.DC74;0;0;0;0;0;0;0;0
002.DC3A0;0;0;0;0;0;0;0;0
002.DC61;0;0;0;0;0;0;0;0
002.DC31;0;0;0;0;0;0;0;0
002.DC5A0;0;0;0;0;0;0;0;0
002.DD52;0;0;0;0;0;0;0;0
002.DC53;0;0;0;0;0;0;0;0
002.DD42;0;0;0;0;0;0;0;0
002.DC12;0;0;0;0;0;0;0;0
002.DC72;0;0;0;0;0;0;0;0
002.DD51;0;0;0;0;0;0;0;0
002.DC21;0;0;0;0;0;0;0;0
002.DC35;0;0;0;0;0;0;0;0
002.DC32;0;0;0;0;0;0;0;0
002.DC13;0;0;0;0;0;0;0;0
002.DC52;0;0;0;0;0;0;0;0
002.DC75;0;0;0;0;0;0;0;0
002.DC22;0;0;0;0;0;0;0;0
002.DC63;0;0;0;0;0;0;0;0
002.DC510;0;0;0;0;0;0;0;0
002.DC73;0;0;0;0;0;0;0;0
002.DD61;0;0;0;0;0;0;0;0
002.DC23;0;0;0;0;0;0;0;0
002.DC62;0;0;0;0;0;0;0;0
002.DC33;0;0;0;0;0;0;0;0
002.DC41;0;0;0;0;0;0;0;0
002.DC14;0;0;0;0;0;0;0;0
002.DC11;0;0;0;0;0;0;0;0
002.DD11;0;0;0;0;0;0;0;0
002.DD62;0;0;0;0;0;0;0;0
002.DC42;0;0;0;0;0;0;0;0
002.DC4A0;0;0;0;0;0;0;0;0
002.DC7A0;0;0;0;0;0;0;0;0
002.DC51Z;0;0;0;0;0;0;0;0
002.DD2A1;0;0;0;0;0;0;0;0
002.DD1A1;0;0;0;0;0;0;0;0
002.DD2A2;0;0;0;0;0;0;0;0
002.DD6A;0;0;0;0;0;0;0;0
002.DD4A0;0;0;0;0;0;0;0;0
155.D71;0;0;0;0;0;0;0;0
155.D11;0;0;0;0;0;0;0;0
