regine;ret_as;ret_cd;ret_cr;ret_cu;ret_hg;ret_ni;ret_pb;ret_zn
155.D13;0;0;0;0;0;0;0;0
155.C5;0;0;0;0;0;0;0;0
155.D311;0;0;0;0;0;0;0;0
155.C6;0;0;0;0;0;0;0;0
155.D72;0;0;0;0;0;0;0;0
155.E;0;0;0;0;0;0;0;0
155.C7;0;0;0;0;0;0;0;0
155.D62;0;0;0;0;0;0;0;0
155.D73;0;0;0;0;0;0;0;0
155.D32;0;0;0;0;0;0;0;0
155.D312;0;0;0;0;0;0;0;0
155.D12;0;0;0;0;0;0;0;0
155.D52;0;0;0;0;0;0;0;0
155.D61;0;0;0;0;0;0;0;0
155.D8;0;0;0;0;0;0;0;0
155.C8;0;0;0;0;0;0;0;0
155.D2;0;0;0;0;0;0;0;0
155.D40;0;0;0;0;0;0;0;0
155.D51;0;0;0;0;0;0;0;0
155.D4Z;0;0;0;0;0;0;0;0
155.D5Z;0;0;0;0;0;0;0;0
155.D3A;0;0;0;0;0;0;0;0
155.C3;0;0;0;0;0;0;0;0
155.D6Z;0;0;0;0;0;0;0;0
155.D1A;0;0;0;0;0;0;0;0
155.C4;0;0;0;0;0;0;0;0
311.J813;0;0;0;0;0;0;0;0
311.J51;0;0;0;0;0;0;0;0
311.J41;0;0;0;0;0;0;0;0
311.J814;0;0;0;0;0;0;0;0
311.J12;0;0;0;0;0;0;0;0
311.J811;0;0;0;0;0;0;0;0
311.J6;0;0;0;0;0;0;0;0
311.J2;0;0;0;0;0;0;0;0
311.J32;0;0;0;0;0;0;0;0
311.J11;0;0;0;0;0;0;0;0
311.J7;0;0;0;0;0;0;0;0
311.J812;0;0;0;0;0;0;0;0
311.J42;0;0;0;0;0;0;0;0
311.J31;0;0;0;0;0;0;0;0
311.J52;0;0;0;0;0;0;0;0
311.J82;0;0;0;0;0;0;0;0
311.J4A0;0;0;0;0;0;0;0;0
311.J3Z;0;0;0;0;0;0;0;0
311.J1Z;0;0;0;0;0;0;0;0
311.J8A;0;0;0;0;0;0;0;0
012.EC31;0;0;0;0;0;0;0;0
012.EC40;0;0;0;0;0;0;0;0
012.EB5;0;0;0;0;0;0;0;0
012.EC6;0;0;0;0;0;0;0;0
012.EB31;0;0;0;0;0;0;0;0
012.EC120;0;0;0;0;0;0;0;0
012.EC71;0;0;0;0;0;0;0;0
012.EC80;0;0;0;0;0;0;0;0
012.EB10;0;0;0;0;0;0;0;0
012.EC72;0;0;0;0;0;0;0;0
012.EC20;0;0;0;0;0;0;0;0
012.EC32;0;0;0;0;0;0;0;0
012.EB2;0;0;0;0;0;0;0;0
012.EB32;0;0;0;0;0;0;0;0
012.EB41;0;0;0;0;0;0;0;0
012.EB42;0;0;0;0;0;0;0;0
012.EC51;0;0;0;0;0;0;0;0
012.EC9;0;0;0;0;0;0;0;0
012.EC520;0;0;0;0;0;0;0;0
012.EC11;0;0;0;0;0;0;0;0
012.EC8A2;0;0;0;0;0;0;0;0
012.EA72;0;0;0;0;0;0;0;0
012.EC7A0;0;0;0;0;0;0;0;0
012.EC52Z;0;0;0;0;0;0;0;0
012.EC8A1;0;0;0;0;0;0;0;0
012.EC2A0;0;0;0;0;0;0;0;0
012.EBA21;0;0;0;0;0;0;0;0
012.EBA1;0;0;0;0;0;0;0;0
012.EB3Z;0;0;0;0;0;0;0;0
012.EB1A;0;0;0;0;0;0;0;0
012.D41;0;0;0;0;0;0;0;0
012.D6Z;0;0;0;0;0;0;0;0
012.D82;0;0;0;0;0;0;0;0
012.D51;0;0;0;0;0;0;0;0
012.D32;0;0;0;0;0;0;0;0
012.D71;0;0;0;0;0;0;0;0
012.D72;0;0;0;0;0;0;0;0
012.D60;0;0;0;0;0;0;0;0
012.D81;0;0;0;0;0;0;0;0
012.D42;0;0;0;0;0;0;0;0
012.D52;0;0;0;0;0;0;0;0
012.D9;0;0;0;0;0;0;0;0
012.D73;0;0;0;0;0;0;0;0
012.D31;0;0;0;0;0;0;0;0
012.E0;0;0;0;0;0;0;0;0
012.DA1;0;0;0;0;0;0;0;0
012.DA2;0;0;0;0;0;0;0;0
128.C42;0;0;0;0;0;0;0;0
128.C410;0;0;0;0;0;0;0;0
128.C22;0;0;0;0;0;0;0;0
128.C31;0;0;0;0;0;0;0;0
128.D1;0;0;0;0;0;0;0;0
128.C21;0;0;0;0;0;0;0;0
128.D210;0;0;0;0;0;0;0;0
128.D22;0;0;0;0;0;0;0;0
128.C430;0;0;0;0;0;0;0;0
128.C10;0;0;0;0;0;0;0;0
128.D23;0;0;0;0;0;0;0;0
128.C32;0;0;0;0;0;0;0;0
128.C3Z;0;0;0;0;0;0;0;0
128.C2A;0;0;0;0;0;0;0;0
128.C41A;0;0;0;0;0;0;0;0
128.E2;0;0;0;0;0;0;0;0
128.D2Z;0;0;0;0;0;0;0;0
128.E10;0;0;0;0;0;0;0;0
128.C4Z;0;0;0;0;0;0;0;0
128.B8;0;0;0;0;0;0;0;0
128.B7;0;0;0;0;0;0;0;0
128.D21Z;0;0;0;0;0;0;0;0
139.DC10;0;0;0;0;0;0;0;0
139.DC3;0;0;0;0;0;0;0;0
139.DC2;0;0;0;0;0;0;0;0
139.DC4;0;0;0;0;0;0;0;0
139.DC1A;0;0;0;0;0;0;0;0
139.DB3;0;0;0;0;0;0;0;0
139.DB4;0;0;0;0;0;0;0;0
307.6B7;0;0;0;0;0;0;0;0
307.6B52;0;0;0;0;0;0;0;0
307.6B2;0;0;0;0;0;0;0;0
307.6B8;0;0;0;0;0;0;0;0
307.6B51;0;0;0;0;0;0;0;0
307.6B10;0;0;0;0;0;0;0;0
307.6B61;0;0;0;0;0;0;0;0
307.6B4;0;0;0;0;0;0;0;0
307.6B3;0;0;0;0;0;0;0;0
307.6B62;0;0;0;0;0;0;0;0
307.6B5Z;0;0;0;0;0;0;0;0
307.6A;0;0;0;0;0;0;0;0
307.6C;0;0;0;0;0;0;0;0
307.6B6A;0;0;0;0;0;0;0;0
002.C8;0;0;0;0;0;0;0;0
002.C6;0;0;0;0;0;0;0;0
002.D1;0;0;0;0;0;0;0;0
002.C40;0;0;0;0;0;0;0;0
002.CA0;0;0;0;0;0;0;0;0
002.C2;0;0;0;0;0;0;0;0
002.C3;0;0;0;0;0;0;0;0
002.D21;0;0;0;0;0;0;0;0
002.C5;0;0;0;0;0;0;0;0
002.C11;0;0;0;0;0;0;0;0
002.C12;0;0;0;0;0;0;0;0
002.C4A;0;0;0;0;0;0;0;0
002.C7;0;0;0;0;0;0;0;0
035.CC;0;0;0;0;0;0;0;0
035.4E;0;0;0;0;0;0;0;0
035.4G;0;0;0;0;0;0;0;0
035.4H;0;0;0;0;0;0;0;0
035.4D;0;0;0;0;0;0;0;0
035.CF2;0;0;0;0;0;0;0;0
035.CE;0;0;0;0;0;0;0;0
035.CF1;0;0;0;0;0;0;0;0
021.GC;0;0;0;0;0;0;0;0
035.CB;0;0;0;0;0;0;0;0
021.GD0;0;0;0;0;0;0;0;0
035.4J;0;0;0;0;0;0;0;0
021.GE3;0;0;0;0;0;0;0;0
035.CD;0;0;0;0;0;0;0;0
021.GE20;0;0;0;0;0;0;0;0
021.GE4;0;0;0;0;0;0;0;0
021.GE2A0;0;0;0;0;0;0;0;0
021.GDZ;0;0;0;0;0;0;0;0
021.GE1;0;0;0;0;0;0;0;0
035.4F;0;0;0;0;0;0;0;0
021.GE2AZ;0;0;0;0;0;0;0;0
035.4AAE;0;0;0;0;0;0;0;0
035.4C;0;0;0;0;0;0;0;0
035.BD1;0;0;0;0;0;0;0;0
035.BD3;0;0;0;0;0;0;0;0
035.D3;0;0;0;0;0;0;0;0
196.AD230;0;0;0;0;0;0;0;0
196.AD61;0;0;0;0;0;0;0;0
196.AD33;0;0;0;0;0;0;0;0
196.AD11;0;0;0;0;0;0;0;0
196.AD21;0;0;0;0;0;0;0;0
196.AD620;0;0;0;0;0;0;0;0
196.AD320;0;0;0;0;0;0;0;0
196.AD310;0;0;0;0;0;0;0;0
196.AD9;0;0;0;0;0;0;0;0
196.AD22;0;0;0;0;0;0;0;0
196.AD12;0;0;0;0;0;0;0;0
196.AD240;0;0;0;0;0;0;0;0
196.AD4;0;0;0;0;0;0;0;0
196.AD8;0;0;0;0;0;0;0;0
196.AD5;0;0;0;0;0;0;0;0
196.AD7;0;0;0;0;0;0;0;0
196.AD62Z;0;0;0;0;0;0;0;0
196.AC8;0;0;0;0;0;0;0;0
196.AD32Z;0;0;0;0;0;0;0;0
196.AD23Z;0;0;0;0;0;0;0;0
196.AE2;0;0;0;0;0;0;0;0
196.AE1;0;0;0;0;0;0;0;0
196.AC72;0;0;0;0;0;0;0;0
016.J611;0;0;0;0;0;0;0;0
016.J2;0;0;0;0;0;0;0;0
016.J81;0;0;0;0;0;0;0;0
016.J31;0;0;0;0;0;0;0;0
016.J4;0;0;0;0;0;0;0;0
016.J82;0;0;0;0;0;0;0;0
016.J7;0;0;0;0;0;0;0;0
016.J32;0;0;0;0;0;0;0;0
016.J11;0;0;0;0;0;0;0;0
016.J5;0;0;0;0;0;0;0;0
016.J62;0;0;0;0;0;0;0;0
016.J12;0;0;0;0;0;0;0;0
016.J6A;0;0;0;0;0;0;0;0
016.J8Z;0;0;0;0;0;0;0;0
016.J3Z;0;0;0;0;0;0;0;0
016.BG11B2;0;0;0;0;0;0;0;0
016.J1A0;0;0;0;0;0;0;0;0
016.K2;0;0;0;0;0;0;0;0
016.J612;0;0;0;0;0;0;0;0
016.J61Z;0;0;0;0;0;0;0;0
019.F211;0;0;0;0;0;0;0;0
019.F222;0;0;0;0;0;0;0;0
019.F212;0;0;0;0;0;0;0;0
019.F3;0;0;0;0;0;0;0;0
019.F221;0;0;0;0;0;0;0;0
019.F1;0;0;0;0;0;0;0;0
019.G;0;0;0;0;0;0;0;0
019.F9;0;0;0;0;0;0;0;0
019.F420;0;0;0;0;0;0;0;0
019.F41;0;0;0;0;0;0;0;0
019.F2A0;0;0;0;0;0;0;0;0
019.F21Z;0;0;0;0;0;0;0;0
019.E52;0;0;0;0;0;0;0;0
019.F42A2;0;0;0;0;0;0;0;0
019.F4A;0;0;0;0;0;0;0;0
019.F42A1;0;0;0;0;0;0;0;0
019.F22A;0;0;0;0;0;0;0;0
234.GBG20;0;0;0;0;0;0;0;0
234.GBG4;0;0;0;0;0;0;0;0
234.GBG10;0;0;0;0;0;0;0;0
234.GBG3;0;0;0;0;0;0;0;0
234.GBG1A;0;0;0;0;0;0;0;0
123.G1;0;0;0;0;0;0;0;0
123.GB1;0;0;0;0;0;0;0;0
123.GB3;0;0;0;0;0;0;0;0
123.G2;0;0;0;0;0;0;0;0
123.G9;0;0;0;0;0;0;0;0
123.GB20;0;0;0;0;0;0;0;0
123.GA;0;0;0;0;0;0;0;0
123.GB4;0;0;0;0;0;0;0;0
123.F3;0;0;0;0;0;0;0;0
123.H1;0;0;0;0;0;0;0;0
123.GC;0;0;0;0;0;0;0;0
123.F4;0;0;0;0;0;0;0;0
123.H20;0;0;0;0;0;0;0;0
123.GB2Z;0;0;0;0;0;0;0;0
123.B4;0;0;0;0;0;0;0;0
123.B10;0;0;0;0;0;0;0;0
123.B6;0;0;0;0;0;0;0;0
123.B71;0;0;0;0;0;0;0;0
123.C1;0;0;0;0;0;0;0;0
123.B20;0;0;0;0;0;0;0;0
123.B32;0;0;0;0;0;0;0;0
123.B52;0;0;0;0;0;0;0;0
123.A823;0;0;0;0;0;0;0;0
123.B72;0;0;0;0;0;0;0;0
123.B810;0;0;0;0;0;0;0;0
123.B83;0;0;0;0;0;0;0;0
123.B81Z;0;0;0;0;0;0;0;0
123.A7230;0;0;0;0;0;0;0;0
123.A822;0;0;0;0;0;0;0;0
123.A7220;0;0;0;0;0;0;0;0
123.B51;0;0;0;0;0;0;0;0
123.B82;0;0;0;0;0;0;0;0
123.B31;0;0;0;0;0;0;0;0
123.B7A0;0;0;0;0;0;0;0;0
123.B5A;0;0;0;0;0;0;0;0
123.B2A;0;0;0;0;0;0;0;0
123.A723Z;0;0;0;0;0;0;0;0
123.B8Z;0;0;0;0;0;0;0;0
123.B3Z;0;0;0;0;0;0;0;0
123.C21;0;0;0;0;0;0;0;0
002.G7;0;0;0;0;0;0;0;0
002.H32;0;0;0;0;0;0;0;0
002.GCB;0;0;0;0;0;0;0;0
002.G4;0;0;0;0;0;0;0;0
002.H811;0;0;0;0;0;0;0;0
002.H21;0;0;0;0;0;0;0;0
002.GA6;0;0;0;0;0;0;0;0
002.H712;0;0;0;0;0;0;0;0
002.GA1;0;0;0;0;0;0;0;0
002.FB;0;0;0;0;0;0;0;0
002.H31;0;0;0;0;0;0;0;0
002.GA5;0;0;0;0;0;0;0;0
002.H33;0;0;0;0;0;0;0;0
002.F4;0;0;0;0;0;0;0;0
002.GC4;0;0;0;0;0;0;0;0
002.GD0;0;0;0;0;0;0;0;0
002.H5;0;0;0;0;0;0;0;0
002.GBA0;0;0;0;0;0;0;0;0
002.GC20;0;0;0;0;0;0;0;0
002.G21;0;0;0;0;0;0;0;0
002.GAC;0;0;0;0;0;0;0;0
002.H22;0;0;0;0;0;0;0;0
002.G5;0;0;0;0;0;0;0;0
002.H12;0;0;0;0;0;0;0;0
002.F62;0;0;0;0;0;0;0;0
002.F3B;0;0;0;0;0;0;0;0
002.H61;0;0;0;0;0;0;0;0
002.G8;0;0;0;0;0;0;0;0
002.GAB0;0;0;0;0;0;0;0;0
002.H82;0;0;0;0;0;0;0;0
002.GA20;0;0;0;0;0;0;0;0
002.GC3;0;0;0;0;0;0;0;0
002.G60;0;0;0;0;0;0;0;0
002.G30;0;0;0;0;0;0;0;0
002.H43;0;0;0;0;0;0;0;0
002.H11;0;0;0;0;0;0;0;0
002.F5;0;0;0;0;0;0;0;0
002.GAA;0;0;0;0;0;0;0;0
002.GC12;0;0;0;0;0;0;0;0
002.H62;0;0;0;0;0;0;0;0
002.GBB0;0;0;0;0;0;0;0;0
002.GCA;0;0;0;0;0;0;0;0
002.G6A;0;0;0;0;0;0;0;0
002.H41;0;0;0;0;0;0;0;0
002.H812;0;0;0;0;0;0;0;0
002.H813;0;0;0;0;0;0;0;0
002.F30;0;0;0;0;0;0;0;0
002.F3A;0;0;0;0;0;0;0;0
002.H72;0;0;0;0;0;0;0;0
002.GA30;0;0;0;0;0;0;0;0
002.H713;0;0;0;0;0;0;0;0
002.GB0;0;0;0;0;0;0;0;0
002.F63;0;0;0;0;0;0;0;0
002.GA4;0;0;0;0;0;0;0;0
002.G22;0;0;0;0;0;0;0;0
002.G10;0;0;0;0;0;0;0;0
002.G1A;0;0;0;0;0;0;0;0
002.F61;0;0;0;0;0;0;0;0
002.H711;0;0;0;0;0;0;0;0
002.FA;0;0;0;0;0;0;0;0
002.H42;0;0;0;0;0;0;0;0
002.H1A0;0;0;0;0;0;0;0;0
002.GABZ;0;0;0;0;0;0;0;0
002.GC1A;0;0;0;0;0;0;0;0
002.F6Z;0;0;0;0;0;0;0;0
002.H2Z;0;0;0;0;0;0;0;0
002.GA2Z;0;0;0;0;0;0;0;0
002.GC2Z;0;0;0;0;0;0;0;0
002.GBAZ;0;0;0;0;0;0;0;0
002.H4A;0;0;0;0;0;0;0;0
002.H7Z;0;0;0;0;0;0;0;0
002.F3C;0;0;0;0;0;0;0;0
002.GC11;0;0;0;0;0;0;0;0
002.H3A0;0;0;0;0;0;0;0;0
002.FC;0;0;0;0;0;0;0;0
002.GA3Z;0;0;0;0;0;0;0;0
016.B4;0;0;0;0;0;0;0;0
016.B3;0;0;0;0;0;0;0;0
016.C2;0;0;0;0;0;0;0;0
016.C1;0;0;0;0;0;0;0;0
016.C9;0;0;0;0;0;0;0;0
016.BA21;0;0;0;0;0;0;0;0
016.B1;0;0;0;0;0;0;0;0
016.B2;0;0;0;0;0;0;0;0
016.BA11;0;0;0;0;0;0;0;0
016.G521;0;0;0;0;0;0;0;0
016.G321;0;0;0;0;0;0;0;0
016.G6;0;0;0;0;0;0;0;0
016.G42;0;0;0;0;0;0;0;0
016.G2;0;0;0;0;0;0;0;0
016.G512;0;0;0;0;0;0;0;0
016.G41;0;0;0;0;0;0;0;0
016.G31;0;0;0;0;0;0;0;0
016.G11;0;0;0;0;0;0;0;0
016.G5110;0;0;0;0;0;0;0;0
016.G12;0;0;0;0;0;0;0;0
016.H21;0;0;0;0;0;0;0;0
016.G322;0;0;0;0;0;0;0;0
016.H11;0;0;0;0;0;0;0;0
016.G522;0;0;0;0;0;0;0;0
016.G51A0;0;0;0;0;0;0;0;0
016.G52A21;0;0;0;0;0;0;0;0
016.G52A1;0;0;0;0;0;0;0;0
016.G4A;0;0;0;0;0;0;0;0
016.G32Z;0;0;0;0;0;0;0;0
089.A;0;0;0;0;0;0;0;0
089.B80;0;0;0;0;0;0;0;0
089.B5;0;0;0;0;0;0;0;0
089.B2;0;0;0;0;0;0;0;0
089.B3;0;0;0;0;0;0;0;0
089.B70;0;0;0;0;0;0;0;0
089.B40;0;0;0;0;0;0;0;0
089.B6;0;0;0;0;0;0;0;0
089.B1;0;0;0;0;0;0;0;0
089.B4Z;0;0;0;0;0;0;0;0
089.B8Z;0;0;0;0;0;0;0;0
089.C20;0;0;0;0;0;0;0;0
089.C1;0;0;0;0;0;0;0;0
019.DB21;0;0;0;0;0;0;0;0
019.DB1;0;0;0;0;0;0;0;0
019.DB22;0;0;0;0;0;0;0;0
019.DC0;0;0;0;0;0;0;0;0
019.DB2A0;0;0;0;0;0;0;0;0
140.B51;0;0;0;0;0;0;0;0
140.B52;0;0;0;0;0;0;0;0
140.B31;0;0;0;0;0;0;0;0
140.B2;0;0;0;0;0;0;0;0
140.B7;0;0;0;0;0;0;0;0
140.B1;0;0;0;0;0;0;0;0
140.B6;0;0;0;0;0;0;0;0
140.B4;0;0;0;0;0;0;0;0
140.D;0;0;0;0;0;0;0;0
140.B32;0;0;0;0;0;0;0;0
140.B8;0;0;0;0;0;0;0;0
140.C;0;0;0;0;0;0;0;0
140.B3Z;0;0;0;0;0;0;0;0
140.B5A;0;0;0;0;0;0;0;0
002.JD32;0;0;0;0;0;0;0;0
002.JD31;0;0;0;0;0;0;0;0
002.JD1;0;0;0;0;0;0;0;0
002.JD2;0;0;0;0;0;0;0;0
002.JD4;0;0;0;0;0;0;0;0
002.JC8;0;0;0;0;0;0;0;0
002.JC7;0;0;0;0;0;0;0;0
002.JD3A0;0;0;0;0;0;0;0;0
160.B41;0;0;0;0;0;0;0;0
160.B3;0;0;0;0;0;0;0;0
160.C;0;0;0;0;0;0;0;0
160.B42;0;0;0;0;0;0;0;0
002.S4;0;0;0;0;0;0;0;0
002.S9;0;0;0;0;0;0;0;0
002.S5;0;0;0;0;0;0;0;0
002.S6;0;0;0;0;0;0;0;0
002.S2;0;0;0;0;0;0;0;0
002.S3;0;0;0;0;0;0;0;0
002.S1;0;0;0;0;0;0;0;0
002.T2;0;0;0;0;0;0;0;0
002.SA0;0;0;0;0;0;0;0;0
002.T11;0;0;0;0;0;0;0;0
002.EB32;0;0;0;0;0;0;0;0
002.EB31;0;0;0;0;0;0;0;0
002.EB4;0;0;0;0;0;0;0;0
002.EB111;0;0;0;0;0;0;0;0
002.EB112;0;0;0;0;0;0;0;0
002.EB2;0;0;0;0;0;0;0;0
002.EA;0;0;0;0;0;0;0;0
002.EB3A0;0;0;0;0;0;0;0;0
002.EB11A;0;0;0;0;0;0;0;0
021.D4;0;0;0;0;0;0;0;0
021.E110;0;0;0;0;0;0;0;0
021.D30;0;0;0;0;0;0;0;0
021.D2;0;0;0;0;0;0;0;0
021.D62;0;0;0;0;0;0;0;0
021.D7;0;0;0;0;0;0;0;0
021.E21;0;0;0;0;0;0;0;0
021.D82;0;0;0;0;0;0;0;0
021.D9;0;0;0;0;0;0;0;0
021.D1;0;0;0;0;0;0;0;0
021.D81;0;0;0;0;0;0;0;0
021.D52;0;0;0;0;0;0;0;0
021.D51;0;0;0;0;0;0;0;0
021.D61;0;0;0;0;0;0;0;0
021.D8Z;0;0;0;0;0;0;0;0
021.DA;0;0;0;0;0;0;0;0
002.JBB21;0;0;0;0;0;0;0;0
002.JBB13;0;0;0;0;0;0;0;0
002.JBB11;0;0;0;0;0;0;0;0
002.JBC0;0;0;0;0;0;0;0;0
002.JBB12;0;0;0;0;0;0;0;0
002.JBB22;0;0;0;0;0;0;0;0
002.JBB2A;0;0;0;0;0;0;0;0
002.JBB1A0;0;0;0;0;0;0;0;0
012.CB21A;0;0;0;0;0;0;0;0
012.CB82;0;0;0;0;0;0;0;0
012.CB6;0;0;0;0;0;0;0;0
012.CB1;0;0;0;0;0;0;0;0
012.CB40;0;0;0;0;0;0;0;0
012.CB22;0;0;0;0;0;0;0;0
012.CB23;0;0;0;0;0;0;0;0
012.CB50;0;0;0;0;0;0;0;0
012.CB3;0;0;0;0;0;0;0;0
012.CB210;0;0;0;0;0;0;0;0
012.CB72;0;0;0;0;0;0;0;0
012.CB71;0;0;0;0;0;0;0;0
012.CB81;0;0;0;0;0;0;0;0
012.CB4Z;0;0;0;0;0;0;0;0
012.CB5Z;0;0;0;0;0;0;0;0
012.CC2;0;0;0;0;0;0;0;0
012.CC10;0;0;0;0;0;0;0;0
012.CB7A0;0;0;0;0;0;0;0;0
156.2B;0;0;0;0;0;0;0;0
156.2A;0;0;0;0;0;0;0;0
164.H;0;0;0;0;0;0;0;0
002.DFJ;0;0;0;0;0;0;0;0
002.DFK2;0;0;0;0;0;0;0;0
002.DFK1;0;0;0;0;0;0;0;0
139.H12;0;0;0;0;0;0;0;0
139.H30;0;0;0;0;0;0;0;0
139.H42;0;0;0;0;0;0;0;0
139.H11;0;0;0;0;0;0;0;0
139.H6;0;0;0;0;0;0;0;0
139.H41;0;0;0;0;0;0;0;0
139.H2;0;0;0;0;0;0;0;0
139.H5;0;0;0;0;0;0;0;0
139.H9;0;0;0;0;0;0;0;0
139.H3A;0;0;0;0;0;0;0;0
139.H4A;0;0;0;0;0;0;0;0
139.H1A;0;0;0;0;0;0;0;0
002.DB3A;0;0;0;0;0;0;0;0
002.DA52;0;0;0;0;0;0;0;0
002.DB20;0;0;0;0;0;0;0;0
002.D5;0;0;0;0;0;0;0;0
002.D4;0;0;0;0;0;0;0;0
002.DAA111;0;0;0;0;0;0;0;0
002.E2A0;0;0;0;0;0;0;0;0
002.DB4;0;0;0;0;0;0;0;0
002.DAA31;0;0;0;0;0;0;0;0
002.DA51;0;0;0;0;0;0;0;0
002.DAA2Z;0;0;0;0;0;0;0;0
002.D6;0;0;0;0;0;0;0;0
002.E21;0;0;0;0;0;0;0;0
002.DAA41;0;0;0;0;0;0;0;0
002.E1Z;0;0;0;0;0;0;0;0
002.DAA112;0;0;0;0;0;0;0;0
002.DAA211;0;0;0;0;0;0;0;0
002.DA3;0;0;0;0;0;0;0;0
002.DA4;0;0;0;0;0;0;0;0
002.E6;0;0;0;0;0;0;0;0
002.F2A;0;0;0;0;0;0;0;0
002.E4Z;0;0;0;0;0;0;0;0
002.F21;0;0;0;0;0;0;0;0
002.E40;0;0;0;0;0;0;0;0
002.D3Z;0;0;0;0;0;0;0;0
002.DA5Z;0;0;0;0;0;0;0;0
002.D32;0;0;0;0;0;0;0;0
002.E2AA;0;0;0;0;0;0;0;0
002.E5Z;0;0;0;0;0;0;0;0
002.E22;0;0;0;0;0;0;0;0
002.DB1;0;0;0;0;0;0;0;0
002.DA1;0;0;0;0;0;0;0;0
002.D31;0;0;0;0;0;0;0;0
002.E8;0;0;0;0;0;0;0;0
002.E2B;0;0;0;0;0;0;0;0
002.F1;0;0;0;0;0;0;0;0
002.DAA32;0;0;0;0;0;0;0;0
002.E12;0;0;0;0;0;0;0;0
002.E50;0;0;0;0;0;0;0;0
002.DA6;0;0;0;0;0;0;0;0
002.DA2;0;0;0;0;0;0;0;0
002.DB31;0;0;0;0;0;0;0;0
002.E3;0;0;0;0;0;0;0;0
002.DAA42;0;0;0;0;0;0;0;0
002.D2Z;0;0;0;0;0;0;0;0
002.DAA12;0;0;0;0;0;0;0;0
002.D22;0;0;0;0;0;0;0;0
002.E11;0;0;0;0;0;0;0;0
002.DAA212;0;0;0;0;0;0;0;0
002.F22;0;0;0;0;0;0;0;0
002.DB32;0;0;0;0;0;0;0;0
002.E7;0;0;0;0;0;0;0;0
002.DB2A;0;0;0;0;0;0;0;0
002.DAA22;0;0;0;0;0;0;0;0
084.E5;0;0;0;0;0;0;0;0
084.E6;0;0;0;0;0;0;0;0
084.E42;0;0;0;0;0;0;0;0
084.E32;0;0;0;0;0;0;0;0
084.E31;0;0;0;0;0;0;0;0
084.E1;0;0;0;0;0;0;0;0
084.E41;0;0;0;0;0;0;0;0
084.E20;0;0;0;0;0;0;0;0
084.F;0;0;0;0;0;0;0;0
084.E2Z;0;0;0;0;0;0;0;0
084.E4A1;0;0;0;0;0;0;0;0
084.D5;0;0;0;0;0;0;0;0
084.E3Z;0;0;0;0;0;0;0;0
084.D6;0;0;0;0;0;0;0;0
084.E4A2;0;0;0;0;0;0;0;0
012.G22;0;0;0;0;0;0;0;0
012.G11;0;0;0;0;0;0;0;0
012.H10;0;0;0;0;0;0;0;0
012.G12;0;0;0;0;0;0;0;0
012.G21;0;0;0;0;0;0;0;0
012.H2;0;0;0;0;0;0;0;0
012.G9;0;0;0;0;0;0;0;0
012.GA1;0;0;0;0;0;0;0;0
012.GA20;0;0;0;0;0;0;0;0
012.F52;0;0;0;0;0;0;0;0
012.G2Z;0;0;0;0;0;0;0;0
012.F6;0;0;0;0;0;0;0;0
016.BG540;0;0;0;0;0;0;0;0
