regine;regine_ned;a_reg_km2;q_sp_m3/s/km2;runoff_mm/yr;q_reg_m3/s;vassom;komnr;fylke;ospar_region
001.;1_2;0;0;0;0;0;0;0;0
001.10;001.;1.41;0.014;441.504;0.01974;1;101;1;Skagerrak
001.1A1;001.10;1.16;0.014;441.504;0.01624;1;101;1;Skagerrak
001.1A20;001.1A1;0.35;0.01;315.36;0.0035;1;101;1;Skagerrak
001.1A2A;001.1A20;17.4;0.012;378.432;0.2088;1;101;1;Skagerrak
001.1A2B;001.1A2A;40.49;0.012;378.432;0.48588;1;101;1;Skagerrak
001.1A3;001.1A20;16.76;0.012;378.432;0.20112;1;101;1;Skagerrak
001.1A40;001.1A3;12.37;0.012;378.432;0.14844;1;101;1;Skagerrak
001.1A4A;001.1A40;35.2;0.014;441.504;0.4928;1;101;1;Skagerrak
001.1A4B;001.1A4A;2.8;0.013;409.968;0.0364;1;101;1;Skagerrak
001.1A4C;001.1A4B;14.97;0.013;409.968;0.19461;1;101;1;Skagerrak
001.1A4D;001.1A4C;7.92;0.014;441.504;0.11088;1;101;1;Skagerrak
001.1A5;001.1A40;5.87;0.017;536.112;0.09979;1;101;1;Skagerrak
001.1A6;001.1A5;0.35;0.019;599.184;0.00665;1;101;1;Skagerrak
001.1B;001.1A6;114.9;0.021;662.256;2.4129;1;101;1;Skagerrak
001.1C;001.1B;0.74;0.021;662.256;0.01554;1;101;1;Skagerrak
001.1D;001.1C;226.08;0.02;630.72;4.5216;1;101;1;Skagerrak
001.1E;001.1D;78.9;0.021;662.256;1.6569;1;101;1;Skagerrak
001.1F;001.1E;54.67;0.021;662.256;1.14807;1;101;1;Skagerrak
001.1G;001.1F;1.95;0.021;662.256;0.04095;1;101;1;Skagerrak
001.1H;001.1G;30.58;0.021;662.256;0.64218;1;101;1;Skagerrak
001.1J;001.1H;45.07;0.016;504.576;0.72112;1;101;1;Skagerrak
001.1K;001.1J;17.25;0.016;504.576;0.276;1;101;1;Skagerrak
001.1L;001.1K;37.96;0.015;473.04;0.5694;1;118;1;Skagerrak
001.1M;001.1L;15.38;0.014;441.504;0.21532;1;101;1;Skagerrak
001.21;001.10;0.22;0.01;315.36;0.0022;1;101;1;Skagerrak
001.2210;001.21;5.5;0.012;378.432;0.066;1;101;1;Skagerrak
001.221Z;001.2210;1.68;0.012;378.432;0.02016;1;101;1;Skagerrak
001.2220;001.2210;5.09;0.012;378.432;0.06108;1;101;1;Skagerrak
001.222Z;001.2220;6.21;0.012;378.432;0.07452;1;101;1;Skagerrak
001.2230;001.2220;8.27;0.011;346.896;0.09097;1;101;1;Skagerrak
001.223Z;001.2230;8.45;0.012;378.432;0.1014;1;101;1;Skagerrak
001.224;001.2230;9.59;0.012;378.432;0.11508;1;101;1;Skagerrak
