regine;a_wood_km2;a_agri_km2;a_upland_km2;a_glacier_km2;a_urban_km2;a_sea_km2
002.CAAC;23.337;0.000;0.000;0.000;0.000;0.000
002.CAB1;31.303;49.511;0.337;0.000;13.669;0.000
002.CAB2;20.675;27.363;0.000;0.000;0.817;0.000
002.CABA;47.896;1.658;0.000;0.000;0.000;0.000
002.CABB;13.494;0.000;0.000;0.000;0.000;0.000
002.CAC;84.424;14.638;0.000;0.000;0.495;0.000
002.CAD1;0.410;0.000;0.000;0.000;0.000;0.000
002.CAD2;5.320;0.000;0.000;0.000;0.000;0.000
002.CAD3;4.130;0.000;0.000;0.000;0.000;0.000
002.CAD4;12.990;0.040;0.000;0.000;0.000;0.000
002.CAD5;20.820;0.000;0.000;0.000;0.000;0.000
002.CAD6;20.960;0.000;0.000;0.000;0.000;0.000
002.CAE1;1.930;0.000;0.000;0.000;0.000;0.000
002.CAE2;7.980;0.000;0.000;0.000;0.000;0.000
002.CAE3;9.370;0.000;0.000;0.000;0.000;0.000
002.CAE4;0.840;0.000;0.000;0.000;0.000;0.000
002.CAE5;0.380;0.000;0.000;0.000;0.000;0.000
002.CAE6;9.280;0.000;0.000;0.000;0.000;0.000
002.CB0;1.190;0.702;0.000;0.000;6.588;0.000
002.CBA0;5.669;2.076;0.000;0.000;7.182;0.000
002.CBAA;17.016;6.722;0.312;0.000;1.685;0.000
002.CBAB;25.775;0.000;0.000;0.000;0.000;0.000
002.CBB1;2.989;0.174;0.000;0.000;1.164;0.000
002.CBB2;0.050;0.346;0.000;0.000;2.330;0.000
002.CBB3;4.593;0.086;0.183;0.000;1.149;0.000
002.CBB4;3.176;0.364;0.005;0.000;2.011;0.000
002.CBB5;2.103;0.000;0.000;0.000;0.000;0.000
002.CBB6;0.572;0.000;0.000;0.000;0.000;0.000
002.CBC;15.914;0.000;0.000;0.000;0.000;0.000
002.CC0;47.610;21.952;0.434;0.000;8.881;0.000
002.CCZ;24.280;0.338;0.000;0.000;1.351;0.000
002.CD10;31.738;8.306;0.000;0.000;0.369;0.000
002.CD1A;2.456;0.409;0.000;0.000;0.000;0.000
002.CD1B;7.915;0.000;0.000;0.000;0.000;0.000
002.CD2;18.053;2.922;0.000;0.000;1.670;0.000
002.CDA;6.648;0.143;0.000;0.000;0.000;0.000
002.CDB;11.765;0.000;0.000;0.000;0.000;0.000
002.CE0;14.103;0.312;0.000;0.000;0.000;0.000
002.CEA1;0.890;0.000;0.000;0.000;0.000;0.000
002.CEA21;2.517;0.000;0.000;0.000;0.000;0.000
002.CEA22;0.650;0.000;0.000;0.000;0.000;0.000
002.CEA2A;3.610;0.000;0.000;0.000;0.000;0.000
002.CEA2B;2.280;0.000;0.000;0.000;0.000;0.000
002.CEA3;7.550;0.000;0.000;0.000;0.000;0.000
002.CEA4;1.280;0.000;0.000;0.000;0.000;0.000
002.CEA5;1.610;0.000;0.000;0.000;0.000;0.000
002.CEA60;0.780;0.000;0.000;0.000;0.000;0.000
002.CEA6A;0.970;0.000;0.000;0.000;0.000;0.000
002.CEA6B;3.440;0.000;0.000;0.000;0.000;0.000
002.CEB;13.360;0.000;0.000;0.000;0.000;0.000
002.CF0;11.180;0.000;0.000;0.000;0.000;0.000
002.CFZ;0.708;0.000;0.000;0.000;0.000;0.000
002.CG;17.620;0.000;0.000;0.000;0.000;0.000
002.CH;15.360;0.000;0.000;0.000;0.000;0.000
002.D1;26.234;8.395;0.000;0.000;2.198;0.000
002.D21;8.061;3.289;0.000;0.000;1.105;0.000
002.D22;0.381;2.251;0.000;0.000;0.012;0.000
002.D2Z;91.341;111.949;0.187;0.000;3.256;0.000
002.D31;7.183;2.638;0.000;0.000;0.154;0.000
002.D32;1.337;2.474;0.000;0.000;0.341;0.000
002.D3Z;95.773;31.623;0.000;0.000;0.170;0.000
002.D4;2.748;2.782;0.000;0.000;0.099;0.000
002.D5;32.064;29.859;0.000;0.000;3.967;0.000
002.D6;22.533;26.908;0.000;0.000;0.252;0.000
002.DA1;4.292;11.567;0.000;0.000;0.502;0.000
002.DA2;7.601;16.037;0.000;0.000;0.119;0.000
002.DA3;6.912;6.369;0.000;0.000;0.043;0.000
002.DA4;10.926;4.811;0.000;0.000;0.000;0.000
002.DA51;8.156;2.069;0.000;0.000;0.000;0.000
002.DA52;0.381;0.951;0.000;0.000;0.258;0.000
002.DA5Z;54.010;1.756;0.009;0.000;0.302;0.000
002.DA6;9.545;1.237;0.000;0.000;0.074;0.000
002.DAA111;0.153;0.023;0.000;0.000;0.006;0.000
002.DAA112;0.735;2.017;0.000;0.000;0.000;0.000
002.DAA12;0.134;0.726;0.000;0.000;0.057;0.000
002.DAA1Z;18.963;10.197;0.000;0.000;0.421;0.000
002.DAA211;0.035;0.000;0.000;0.000;0.177;0.000
002.DAA212;2.212;2.043;0.100;0.000;0.116;0.000
002.DAA22;0.022;0.893;0.000;0.000;0.000;0.000
002.DAA2Z;57.519;16.387;2.147;0.000;5.057;0.000
002.DAA31;0.096;0.165;0.000;0.000;0.164;0.000
002.DAA32;1.909;1.889;0.000;0.000;0.282;0.000
002.DAA41;0.485;0.984;0.000;0.000;0.797;0.000
002.DAA42;1.539;3.728;0.000;0.000;0.755;0.000
002.DAB1;14.076;0.000;0.000;0.000;0.000;0.000
002.DAB20;57.133;8.807;0.000;0.000;0.352;0.000
002.DAB2A;20.095;0.042;0.000;0.000;0.047;0.000
002.DAB2B;3.877;0.000;0.000;0.000;0.000;0.000
002.DAB2C;13.560;0.000;0.000;0.000;0.000;0.000
002.DAB3;24.409;0.526;0.000;0.000;0.000;0.000
002.DAB4;19.471;1.493;0.000;0.000;0.073;0.000
002.DAB9;0.447;0.219;0.000;0.000;0.181;0.000
002.DABA;43.599;1.446;0.000;0.000;0.000;0.000
002.DABB;27.475;0.000;0.000;0.000;0.000;0.000
002.DABC;48.325;0.000;0.000;0.000;0.000;0.000
002.DAC10;9.137;1.329;0.000;0.000;0.211;0.000
002.DAC1A;22.708;0.319;0.000;0.000;0.000;0.000
002.DAC1B;6.250;0.000;0.000;0.000;0.000;0.000
002.DAC1C;14.780;0.000;0.000;0.000;0.000;0.000
002.DAC2;5.011;0.929;0.000;0.000;0.055;0.000
002.DAC3;6.872;1.322;0.000;0.000;0.000;0.000
002.DAC4;13.489;0.752;0.000;0.000;0.000;0.000
002.DAD;15.550;0.000;0.000;0.000;0.000;0.000
002.DAE;36.740;0.000;0.000;0.000;0.000;0.000
002.DB1;5.655;7.086;0.000;0.000;1.404;0.000
002.DB20;5.152;6.215;0.000;0.000;0.540;0.000
002.DB2A;13.997;3.438;0.000;0.000;0.265;0.000
002.DB2B;10.706;0.000;0.000;0.000;0.000;0.000
002.DB31;0.347;1.167;0.000;0.000;0.000;0.000
002.DB32;2.380;0.655;0.000;0.000;0.020;0.000
002.DB3A;6.989;1.343;0.000;0.000;0.000;0.000
002.DB3B;10.761;0.000;0.000;0.000;0.000;0.000
002.DB3C;11.840;0.000;0.000;0.000;0.000;0.000
002.DB3D;8.668;0.000;0.000;0.000;0.000;0.000
002.DB4;2.208;1.029;0.000;0.000;0.001;0.000
002.DC11;15.182;1.590;0.000;0.000;0.470;0.000
002.DC12;17.526;0.289;0.000;0.000;0.000;0.000
002.DC13;18.970;0.969;0.000;0.000;0.543;0.000
002.DC14;21.100;5.896;0.000;0.000;0.000;0.000
002.DC1A;80.475;13.024;0.000;0.000;0.156;0.000
002.DC1B;8.656;5.162;0.000;0.000;0.232;0.000
002.DC1C;50.381;0.271;0.000;0.000;0.169;0.000
002.DC21;16.954;2.528;0.000;0.000;0.282;0.000
002.DC22;22.149;4.488;0.000;0.000;0.457;0.000
002.DC23;15.368;1.562;0.029;0.000;0.000;0.000
002.DC31;13.380;1.517;0.000;0.000;0.000;0.000
002.DC32;10.808;3.649;0.000;0.000;0.000;0.000
002.DC33;4.093;21.110;0.124;0.000;0.145;0.000
002.DC34;0.812;20.395;0.000;0.000;0.354;0.000
002.DC35;0.854;2.156;0.032;0.000;2.437;0.000
002.DC3A0;6.484;23.757;0.000;0.000;0.389;0.000
002.DC3AZ;24.231;6.792;0.000;0.000;0.112;0.000
002.DC3B0;15.641;37.954;0.341;0.000;1.988;0.000
002.DC3BZ;79.649;33.322;1.868;0.000;1.426;0.000
002.DC3C0;50.045;19.792;0.000;0.000;0.778;0.000
002.DC3CA;1.043;0.000;0.000;0.000;0.000;0.000
002.DC3CB;55.418;2.199;0.000;0.000;0.000;0.000
002.DC3CC;34.636;0.470;0.000;0.000;0.000;0.000
002.DC3D;25.774;0.149;0.000;0.000;0.000;0.000
002.DC3E;5.677;0.370;0.000;0.000;0.000;0.000
002.DC3F;53.190;0.000;0.000;0.000;0.000;0.000
002.DC41;7.645;0.694;0.180;0.000;0.000;0.000
002.DC42;1.422;0.000;0.000;0.000;0.000;0.000
002.DC43;10.690;11.780;1.420;0.000;0.000;0.000
002.DC4A0;50.090;42.070;0.000;0.000;0.000;0.000
002.DC4AZ;7.680;7.040;0.000;0.000;0.000;0.000
002.DC4B0;16.060;78.450;0.000;0.000;0.000;0.000
002.DC4BZ;12.105;0.000;0.000;0.000;0.000;0.000
002.DC4C;29.830;12.000;0.000;0.000;0.000;0.000
002.DC510;0.066;2.148;0.054;0.000;0.328;0.000
002.DC51Z;13.801;8.703;0.000;0.000;1.030;0.000
002.DC52;0.185;0.059;0.020;0.000;0.114;0.000
002.DC53;0.726;0.130;0.000;0.000;4.664;0.000
002.DC5A0;0.287;5.595;0.179;0.000;0.664;0.000
002.DC5AZ;15.471;9.633;0.304;0.000;0.341;0.000
002.DC5B;30.107;23.739;0.243;0.000;1.323;0.000
002.DC5C;87.483;0.430;0.552;0.000;0.000;0.000
002.DC61;0.000;0.000;0.000;0.000;0.000;0.000
002.DC62;0.000;0.000;0.000;0.000;0.000;0.000
002.DC63;0.000;0.000;0.000;0.000;0.000;0.000
002.DC71;8.644;14.341;0.105;0.000;6.855;0.000
002.DC72;40.839;29.334;0.329;0.000;2.049;0.000
002.DC73;27.864;27.977;0.000;0.000;0.178;0.000
002.DC74;4.874;13.543;0.000;0.000;0.000;0.000
002.DC75;12.721;26.054;0.000;0.000;0.203;0.000
002.DC7A0;22.771;7.254;0.126;0.000;1.347;0.000
002.DC7AZ;33.768;0.972;0.000;0.000;0.000;0.000
002.DC7B0;35.339;4.494;0.000;0.000;0.130;0.000
002.DC7BA0;7.858;0.000;0.000;0.000;0.000;0.000
002.DC7BAA;12.819;0.000;0.000;0.000;0.000;0.000
002.DC7BAB;16.284;0.364;0.310;0.000;0.000;0.000
002.DC7BB1;5.230;0.000;0.000;0.000;0.000;0.000
002.DC7BB2;1.085;0.000;0.000;0.000;0.000;0.000
002.DC7BB3;6.987;0.000;0.000;0.000;0.000;0.000
002.DC7BB4;2.317;0.000;0.000;0.000;0.000;0.000
002.DC7C;47.869;0.108;0.000;0.000;0.000;0.000
002.DC7D;11.651;0.000;0.000;0.000;0.000;0.000
002.DCA0;0.610;0.220;0.310;0.000;3.910;0.000
002.DCAZ;57.140;10.200;0.000;0.000;2.020;0.000
002.DCB0;7.400;1.230;0.000;0.000;2.170;0.000
002.DCBA;10.490;0.000;0.000;0.000;0.000;0.000
002.DCBB;12.360;0.000;0.000;0.000;0.000;0.000
002.DCBC;30.120;0.000;0.000;0.000;0.000;0.000
002.DCC1;12.220;2.360;0.000;0.000;0.000;0.000
002.DCC2;4.060;11.400;0.000;0.000;2.370;0.000
002.DCC3;25.070;1.760;0.000;0.000;0.000;0.000
002.DCC4;4.630;10.240;0.000;0.000;0.170;0.000
002.DCC5;0.930;0.000;0.000;0.000;0.000;0.000
002.DCC6;5.000;1.090;0.000;0.000;0.000;0.000
002.DCD11;0.480;0.010;0.000;0.000;0.000;0.000
002.DCD12;37.080;3.680;0.000;0.000;0.000;0.000
002.DCD1A;0.240;0.000;0.000;0.000;0.000;0.000
002.DCD1B;20.810;1.170;0.000;0.000;0.000;0.000
002.DCD2;27.780;10.890;0.000;0.000;0.000;0.000
002.DCE;3.529;0.000;0.000;0.000;0.000;0.000
002.DD11;14.194;22.584;0.000;0.000;0.000;0.000
002.DD12;13.599;14.322;0.000;0.000;0.588;0.000
002.DD1A1;3.384;0.000;0.000;0.000;0.680;0.000
002.DD1A2;0.436;0.652;0.000;0.000;0.962;0.000
002.DD1A3;10.686;2.144;0.000;0.000;0.000;0.000
002.DD1A4;1.128;1.388;0.000;0.000;0.000;0.000
002.DD1A5;9.324;1.451;0.000;0.000;0.000;0.000
002.DD1A6;4.138;0.928;0.000;0.000;0.000;0.000
002.DD1B;98.689;9.412;0.000;0.000;0.119;0.000
002.DD1C;31.329;5.961;0.000;0.000;0.000;0.000
002.DD20;0.000;0.000;0.000;0.000;0.000;0.000
002.DD2A1;0.070;0.920;0.000;0.000;0.000;0.000
002.DD2A2;3.120;1.020;0.000;0.000;0.000;0.000
002.DD2A30;14.810;4.770;0.000;0.000;0.000;0.000
002.DD2A3Z;19.150;0.440;0.000;0.000;0.000;0.000
002.DD2A4;10.680;0.830;0.000;0.000;0.000;0.000
002.DD2B;61.530;1.480;0.000;0.000;0.000;0.000
