regine;a_wood_km2;a_agri_km2;a_upland_km2;a_glacier_km2;a_urban_km2;a_sea_km2
001.10;0.766;0.000;0.063;0.000;0.000;0.870
001.1A1;1.147;0.000;0.007;0.000;0.000;0.000
001.1A20;0.336;0.000;0.011;0.000;0.000;0.000
001.1A2A;15.328;1.890;0.000;0.000;0.060;0.000
001.1A2B;31.859;1.534;0.000;0.000;0.063;0.000
001.1A3;14.672;1.659;0.000;0.000;0.000;0.000
001.1A40;10.153;2.002;0.000;0.000;0.000;0.000
001.1A4A;29.550;0.357;0.000;0.000;0.000;0.000
001.1A4B;2.503;0.000;0.000;0.000;0.000;0.000
001.1A4C;14.421;0.407;0.005;0.000;0.000;0.000
001.1A4D;7.353;0.000;0.000;0.000;0.000;0.000
001.1A5;2.901;0.332;0.000;0.000;0.000;0.000
001.1A6;0.001;0.000;0.000;0.000;0.000;0.000
001.1B;0.311;0.000;0.000;0.000;0.000;0.000
001.1C;0.000;0.000;0.000;0.000;0.000;0.000
001.1D;0.000;0.000;0.000;0.000;0.000;0.000
001.1E;0.000;0.000;0.000;0.000;0.000;0.000
001.1F;0.000;0.000;0.000;0.000;0.000;0.000
001.1G;0.000;0.000;0.000;0.000;0.000;0.000
001.1H;0.000;0.000;0.000;0.000;0.000;0.000
001.1J;20.620;0.259;0.000;0.000;0.249;0.000
001.1K;10.906;0.722;0.000;0.000;0.000;0.000
001.1L;17.158;0.000;0.197;0.000;0.000;0.000
001.1M;13.112;0.000;0.004;0.000;0.000;0.000
001.21;0.103;0.000;0.057;0.000;0.000;0.000
001.2210;3.790;0.273;0.100;0.000;0.000;0.520
001.221Z;1.621;0.062;0.000;0.000;0.000;0.000
001.2220;3.456;0.206;0.000;0.000;0.000;0.720
001.222Z;5.697;0.510;0.000;0.000;0.000;0.000
001.2230;4.939;0.632;0.000;0.000;0.000;2.990
001.223Z;7.072;1.379;0.000;0.000;0.000;0.000
001.224;4.761;0.239;0.000;0.000;0.810;3.530
001.22Z;13.043;7.879;0.167;0.000;1.284;0.000
001.2Z;24.532;1.694;0.115;0.000;0.000;0.000
001.310;0.731;0.066;0.000;0.000;0.298;1.110
001.31Z;10.402;7.788;0.000;0.000;1.183;0.000
001.320;1.477;0.153;0.000;0.000;0.230;1.330
001.32Z;1.107;1.510;0.000;0.000;0.198;0.000
001.33;4.008;0.644;0.000;0.000;0.186;2.710
001.3Z;10.136;7.119;0.000;0.000;0.076;0.000
001.A1;0.082;0.000;0.000;0.000;0.311;0.000
001.A2;1.981;0.787;0.000;0.000;4.773;0.000
001.A3;0.366;0.000;0.000;0.000;0.169;0.000
001.A4;0.200;0.032;0.000;0.000;0.524;0.000
001.A5;0.783;0.177;0.000;0.000;0.198;0.000
001.A6;0.727;0.396;0.000;0.000;0.829;0.000
001.A7;0.392;0.625;0.000;0.000;0.437;0.000
001.A8;0.072;0.000;0.000;0.000;0.061;0.000
001.B10;2.630;0.129;0.000;0.000;0.048;0.000
001.B1A;0.198;0.000;0.000;0.000;0.000;0.000
001.B1B1;3.060;0.000;0.000;0.000;0.000;0.000
001.B1B2;0.878;0.000;0.000;0.000;0.000;0.000
001.B1B3;0.433;0.000;0.000;0.000;0.000;0.000
001.B1B4;37.189;0.389;0.000;0.000;0.000;0.000
001.B1C;2.246;0.000;0.000;0.000;0.000;0.000
001.B1D;6.554;0.000;0.000;0.000;0.000;0.000
001.B1E;2.596;0.000;0.000;0.000;0.000;0.000
001.B21;17.872;3.506;0.531;0.000;0.243;0.000
001.B22;36.699;1.961;0.232;0.000;0.000;0.000
001.B2A;17.187;2.550;0.000;0.000;0.000;0.000
001.B2B;3.412;0.651;0.000;0.000;0.000;0.000
001.B2C;21.429;0.052;0.000;0.000;0.000;0.000
001.B3;1.286;0.000;0.000;0.000;0.000;0.000
001.B4;0.871;0.000;0.000;0.000;0.000;0.000
001.B5;2.173;0.000;0.000;0.000;0.000;0.000
001.B6;1.910;0.000;0.719;0.000;0.000;0.000
001.B7;12.077;0.000;0.000;0.000;0.000;0.000
001.B8;1.368;0.166;0.000;0.000;0.000;0.000
001.C1;19.336;0.000;0.000;0.000;0.000;0.000
001.C2;3.060;0.519;0.000;0.000;0.000;0.000
001.C31;6.120;0.012;0.000;0.000;0.000;0.000
001.C32;9.364;1.742;0.000;0.000;0.000;0.000
001.C3A;10.922;0.827;0.000;0.000;0.000;0.000
001.C3B1;0.613;0.000;0.000;0.000;0.000;0.000
001.C3B2;0.058;0.000;0.000;0.000;0.000;0.000
001.C3C1;5.383;0.000;0.000;0.000;0.000;0.000
001.C3C2;1.592;0.000;0.000;0.000;0.000;0.000
001.C4;14.931;3.414;0.000;0.000;0.000;0.000
001.C5;2.749;0.370;0.000;0.000;0.000;0.000
001.C6;3.842;0.050;0.000;0.000;0.000;0.000
001.D1;36.894;7.601;0.143;0.000;0.000;0.000
001.D2;41.277;3.820;0.008;0.000;0.000;0.000
001.D3;1.650;0.367;0.000;0.000;0.000;0.000
001.D4;0.452;0.320;0.000;0.000;0.000;0.000
001.E1;24.300;3.254;0.000;0.000;0.000;0.000
001.E2;13.418;0.567;0.207;0.000;0.000;0.000
001.E31;5.684;2.310;0.000;0.000;0.000;0.000
001.E32;0.201;0.154;0.000;0.000;0.373;0.000
001.E3A;0.534;1.145;0.000;0.000;0.030;0.000
001.E3B;9.228;4.109;0.000;0.000;0.697;0.000
001.E3C;10.950;0.945;0.000;0.000;0.014;0.000
001.E4;46.262;3.458;0.000;0.000;0.170;0.000
001.F11;40.294;10.319;0.000;0.000;0.313;0.000
001.F12;2.289;0.000;0.000;0.000;0.000;0.000
001.F1A;21.244;2.101;0.000;0.000;0.000;0.000
001.F1B;10.147;0.000;0.000;0.000;0.000;0.000
001.F1C;8.768;0.000;0.000;0.000;0.000;0.000
001.F2;48.566;14.197;0.001;0.000;0.014;0.000
001.F3;8.312;0.896;0.000;0.000;0.000;0.000
001.F4;2.988;0.000;0.000;0.000;0.000;0.000
001.F5;0.915;0.239;0.000;0.000;0.000;0.000
001.F6;1.203;0.107;0.000;0.000;0.000;0.000
001.FA;15.732;2.878;0.000;0.000;0.000;0.000
001.FB;67.770;0.604;0.001;0.000;0.000;0.000
001.FC11;5.945;0.120;0.000;0.000;0.000;0.000
001.FC12;43.085;1.552;0.000;0.000;0.000;0.000
001.FC1A;2.960;0.000;0.000;0.000;0.000;0.000
001.FC1B;8.502;0.000;0.000;0.000;0.000;0.000
001.FC1C;3.689;0.000;0.000;0.000;0.000;0.000
001.FC2;30.228;0.484;0.000;0.000;0.000;0.000
001.FD;53.563;1.059;0.000;0.000;0.000;0.000
001.G0;9.547;2.321;0.000;0.000;0.000;0.000
001.GA0;3.704;3.686;0.000;0.000;0.120;0.000
001.GAA;45.414;9.880;0.000;0.000;0.123;0.000
001.GAB;11.377;0.000;0.000;0.000;0.000;0.000
001.GB;2.244;1.968;0.000;0.000;0.186;0.000
001.GC;53.254;16.536;0.000;0.000;0.000;0.000
001.GD;5.363;1.622;0.000;0.000;0.000;0.000
001.H1;26.332;8.600;0.000;0.000;0.000;0.000
001.H2;32.307;16.244;0.000;0.000;0.861;0.000
001.H3;0.980;0.227;0.000;0.000;0.000;0.000
001.H4;0.000;0.268;0.000;0.000;0.008;0.000
001.J1;0.676;0.552;0.000;0.000;0.000;0.000
001.J2;0.342;0.866;0.000;0.000;0.000;0.000
001.J3;11.387;4.358;0.000;0.000;0.000;0.000
001.J4;23.180;6.499;0.000;0.000;0.280;0.000
001.K110;1.363;0.686;0.000;0.000;0.122;0.000
001.K11A;6.016;0.585;0.000;0.000;0.067;0.000
001.K11B;4.574;0.000;0.000;0.000;0.000;0.000
001.K11C;4.858;0.000;0.000;0.000;0.000;0.000
001.K12;9.768;4.774;0.000;0.000;0.000;0.000
001.K1Z;43.625;3.185;0.000;0.000;0.000;0.000
001.K2;3.735;1.292;0.000;0.000;1.008;0.000
001.K3;8.534;5.735;0.000;0.000;0.000;0.000
001.K41;7.966;4.983;0.000;0.000;0.324;0.000
001.K42;8.438;1.124;0.000;0.000;0.000;0.000
001.K4A;24.864;15.545;0.000;0.000;1.100;0.000
001.K4B;7.871;0.000;0.000;0.000;0.000;0.000
001.K4C;4.878;0.000;0.000;0.000;0.000;0.000
001.L;18.941;0.445;0.000;0.000;0.000;0.000
001.M;23.351;0.000;0.000;0.000;0.000;0.000
002.1110;7.110;1.430;0.071;0.000;0.158;7.090
002.111Z;19.295;10.380;0.000;0.000;0.000;0.000
002.1120;4.474;0.458;0.000;0.000;0.000;10.330
002.112Z;4.091;3.057;0.000;0.000;0.000;0.000
002.1130;4.627;0.096;0.115;0.000;0.385;3.100
002.113Z;15.212;11.315;0.000;0.000;0.000;0.000
002.114;14.150;6.674;0.031;0.000;0.000;21.730
002.1150;16.364;9.144;0.000;0.000;0.538;9.960
002.115Z;2.302;1.484;0.000;0.000;0.011;0.000
002.1160;9.194;0.610;0.255;0.000;0.000;13.760
002.116Z;1.715;0.748;0.000;0.000;0.054;0.000
002.1170;1.573;0.974;0.199;0.000;0.091;8.870
002.117Z;0.998;1.394;0.000;0.000;0.136;0.000
002.1180;0.001;1.012;0.321;0.000;0.000;1.170
002.118Z;1.586;1.353;0.000;0.000;0.000;0.000
002.1190;0.908;0.055;0.323;0.000;0.000;4.390
002.119Z;2.208;0.979;0.000;0.000;0.007;0.000
002.11Z;11.299;17.093;0.055;0.000;1.735;0.000
002.12;4.936;6.347;0.788;0.000;2.740;7.490
002.21;13.445;1.754;1.508;0.000;0.500;23.460
002.220;4.350;0.139;0.505;0.000;0.033;7.490
002.22Z;4.648;1.564;0.019;0.000;0.007;0.000
002.2A;11.235;4.771;0.583;0.000;10.226;0.000
002.2B;26.018;21.597;0.004;0.000;0.797;0.000
002.2C;14.922;21.755;0.000;0.000;0.272;0.000
002.31;1.868;0.006;1.101;0.000;0.000;33.140
002.320;14.877;3.558;3.324;0.000;0.195;61.420
002.32Z;4.415;3.580;0.091;0.000;0.000;0.000
002.3Z;4.052;0.611;0.111;0.000;0.269;0.000
002.41;29.609;3.614;8.878;0.000;0.678;89.540
002.42;1.935;1.243;7.086;0.000;0.149;141.550
002.43;3.011;0.231;7.360;0.000;0.000;17.810
002.44;10.717;0.000;8.180;0.000;0.376;160.270
002.A1;0.315;1.560;0.347;0.000;4.831;0.000
002.A20;4.610;3.167;0.522;0.000;6.864;0.000
002.A2A;13.232;11.296;0.152;0.000;3.154;0.000
002.A2B;26.315;4.000;0.000;0.000;0.000;0.000
002.A2C;12.415;5.738;0.157;0.000;0.566;0.000
002.A3;7.390;16.807;0.359;0.000;1.881;0.000
002.A4;0.339;2.284;0.023;0.000;7.573;0.000
002.A51;5.807;2.795;0.000;0.000;4.476;0.000
002.A52;37.251;13.566;0.000;0.000;0.552;0.000
002.A5A;23.561;6.419;0.000;0.000;0.327;0.000
002.A5B;39.789;4.214;0.102;0.000;0.344;0.000
002.A5C;76.675;7.956;0.000;0.000;0.000;0.000
002.A60;15.314;5.849;0.216;0.000;3.953;0.000
002.A6Z;26.536;1.512;0.000;0.000;0.001;0.000
002.A7;9.175;2.278;0.000;0.000;0.000;0.000
002.A8;33.002;16.514;0.000;0.000;0.738;0.000
002.AA1;0.126;0.089;0.000;0.000;0.000;0.000
002.AA2;0.239;0.137;0.000;0.000;0.000;0.000
002.AA3;3.811;1.804;0.000;0.000;0.000;0.000
002.AA4;4.860;10.845;0.000;0.000;0.000;0.000
002.AA5;4.722;1.434;0.000;0.000;0.000;0.000
002.AA6;0.040;0.095;0.000;0.000;0.000;0.000
002.AA7;0.379;0.712;0.000;0.000;0.000;0.000
002.AA8;0.791;4.390;0.000;0.000;0.293;0.000
002.AAA;18.233;28.677;0.000;0.000;0.383;0.000
002.AAB;6.721;0.000;0.000;0.000;0.000;0.000
002.AB0;10.007;9.033;0.000;0.000;1.524;0.000
002.ABA;14.147;22.531;0.000;0.000;0.211;0.000
002.ABB;26.336;16.623;0.033;0.000;0.000;0.000
002.ABC;5.845;4.791;0.000;0.000;0.000;0.000
002.ABD;12.252;2.157;0.000;0.000;0.000;0.000
002.ABE;23.214;0.858;0.000;0.000;0.000;0.000
002.AC0;27.838;19.421;0.000;0.000;0.047;0.000
002.ACA;15.327;3.490;0.000;0.000;0.000;0.000
002.ACB;36.055;0.000;0.000;0.000;0.000;0.000
002.AD0;26.960;11.273;0.000;0.000;0.000;0.000
002.ADA;26.901;1.339;0.000;0.000;0.000;0.000
002.ADB;6.172;0.000;0.000;0.000;0.000;0.000
002.AE;44.176;1.803;0.000;0.000;0.000;0.000
002.B11;12.159;14.294;0.000;0.000;0.107;0.000
002.B12;16.761;21.982;0.000;0.000;0.476;0.000
002.B1A0;28.276;26.008;0.877;0.000;3.106;0.000
002.B1AZ;23.113;11.365;0.000;0.000;0.000;0.000
002.B1B;51.599;12.557;0.000;0.000;0.089;0.000
002.B1C;24.874;12.128;0.253;0.000;0.006;0.000
002.B1D;25.255;12.305;0.108;0.000;0.172;0.000
002.B2;13.095;21.171;0.000;0.000;0.000;0.000
002.B3;5.774;9.469;0.102;0.000;3.192;0.000
002.B4;14.965;12.851;0.000;0.000;0.000;0.000
002.B5;7.866;9.996;0.151;0.000;2.431;0.000
002.B61;26.079;14.526;0.000;0.000;1.085;0.000
002.B62;2.292;1.820;0.000;0.000;0.000;0.000
002.B6A;7.456;8.586;0.000;0.000;0.355;0.000
002.B6B;18.322;2.955;0.000;0.000;0.000;0.000
002.B7;7.517;6.194;0.000;0.000;0.000;0.000
002.B8;8.365;3.964;0.000;0.000;0.000;0.000
002.C11;21.892;27.707;0.231;0.000;0.947;0.000
002.C12;7.569;11.433;0.000;0.000;0.104;0.000
002.C2;5.517;1.433;0.000;0.000;0.000;0.000
002.C3;19.461;7.453;0.000;0.000;0.000;0.000
002.C40;8.872;10.274;0.000;0.000;0.000;0.000
002.C4A;7.679;7.108;0.000;0.000;0.023;0.000
002.C4B;11.532;4.775;0.000;0.000;0.250;0.000
002.C4C;24.797;0.000;0.000;0.000;0.000;0.000
002.C4D;7.400;0.000;0.000;0.000;0.000;0.000
002.C5;48.978;7.221;0.000;0.000;0.117;0.000
002.C6;13.632;5.859;0.000;0.000;0.990;0.000
002.C7;6.824;4.426;0.968;0.000;0.007;0.000
002.C8;22.462;4.760;0.450;0.000;0.378;0.000
002.CA0;17.086;8.106;0.564;0.000;2.060;0.000
002.CAA0;17.316;29.380;0.582;0.000;6.792;0.000
002.CAAA0;13.049;23.773;0.000;0.000;1.231;0.000
002.CAAAZ;20.310;4.713;0.000;0.000;0.148;0.000
002.CAAB;22.864;1.604;0.000;0.000;0.782;0.000
