regine;fylke_sone
002.CEA2B;2_1
002.CEA3;2_1
002.CEA4;2_1
002.CEA5;2_1
002.CEA60;2_1
002.CEA6A;2_1
002.CEA6B;2_1
002.CEB;2_1
002.CF0;2_1
002.CFZ;2_1
002.CG;2_1
002.CH;2_1
002.D1;2_1
002.D21;2_1
002.D22;2_1
002.D2Z;2_1
002.D31;2_1
002.D32;2_1
002.D3Z;2_1
002.D4;2_1
002.D5;2_1
002.D6;2_1
002.DA1;2_1
002.DA2;2_1
002.DA3;2_1
002.DA4;2_1
002.DA51;2_1
002.DA52;2_1
002.DA5Z;2_1
002.DA6;2_1
002.DAA111;2_1
002.DAA112;2_1
002.DAA12;2_1
002.DAA1Z;2_1
002.DAA211;2_1
002.DAA212;2_1
002.DAA22;2_1
002.DAA2Z;2_1
002.DAA31;2_1
002.DAA32;2_1
002.DAA41;2_1
002.DAA42;2_1
002.DAB1;2_1
002.DAB20;2_1
002.DAB2A;2_1
002.DAB2B;2_1
002.DAB2C;2_1
002.DAB3;2_1
002.DAB4;2_1
002.DAB9;2_1
002.DABA;2_1
002.DABB;2_1
002.DABC;2_1
002.DAC10;2_1
002.DAC1A;2_1
002.DAC1B;2_1
002.DAC1C;2_1
002.DAC2;2_1
002.DAC3;2_1
002.DAC4;2_1
002.DAD;2_1
002.DAE;2_1
002.DB1;2_1
002.DB20;2_1
002.DB2A;2_1
002.DB2B;2_1
002.DB31;2_1
002.DB32;2_1
002.DB3A;2_1
002.DB3B;2_1
002.DB3C;2_1
002.DB3D;2_1
002.DB4;2_1
002.DC11;2_1
002.DC12;2_1
002.DC13;2_1
002.DC14;4_1
002.DC1A;4_1
002.DC1B;4_1
002.DC1C;4_1
002.DC21;2_1
002.DC22;2_1
002.DC23;2_1
002.DC31;4_1
002.DC32;4_1
002.DC33;4_1
002.DC34;4_1
002.DC35;4_1
002.DC3A0;4_1
002.DC3AZ;4_1
002.DC3B0;4_1
002.DC3BZ;4_1
002.DC3C0;4_1
002.DC3CA;4_1
002.DC3CB;4_1
002.DC3CC;4_1
002.DC3D;4_1
002.DC3E;4_1
002.DC3F;4_1
002.DC41;2_1
002.DC42;2_1
002.DC43;2_1
002.DC4A0;5_1
002.DC4AZ;5_1
002.DC4B0;5_1
002.DC4BZ;5_1
002.DC4C;5_1
002.DC510;4_1
002.DC51Z;4_1
002.DC52;4_1
002.DC53;4_1
002.DC5A0;4_1
002.DC5AZ;4_1
002.DC5B;4_1
002.DC5C;4_1
002.DC61;5_1
002.DC62;5_1
002.DC63;5_1
002.DC71;4_1
002.DC72;4_1
002.DC73;4_1
002.DC74;4_1
002.DC75;4_1
002.DC7A0;4_1
002.DC7AZ;4_1
002.DC7B0;4_1
002.DC7BA0;4_1
002.DC7BAA;4_1
002.DC7BAB;4_1
002.DC7BB1;4_1
002.DC7BB2;4_1
002.DC7BB3;4_1
002.DC7BB4;4_1
002.DC7C;4_1
002.DC7D;4_1
002.DCA0;5_1
002.DCAZ;5_1
002.DCB0;5_1
002.DCBA;5_1
