regine;a_lake_km2
196.AD32Z;1.1477
196.AD23Z;0.4674
196.AE2;0.0012
196.AE1;0.0335
196.AC72;0.0012
016.J611;8.4512
016.J2;16.4514
016.J81;3.9272
016.J31;2.7771
016.J4;22.5197
016.J82;1.8004
016.J7;5.2482
016.J32;6.8251
016.J11;1.2347
016.J5;7.4074
016.J62;6.5264
016.J12;3.7114
016.J6A;0.0217
016.J8Z;1.8547
016.J3Z;1.5293
016.BG11B2;1.9839
016.J1A0;0.4857
016.K2;2.3650
016.J612;0.0085
016.J61Z;1.7258
019.F211;19.0463
019.F222;2.5111
019.F212;2.4218
019.F3;13.7095
019.F221;0.7931
019.F1;17.4928
019.G;17.6844
019.F9;12.4374
019.F420;8.5391
019.F41;3.3163
019.F2A0;0.0160
019.F21Z;2.2996
019.E52;0.1676
019.F42A2;0.0043
019.F4A;0.0015
019.F42A1;0.0173
019.F22A;0.6308
234.GBG20;22.3272
234.GBG4;34.5959
234.GBG10;5.1955
234.GBG3;9.8248
234.GBG1A;0.0492
123.G1;16.8641
123.GB1;6.9206
123.GB3;0.8933
123.G2;5.3327
123.G9;4.4433
123.GB20;18.8636
123.GA;13.6569
123.GB4;0.8456
123.F3;2.1996
123.H1;0.0055
123.GC;0.0779
123.F4;1.4207
123.H20;0.0069
123.GB2Z;0.2826
123.B4;3.5480
123.B10;1.9013
123.B6;9.2522
123.B71;6.6764
123.C1;0.2378
123.B20;4.0516
123.B32;3.4903
123.B52;6.3262
123.A823;0.2270
123.B72;4.5366
123.B810;7.0173
123.B83;7.8514
123.B81Z;0.8830
123.A7230;0.1993
123.A822;0.1166
123.A7220;0.4548
123.B51;0.7797
123.B82;1.4333
123.B31;1.1917
123.B7A0;0.0790
123.B5A;0.3364
123.B2A;0.0014
123.A723Z;1.0132
123.B8Z;2.3558
123.B3Z;0.4720
123.C21;0.0183
002.G7;3.1290
002.H32;0.5501
002.GCB;3.9156
002.G4;1.7868
002.H811;0.1235
002.H21;0.9363
002.GA6;0.5836
002.H712;0.4862
002.GA1;1.4635
002.FB;4.4701
002.H31;1.8206
002.GA5;0.5537
002.H33;1.0305
002.F4;1.1648
002.GC4;0.1597
002.GD0;0.5718
002.H5;1.9220
002.GBA0;0.0321
002.GC20;0.5929
002.G21;1.2312
002.GAC;0.1723
002.H22;2.6014
002.G5;0.9837
002.H12;2.9729
002.F62;0.8379
002.F3B;2.6665
002.H61;0.5215
002.G8;3.5096
002.GAB0;3.2346
002.H82;0.3991
002.GA20;0.8587
002.GC3;0.1655
002.G60;1.0695
002.G30;1.4744
002.H43;1.1678
002.H11;0.1614
002.F5;4.9677
002.GAA;0.1428
002.GC12;0.6115
002.H62;0.6452
002.GBB0;5.7336
002.GCA;0.1082
002.G6A;0.1915
002.H41;1.0412
002.H812;0.5885
002.H813;0.3981
002.F30;1.1164
002.F3A;0.1648
002.H72;1.0825
002.GA30;0.3182
002.H713;0.3753
002.GB0;0.0852
002.F63;0.6928
002.GA4;0.1574
002.G22;1.3733
002.G10;1.7484
002.G1A;1.2818
002.F61;1.8066
002.H711;0.1482
002.FA;0.1029
002.H42;0.4703
002.H1A0;0.0002
002.GABZ;0.2438
002.GC1A;0.0002
002.F6Z;1.4623
002.H2Z;0.6663
002.GA2Z;0.0344
002.GC2Z;0.5932
002.GBAZ;1.4263
002.H4A;0.1246
002.H7Z;0.0756
002.F3C;0.0015
002.GC11;0.0047
002.H3A0;0.0627
002.FC;0.8916
002.GA3Z;0.3124
016.B4;18.8883
016.B3;9.2927
016.C2;13.9878
016.C1;11.1405
016.C9;3.1485
016.BA21;0.0020
016.B1;0.0691
016.B2;0.0943
016.BA11;0.0008
016.G521;0.2472
016.G321;2.9273
016.G6;2.4148
016.G42;7.3838
016.G2;7.8156
016.G512;2.7375
016.G41;4.0371
016.G31;1.0300
016.G11;1.6148
016.G5110;5.5582
016.G12;3.0719
016.H21;0.1464
016.G322;8.4927
016.H11;0.0277
016.G522;5.7389
016.G51A0;0.0486
016.G52A21;0.0002
016.G52A1;0.0594
016.G4A;0.1847
016.G32Z;0.9542
089.A;0.2493
089.B80;4.8038
089.B5;11.6299
089.B2;3.9872
089.B3;4.5452
089.B70;4.9430
089.B40;4.5321
089.B6;12.9109
089.B1;3.5917
089.B4Z;0.7405
089.B8Z;0.0002
089.C20;0.0407
089.C1;0.0038
019.DB21;21.0421
019.DB1;27.1403
019.DB22;4.9998
019.DC0;0.1526
019.DB2A0;2.2378
140.B51;0.8652
140.B52;1.7172
140.B31;5.3750
140.B2;8.5998
140.B7;2.6650
140.B1;11.1287
140.B6;2.1753
140.B4;2.0541
140.D;0.8473
140.B32;6.8744
140.B8;5.8336
140.C;2.9173
140.B3Z;2.5341
140.B5A;0.0109
002.JD32;2.4977
002.JD31;10.4296
002.JD1;13.6380
002.JD2;11.7832
002.JD4;11.6302
002.JC8;0.0011
002.JC7;0.0834
002.JD3A0;0.0008
160.B41;0.0440
160.B3;0.0502
160.C;47.2223
160.B42;0.0121
002.S4;4.1077
002.S9;0.6156
002.S5;6.3860
002.S6;6.3337
002.S2;5.5573
002.S3;22.9765
002.S1;3.6116
002.T2;0.1364
002.SA0;0.1487
002.T11;0.0247
002.EB32;10.4188
002.EB31;9.2172
002.EB4;1.8733
002.EB111;15.1546
002.EB112;1.6532
002.EB2;7.2063
002.EA;0.9700
002.EB3A0;0.0002
002.EB11A;0.0543
021.D4;10.2662
021.E110;0.5489
021.D30;9.8302
021.D2;0.7761
021.D62;3.5993
021.D7;4.1382
021.E21;1.7104
021.D82;6.0115
021.D9;2.1281
021.D1;0.7911
021.D81;0.7228
021.D52;1.4150
021.D51;6.5953
021.D61;3.5318
021.D8Z;2.0787
021.DA;0.0002
002.JBB21;9.1454
002.JBB13;2.6913
002.JBB11;13.3224
002.JBC0;0.1876
002.JBB12;17.1824
002.JBB22;1.0878
002.JBB2A;1.3913
002.JBB1A0;0.0043
012.CB21A;0.2320
012.CB82;0.5791
012.CB6;10.7750
012.CB1;6.2981
012.CB40;4.3618
012.CB22;5.2449
012.CB23;1.0677
012.CB50;7.8501
012.CB3;3.7292
012.CB210;1.1558
012.CB72;0.5656
012.CB71;0.5955
012.CB81;1.3297
012.CB4Z;0.0601
012.CB5Z;0.5057
012.CC2;0.1108
012.CC10;0.0705
012.CB7A0;0.0016
156.2B;44.3190
156.2A;1.0397
164.H;44.0853
002.DFJ;50.7643
002.DFK2;0.2948
002.DFK1;0.5710
139.H12;0.5649
139.H30;11.7595
139.H42;8.0617
139.H11;12.3303
139.H6;1.1714
139.H41;0.3277
139.H2;5.3042
139.H5;1.6006
139.H9;0.0515
139.H3A;1.5766
139.H4A;2.0788
139.H1A;0.1669
002.DB3A;0.0393
002.DA52;0.2073
002.DB20;1.3534
002.D5;4.5243
002.D4;0.8428
002.DAA111;0.0277
002.E2A0;0.2725
002.DB4;0.7290
002.DAA31;0.0302
002.DA51;0.4527
002.DAA2Z;1.3003
002.D6;3.8971
002.E21;0.5256
002.DAA41;0.0373
002.E1Z;1.8716
002.DAA112;0.1182
002.DAA211;0.0526
002.DA3;0.6704
002.DA4;0.7010
002.E6;0.4348
002.F2A;0.0706
002.E4Z;0.3320
002.F21;0.3114
002.E40;0.6053
002.D3Z;2.2873
002.DA5Z;1.5203
002.D32;0.6257
002.E2AA;0.4175
002.E5Z;1.6703
002.E22;0.4422
002.DB1;1.1497
002.DA1;1.3232
002.D31;0.1792
002.E8;0.6500
002.E2B;0.8623
002.F1;2.6201
002.DAA32;0.0537
002.E12;0.1617
002.E50;0.6362
002.DA6;0.9085
002.DA2;1.2991
002.DB31;0.2519
002.E3;0.6561
002.DAA42;0.1213
002.D2Z;0.6958
002.DAA12;0.0389
002.D22;0.6850
002.E11;0.8032
002.DAA212;0.0924
002.F22;2.7508
002.DB32;0.3330
002.E7;0.8018
002.DB2A;0.0175
002.DAA22;0.0209
084.E5;4.0349
084.E6;3.8280
084.E42;5.7711
084.E32;5.3432
084.E31;5.6496
084.E1;4.4638
084.E41;6.0023
084.E20;5.3364
084.F;0.5726
084.E2Z;0.0003
084.E4A1;0.0001
084.D5;0.0002
084.E3Z;0.1445
084.D6;0.0000
084.E4A2;0.0000
012.G22;12.9726
012.G11;12.4377
012.H10;0.0685
012.G12;4.1166
012.G21;8.0176
012.H2;0.0910
012.G9;0.1120
012.GA1;0.0019
012.GA20;0.0039
012.F52;0.0127
012.G2Z;0.3550
012.F6;0.0912
016.BG540;0.1407
016.BG31;1.3413
016.BG530;1.6108
016.BG112;5.5269
016.BG32;4.0167
016.BG111;1.2947
016.BG6;4.4705
016.BG52;1.7053
016.BG4;6.8132
016.BG2;7.2094
016.BG12;4.0651
016.BG51;0.3364
016.BG1A2;0.0232
016.BG53A;0.0000
016.BG1A1;0.0009
003.B50;1.9357
003.B31;0.1271
003.B10;26.7493
003.B32;0.0957
003.A3;0.2182
003.B4;3.4620
003.B2;4.6481
003.A4;0.3637
003.B1A;0.1261
003.B3Z;0.1656
003.B5A;0.0000
104.D51;0.2906
104.D61;3.8759
104.D21;6.2480
104.D52;5.7273
104.D4;4.2273
104.D30;4.0400
104.D6Z;2.1147
104.D1;9.2952
104.D62;1.2586
104.D22;2.4476
104.D3A;0.1342
104.C72;0.0001
104.D5A0;0.0003
104.D2Z;1.1802
012.CEE7;1.8977
012.CFBE12;1.3543
012.CFBC1C;3.2111
012.CEE4;0.2872
012.CFBE2B;0.6237
012.CFBC1B;4.0461
012.CFBE21;0.9078
012.CFBE1C;1.6324
012.CEE6;1.1875
012.CFBD;5.4525
012.CEE2;0.3923
012.CEE1;0.2328
012.CEE8;2.5624
012.CFBF3;0.4546
012.CFBF4;1.9120
012.CFBE22;1.1011
012.CFBE2A;0.6233
012.CFBF11;2.8223
012.CFBE1A;0.2244
012.CEE5;0.4091
012.CFBE1B;0.3233
012.CFBC1D;1.3370
012.CEE3;0.1639
012.CFBE11;0.2840
012.CFBF12;0.9214
012.CFBF2;2.1391
012.CFBG1;0.0025
012.CEF;0.0388
012.CFBG2;0.0034
012.CFBF1Z;4.6596
