regine;ret_tot-p;ret_tot-n
002.DHEB;0.25;0.05
002.DHEC;0.12;0.02
002.DHED;0.29;0.07
002.DHF31;0.06;0.01
002.DHF3Z;0.54;0.12
002.DHF4;0.09;0.02
002.DHFB;0.49;0.1
002.DHFC;0.53;0.12
002.DHG2B;0.69;0.17
002.DHGAZ;0.35;0.08
002.DHGBAB;0.49;0.1
002.DHGBB0;0.08;0.02
002.DHGBBA;0.75;0.2
002.DHGBBB;0.47;0.11
002.DHGBC;0.76;0.22
002.DHGC2B;0.61;0.15
002.DHH0;0.13;0.03
002.DHHB;0.41;0.09
002.DHHC;0.13;0.03
002.DHHD;0.52;0.1
002.DHHE;0.58;0.14
002.DHJ2Z;0.36;0.07
002.DHJ5;0.09;0.02
002.DHJ6Z;0.37;0.07
002.DHJ7;0.15;0.03
002.DHJA;0.24;0.05
002.DHJB;0.43;0.1
002.DHL;0.41;0.08
002.DHM1;0.59;0.15
002.DHM3;0.6;0.12
002.DJ1B;0.35;0.07
002.DJ2Z;0.54;0.13
002.DJAAZ;0.63;0.16
002.DJAB;0.47;0.11
002.DJBA;0.54;0.12
002.DJBB;0.56;0.11
002.DJBC;0.68;0.17
002.DJCA;0.46;0.09
002.DJCB;0.17;0.03
002.DJD0;0.2;0.04
002.DJDA;0.4;0.09
002.DJDB;0.7;0.17
002.DJE;0.41;0.1
002.DKBZ;0.68;0.19
002.DKC;0.16;0.04
002.DM;0.63;0.15
002.E1Z;0.39;0.08
002.E2AA;0.14;0.03
002.E2AB;0.69;0.18
002.E5Z;0.35;0.07
002.EA;0.51;0.1
002.EB11A;0.45;0.09
002.EB1A;0.6;0.14
002.EB1B;0.83;0.23
002.EB3AZ;0.42;0.1
002.EB3C;0.8;0.24
002.EC1;0.23;0.05
002.EC4A;0.62;0.15
002.ECB;0.63;0.17
002.ED;0.56;0.13
002.EE2Z;0.35;0.07
002.EF;0.64;0.16
002.F2A;0.16;0.03
002.F2B;0.61;0.12
002.F30;0;0
002.F3D;0.67;0.13
002.F3E;0.82;0.25
002.F6Z;0.59;0.15
002.FC;0.51;0.12
002.FD;0.37;0.07
002.FE0;0.14;0.03
002.FEZ;0.6;0.14
002.FF;0.61;0.15
002.FG;0.85;0.19
002.G1A;0.75;0.18
002.G2Z;0.18;0.04
002.G3A;0.45;0.09
002.G3C;0.31;0.06
002.G6A;0.48;0.1
002.G6C;0.56;0.13
002.G6D5;0.52;0.1
002.G6D7;0.34;0.07
002.GA2Z;0.15;0.03
002.GA3Z;0.3;0.06
002.GABZ;0.3;0.07
002.GBAZ;0.85;0.29
002.GBB0;0.44;0.11
002.GBBZ;0.16;0.03
002.GBC;0.37;0.07
002.GC2Z;0.6;0.14
002.GCC;0.3;0.06
002.GDA;0.31;0.07
002.GDB;0.15;0.03
002.GE;0.19;0.04
002.H1AB;0.7;0.14
002.H1B;0.45;0.1
002.H2Z;0.46;0.09
002.H3AZ;0.32;0.06
002.H4A;0.58;0.12
002.H4C;0.75;0.2
002.H8Z;0.35;0.07
002.HBZ;0.31;0.06
002.HC1Z;0.25;0.06
002.HCZ;0.28;0.06
002.HD1B;0.62;0.12
002.HDZ;0.51;0.12
002.HE;0.32;0.06
002.JAAAB;0.7;0.14
002.JAB;0.25;0.05
002.JB1;0.11;0.02
002.JBB11;0.6;0.12
002.JBB1BZ;0.78;0.23
002.JBB2A;0.39;0.09
002.JBDZ;0.2;0.05
002.JBF;0.3;0.06
002.JC7;0.72;0.14
002.JD3AA;0.51;0.11
002.JD3AB3;0.62;0.12
002.JD3CB;0.72;0.14
002.JD3D;0.17;0.03
002.JDA2Z;0.3;0.06
002.JDAZ;0.14;0.03
002.JDC0;0.19;0.04
002.JDCZ;0.3;0.06
002.JE1;0.21;0.04
002.JE4Z;0.18;0.04
002.JE6B;0.71;0.14
002.JEAZ;0.32;0.06
002.JF0;0.09;0.02
002.JFZ;0.24;0.05
002.JGZ;0.17;0.03
002.JH1;0.24;0.05
002.JHAZ;0.19;0.04
002.JHB;0.48;0.11
002.K2AZ;0.22;0.04
002.K3Z;0.27;0.05
002.K6AB;0.67;0.16
002.K6B;0.43;0.1
002.KC1;0.2;0.04
002.KC3;0.3;0.06
002.L2Z;0;0
002.L3B;0;0
002.LBZ;0.35;0.08
002.LD;0.41;0.08
002.LG;0.1;0.02
002.MAAB;0.17;0.03
002.MAAC;0.69;0.17
002.MAB;0.41;0.09
002.MAC;0.34;0.07
002.MAD;0.16;0.03
002.MB2Z;0.5;0.11
002.MBA11B;0.65;0.15
002.MBAZ;0.38;0.08
002.MBBA;0.63;0.13
002.MBBB;0.33;0.07
002.MBC;0.56;0.11
002.MBDB;0.63;0.14
002.MDC;0.21;0.04
002.MF3;0.41;0.09
002.MF7;0.35;0.07
002.MG;0.35;0.08
002.N2B;0;0
002.N3Z;0;0
002.NBAB;0.51;0.1
002.NBB;0.34;0.07
002.ND1;0.26;0.05
002.ND3;0.47;0.09
002.NE;0.48;0.11
002.P1Z;0.25;0.05
002.P4B;0.63;0.13
002.P4C;0.45;0.09
002.PA2Z;0.67;0.17
002.PAZ;0.39;0.08
002.PBZ;0.35;0.07
002.Q1A;0.11;0.02
002.Q1B;0.4;0.08
002.Q4A;0.57;0.11
002.Q4B;0.23;0.05
002.QAA;0.74;0.2
002.QAC1;0.18;0.04
002.QAC2;0.38;0.08
002.QAD3;0.66;0.15
002.QB;0.47;0.11
002.QC3;0.34;0.07
002.QD1;0.68;0.14
002.QD2A;0.56;0.11
002.QF3;0.59;0.12
002.R2B;0.63;0.14
002.R4B;0.64;0.13
002.R4C;0.77;0.19
002.S1;0.49;0.1
002.SAZ;0.61;0.15
002.SC;0.43;0.09
002.SD;0.4;0.1
002.T1A;0.34;0.07
002.T1BA;0.61;0.12
002.T1C;0.38;0.09
002.T2;0.16;0.03
002.T3;0.68;0.14
002.T5A;0.83;0.23
002.T5B;0.15;0.03
002.T6;0.52;0.1
003.A3;0.77;0.17
003.B1A;0.48;0.11
003.B5B;0.36;0.07
003.C0;0.14;0.03
003.E;0.36;0.07
003.F;0.46;0.09
003.H;0.6;0.14
005.31Z;0.65;0.15
005.3A;0.46;0.09
005.3B;0.3;0.06
005.4A;0.53;0.11
005.4C;0.56;0.14
006.1B;0.56;0.12
006.1D;0.68;0.14
006.2AB;0.57;0.13
006.2BZ;0.73;0.2
006.2CB;0.44;0.09
006.2CC;0.56;0.11
006.2D;0.49;0.1
006.3Z;0.54;0.13
006.A3;0.38;0.08
006.BA;0.16;0.03
006.BB;0.38;0.09
006.BC;0.57;0.11
006.BD1;0.29;0.06
006.BD2;0.34;0.07
006.BD4;0.36;0.07
006.BD5;0.23;0.05
006.C1;0.14;0.03
006.C6;0.3;0.06
006.D2B;0.52;0.1
006.D4;0.39;0.08
006.F1;0.43;0.09
006.F3;0.21;0.04
006.G11;0.46;0.09
006.G1Z;0.5;0.1
006.G2A;0.5;0.1
006.G2C;0.68;0.18
006.G3;0.27;0.05
006.H1;0.46;0.09
006.H3;0.68;0.16
006.H7;0.59;0.12
007.1Z;0.07;0.01
007.A0;0.15;0.03
007.AB;0.57;0.11
007.AC;0.71;0.17
007.B1;0.33;0.07
007.C1;0.2;0.04
007.C3;0.38;0.08
007.C5;0.79;0.2
007.D;0.2;0.04
008.A1Z;0.52;0.13
008.AA0;0.08;0.02
008.AAZ;0.8;0.24
008.AB;0.3;0.06
009.1Z;0.63;0.15
009.2Z;0.61;0.12
009.3Z;0.64;0.15
009.A0;0.15;0.04
009.AZ;0.12;0.02
009.B1;0.33;0.07
009.C;0.39;0.08
010.2Z;0.76;0.21
010.3A;0.42;0.09
010.3D;0.74;0.15
011.AC;0.63;0.13
011.AD;0.72;0.2
011.B;0.21;0.04
011.C;0.59;0.14
012.3Z;0.66;0.16
012.A1Z;0.57;0.13
012.AA5;0.72;0.14
012.AB1Z;0.52;0.12
012.AB3Z;0.25;0.05
012.AB5B;0.59;0.12
012.AB5D;0.47;0.09
012.AC;0.42;0.08
012.AD2;0.34;0.07
012.AD4;0.36;0.07
012.ADZ;0.48;0.12
012.B2Z;0.83;0.27
012.B4B;0.46;0.11
012.BB1;0.49;0.11
