regine;ret_tot-p;ret_tot-n
015.NJ;0.86;0.29
015.PA;0.4;0.08
015.PB;0.37;0.07
015.PD;0.91;0.35
015.Q11;0.36;0.07
015.Q31;0.21;0.04
015.Q5;0.28;0.06
015.Q7;0.44;0.11
015.Q8Z;0.84;0.27
015.R11;0.64;0.13
015.R1Z;0.52;0.12
015.R2Z;0.81;0.26
015.R31;0.2;0.04
015.R32;0;0
015.R51;0.64;0.13
015.R5Z;0.76;0.23
015.R6A0;0.42;0.09
015.R6AZ;0.69;0.14
015.R6B;0.62;0.12
015.R6C;0.76;0.22
016.1Z;0.37;0.07
016.2Z;0.26;0.05
016.3Z;0.48;0.11
016.4AA;0.24;0.05
016.4AB;0.65;0.13
016.4AC;0.77;0.22
016.4C;0.74;0.19
016.4D1Z;0.56;0.12
016.4E;0.86;0.27
016.A1Z;0.38;0.08
016.AAA;0.41;0.09
016.AAB;0.76;0.22
016.AB4;0.14;0.03
016.AC2B;0.1;0.02
016.AC2C;0.13;0.03
016.AC2D;0.3;0.06
016.AC2E;0.63;0.15
016.AC32;0;0
016.AD1;0.46;0.09
016.ADAZ;0.41;0.09
016.ADB;0.39;0.08
016.ADC;0.15;0.03
016.ADD;0.65;0.13
016.AE;0.65;0.13
016.B1;0.45;0.1
016.BA30;0.08;0.02
016.BA3Z;0.69;0.2
016.BA6A;0.69;0.17
016.BA6C;0.92;0.36
016.BA7Z;0.29;0.06
016.BB11;0.39;0.08
016.BB1Z;0.73;0.21
016.BB2;0;0
016.BC1AAB;0.85;0.29
016.BC1AB1A3;0.24;0.05
016.BC1AB1B;0.53;0.11
016.BC1AC;0.19;0.04
016.BC1AD;0.3;0.06
016.BC1AE1B;0.52;0.12
016.BC1AEZ;0.77;0.23
016.BC1AF;0.58;0.14
016.BC1B;0.44;0.1
016.BC1C1A;0.48;0.1
016.BC1C1B;0.34;0.07
016.BC1C1C;0.3;0.06
016.BC1C31;0.5;0.12
016.BC1C3B;0.44;0.09
016.BC1D;0.25;0.05
016.BC1E;0.69;0.16
016.BD1;0;0
016.BD31;0.51;0.1
016.BD3A;0.28;0.06
016.BD3B;0.89;0.3
016.BDAB2Z;0.63;0.17
016.BDABZ;0.43;0.09
016.BDAC;0.12;0.02
016.BDB;0.2;0.04
016.BDCA;0.56;0.14
016.BDCB;0.69;0.18
016.BDD;0.14;0.03
016.BE2A10;0.12;0.02
016.BE2A1A5;0.17;0.03
016.BE2A1B;0.43;0.1
016.BE2B;0.41;0.08
016.BE2C;0.2;0.04
016.BE4A10;0.12;0.02
016.BE4B;0.51;0.1
016.BE52B;0.44;0.1
016.BE5A2B;0.42;0.09
016.BE5A7;0.21;0.04
016.BE5B;0.54;0.11
016.BEA3;0.12;0.02
016.BEB1A;0.64;0.14
016.BEB2Z;0.51;0.11
016.BEBA0;0.1;0.02
016.BEBAB;0.65;0.15
016.BEBB;0.22;0.04
016.BEBC;0.66;0.15
016.BEC1;0.08;0.02
016.BEC5;0.04;0.01
016.BEC6B;0.55;0.11
016.BECD;0.42;0.08
016.BECE0;0.21;0.04
016.BECEA1;0.21;0.04
016.BECEA3;0.15;0.03
016.BECEB;0.88;0.3
016.BECF2;0.29;0.06
016.BECF3;0.53;0.12
016.BECF5;0.49;0.11
016.BECF6;0.34;0.07
016.BECF7;0.42;0.08
016.BED2A3;0.65;0.15
016.BED3;0.04;0.01
016.BED4B;0.55;0.11
016.BEE11;0.15;0.03
016.BEE1Z;0.41;0.1
016.BEE2A;0.46;0.09
016.BEE2C;0.58;0.13
016.BEE2E;0.68;0.17
016.BEE31;0.11;0.02
016.BEE34Z;0.6;0.14
016.BEE41;0.16;0.03
016.BEE43Z;0.7;0.18
016.BEE44Z;0.34;0.07
016.BEE5;0.1;0.02
016.BEE6Z;0.31;0.07
016.BEE7;0.38;0.08
016.BEG1;0.4;0.08
016.BEH;0.16;0.03
016.BF112;0;0
016.BF113;0;0
016.BF21A;0.56;0.13
016.BG11A;0.53;0.11
016.BG1A7;0.44;0.09
016.BG1B1B;0.66;0.15
016.BG1B2B;0.5;0.1
016.BG1B4A;0.46;0.09
016.BG1B4B;0.73;0.2
016.BG1C;0.47;0.11
016.BG2;0.6;0.12
016.BG3B;0.68;0.19
016.BG53B;0.24;0.05
016.BG54B;0.56;0.13
016.BG5B;0.38;0.09
016.BH10;0.08;0.02
016.BH6;0.49;0.1
016.BKA;0.24;0.05
016.BKB;0.49;0.12
016.BKC;0.53;0.12
016.BL;0.72;0.2
016.CA1B;0.68;0.17
016.CA3Z;0.45;0.11
016.CA4;0.06;0.01
016.CB10;0.58;0.12
016.CB2Z;0.23;0.05
016.CC3Z;0.47;0.11
016.CC5;0.18;0.04
016.CCA;0.09;0.02
016.CCB;0.74;0.15
016.CD2B;0.25;0.05
016.CD2C;0.56;0.11
016.CD2D;0.68;0.16
016.CD3D;0.14;0.03
016.CD3E;0.66;0.17
016.CDB;0.6;0.16
016.CEZ;0.63;0.14
016.CF1;0.54;0.11
016.CG;0.48;0.11
016.D1;0.25;0.05
016.E1AZ;0.76;0.22
016.E1B;0.54;0.12
016.E2Z;0.29;0.06
016.EA2Z;0.26;0.05
016.EAA5;0.11;0.02
016.EAAA1;0.09;0.02
016.EAAA3;0.2;0.05
016.EAAAB3;0.54;0.11
016.EAAAC;0.19;0.04
016.EAAB3;0.43;0.09
016.EAAD;0.52;0.12
016.EAAE;0.58;0.12
016.EAAF;0.4;0.09
016.EAB;0.06;0.01
016.EAC10;0.17;0.03
016.EAC1A;0.11;0.02
016.EAC1B;0.69;0.16
016.EACB;0.42;0.08
016.EAD1;0.18;0.04
016.EADA;0.44;0.09
016.EADC;0.63;0.15
016.EAE5;0.69;0.18
016.EAE7;0.47;0.1
016.EB1A;0.23;0.05
016.EB1B;0.52;0.13
016.EB1C;0.4;0.08
016.EC1;0.26;0.05
016.EDA;0.24;0.05
016.EDB;0.55;0.11
016.EDC;0.68;0.19
016.EE1A;0.65;0.13
016.EE1B;0.37;0.08
016.EF;0.41;0.08
016.F11;0;0
016.F31;0.13;0.03
016.F3A;0.77;0.15
016.F3C;0.39;0.08
016.F5B;0.88;0.26
016.F5C;0.31;0.06
016.F6Z;0.14;0.03
016.G11;0.63;0.13
016.G1A;0.62;0.16
016.G1C;0.44;0.1
016.G32Z;0.68;0.18
016.G3Z;0.26;0.05
016.G4B;0.68;0.14
016.G4C;0.77;0.21
016.G511Z;0.66;0.16
016.G51AB;0.7;0.14
016.G51B;0.34;0.07
016.G52A2AB;0.37;0.07
016.G52A2AC;0.64;0.15
016.G52A2BB0;0.54;0.12
016.G52A2BC5;0.71;0.17
016.G52A2C3B;0.38;0.08
016.G52A2D;0.45;0.11
016.G52AZ;0.15;0.03
016.G52B;0;0
016.G52D;0.27;0.05
016.G52E;0.76;0.23
016.G5A12;0;0
016.G5A1A;0.51;0.1
016.G5A2Z;0.49;0.12
016.G5B1;0.69;0.14
016.G5B22A;0.64;0.15
016.G5B22B;0.29;0.06
016.G5B22C;0.91;0.35
016.G5B2A1;0.12;0.02
016.G5B2A2A;0.41;0.08
016.G5B2A2C;0.35;0.08
016.G5B2B;0.44;0.09
016.G5B2C;0.49;0.1
016.G5B2D;0.64;0.18
016.G5C11;0.7;0.14
016.G5C1A;0.8;0.22
016.G5C1B;0.2;0.04
016.G5C2A;0.09;0.02
016.G5C2B1;0.74;0.19
016.G5C2B2A;0.51;0.1
016.G5C2B2B;0.15;0.03
016.G5C2B2C;0.75;0.17
016.G5D;0.22;0.04
016.H1C;0.78;0.21
016.H2C;0.58;0.14
016.H31B;0.57;0.13
016.H3C;0.18;0.04
016.H413B;0.65;0.15
016.H414B;0.46;0.09
016.H41B;0.38;0.08
016.H5;0.09;0.02
016.J11;0.3;0.06
016.J1A0;0.14;0.03
016.J1AA;0.58;0.14
016.J1AB;0.6;0.12
016.J1B;0.75;0.2
016.J1D;0.85;0.28
016.J3Z;0.51;0.13
016.J61Z;0.6;0.14
016.J6A;0.34;0.07
016.J6BZ;0.57;0.13
016.J6C;0.58;0.14
016.J7;0.12;0.02
016.J8Z;0.73;0.2
016.K31;0.14;0.03
016.K3A;0.32;0.06
016.K3B1A1Z;0.56;0.13
016.K3B1AZ;0.35;0.08
016.K3B1C;0.76;0.19
016.K3C;0.56;0.12
016.K3E;0.79;0.23
016.K5;0.08;0.02
016.L1;0.2;0.04
016.L2AA;0.66;0.17
016.L2AD;0.63;0.13
016.L2B;0.21;0.04
016.L2C;0.78;0.24
016.L5;0.16;0.03
016.LA;0.31;0.07
016.LB;0.71;0.18
016.LD;0.26;0.05
016.M3;0.2;0.04
016.M5;0.11;0.02
016.M71;0.35;0.08
016.M7A;0.58;0.12
016.M7B;0.53;0.12
016.M8;0.19;0.04
016.MZ;0.63;0.18
016.N31;0.42;0.08
016.N3A;0.32;0.06
016.N3B;0.43;0.1
016.N5;0.51;0.12
017.11B;0.69;0.14
017.1Z;0.63;0.16
017.22A;0.22;0.04
017.22B;0.76;0.18
017.2Z;0.81;0.26
017.3Z;0.81;0.26
017.A7;0.06;0.01
017.AZ;0.53;0.12
017.B5;0.09;0.02
017.C;0.61;0.12
017.D2Z;0.29;0.06
017.DA0;0.26;0.05
017.DAZ;0.7;0.19
017.DB0;0.36;0.08
017.DBZ;0.44;0.11
017.DC;0.42;0.1
017.E3;0.08;0.02
017.F1;0.27;0.05
017.F2AA;0.38;0.08
017.F2AB;0.53;0.11
017.F2AC;0.72;0.21
017.F2B;0.83;0.29
017.F4B;0.66;0.13
017.F4C;0.23;0.05
017.FAC;0.39;0.08
017.FB211;0.25;0.05
017.FB2B;0.59;0.12
017.FC1;0.46;0.09
017.FC2B;0.31;0.06
017.FC2C;0.5;0.1
017.FC2D;0.58;0.12
017.FC3;0.31;0.06
017.FD;0.23;0.05
017.FE;0.6;0.14
017.G3;0.23;0.04
017.G42B;0.25;0.05
017.G42C;0.62;0.12
018.1B;0.49;0.1
018.1D;0.71;0.14
018.321Z;0.74;0.2
018.322Z;0.93;0.32
018.3A1;0.25;0.06
018.3A2Z;0.86;0.31
018.3B1A;0.66;0.13
018.3B1B;0.52;0.12
018.3C;0.46;0.12
018.3E1Z;0.63;0.17
018.3E7;0.14;0.03
018.3EZ;0.28;0.07
018.3F;0.54;0.12
018.5121Z;0.69;0.17
018.5122Z;0.56;0.11
018.512Z;0.44;0.09
018.51Z;0.63;0.15
018.5Z;0.84;0.25
018.61Z;0.76;0.23
018.62AZ;0.32;0.06
018.62B;0.59;0.12
018.63Z;0.62;0.14
018.71Z;0.8;0.21
018.7A0;0.68;0.18
018.7AZ;0.42;0.09
018.7C;0.46;0.11
018.A3Z;0.94;0.37
018.B0;0.11;0.02
018.BZ;0.74;0.22
018.C2Z;0.66;0.16
018.D;0.19;0.04
018.E;0.19;0.04
018.F;0.67;0.13
018.G;0.52;0.12
019.121Z;0.39;0.09
019.12Z;0.78;0.21
019.2161Z;0.39;0.08
019.22Z;0.26;0.05
019.2B;0.46;0.09
019.2C;0.5;0.1
019.2D;0.2;0.04
019.2E;0.54;0.11
019.A12Z;0.2;0.04
019.A1Z;0.6;0.14
019.A23Z;0.51;0.1
019.A3;0.16;0.03
019.AA;0.5;0.1
019.AB1A;0.48;0.11
019.AB1B;0.43;0.09
019.AB1C;0.78;0.22
019.AC;0.51;0.1
019.AD;0.62;0.16
019.B2A;0.37;0.09
019.B2B;0.83;0.27
019.B4Z;0.31;0.07
019.B5Z;0.79;0.23
019.B7;0.05;0.01
019.C11;0.29;0.06
019.C5Z;0.59;0.14
019.C61;0.05;0.01
019.C6A;0.12;0.02
019.C6B;0.64;0.13
019.CA1B;0.26;0.05
019.CA3B;0.45;0.09
019.CA6Z;0.16;0.03
019.CAA;0.54;0.13
019.CAB;0.77;0.17
019.CB2AZ;0.28;0.06
019.CB2B;0.48;0.11
019.CBC;0.54;0.12
019.CBD;0.23;0.05
019.CC;0.11;0.02
019.CD;0.57;0.11
019.CE0;0.15;0.03
019.CEB;0.57;0.11
019.CEC;0.39;0.08
019.CF;0.9;0.32
019.D1D;0.46;0.11
019.D1E;0.65;0.17
019.D2Z;0.52;0.12
019.D3A1;0.14;0.03
019.D3A30;0.26;0.05
019.D3A3Z;0.55;0.14
019.D3A6;0.64;0.13
019.D6Z;0.35;0.08
019.DA1;0.02;0
019.DA31;0.12;0.03
019.DA32;0;0
019.DA4Z;0.38;0.09
019.DA5;0.26;0.05
019.DA6B;0.77;0.18
019.DA7Z;0.81;0.26
019.DB1;0.73;0.15
019.DB2A0;0.28;0.06
019.DB2AA;0.17;0.03
019.DB2B;0.39;0.08
019.DB2C;0.37;0.07
019.DCAB;0.59;0.12
019.DCAE;0.17;0.03
019.DCAF;0.66;0.15
019.DCB1Z;0.18;0.04
019.DCB5B;0.57;0.11
019.DCB5C;0.82;0.23
019.DCB6;0.26;0.05
019.DD2A;0.62;0.12
019.DDA;0.37;0.09
019.DDB11;0.09;0.02
019.DDB1A;0.23;0.05
019.DDB1B;0.65;0.13
019.DDB2A3;0.65;0.13
019.DDC;0.24;0.05
019.DDD;0.67;0.17
019.DDEA;0.26;0.05
019.DDEB;0.61;0.12
019.DDF;0.38;0.09
019.DE31;0.29;0.06
019.DE5;0.63;0.15
019.DE6A;0.13;0.03
019.DE6B;0.73;0.18
019.DF4Z;0.82;0.26
019.DG;0.76;0.22
019.DH;0.18;0.04
019.E1;0.32;0.07
019.E4;0.07;0.01
019.E5AA;0.74;0.2
019.E5B;0.78;0.25
019.E6Z;0.64;0.17
019.F1;0.71;0.14
019.F21Z;0.73;0.2
019.F22A;0.37;0.07
019.F22B;0.39;0.08
019.F22C;0.57;0.11
019.F22D;0.56;0.11
019.F2BA3;0.55;0.12
019.F2BB;0.83;0.22
019.F2C;0.71;0.14
019.F2E;0.33;0.07
019.F2F;0.7;0.16
019.F42AZ;0.58;0.15
019.F42B;0.68;0.18
019.G;0.66;0.15
019.H11B;0.6;0.12
019.H12;0;0
019.H22Z;0.35;0.07
019.H5;0.1;0.02
019.H71;0.16;0.03
019.J1;0.45;0.09
019.J22Z;0.61;0.15
019.J2Z;0.66;0.17
019.J3;0.41;0.08
019.J7;0.49;0.12
020.1A;0.08;0.02
020.1B0;0.51;0.1
020.1BZ;0.54;0.11
020.1C;0.86;0.31
020.221Z;0.38;0.08
020.223Z;0.5;0.11
020.2Z;0.22;0.05
020.311Z;0.32;0.06
020.312Z;0.37;0.07
020.3Z;0.81;0.26
020.422Z;0.29;0.06
020.4232Z;0.5;0.1
020.423Z;0.7;0.17
020.424Z;0.73;0.17
020.426A1;0.61;0.14
020.426A2Z;0.45;0.09
020.42Z;0.28;0.06
020.4A;0.62;0.14
020.4C;0.62;0.12
020.A1Z;0.46;0.09
020.A2Z;0.47;0.09
020.A4Z;0.52;0.13
020.A7;0.07;0.01
020.AZ;0.72;0.21
020.B1;0.19;0.04
020.B2Z;0.56;0.14
020.BA1;0.19;0.04
020.BAA;0.09;0.02
020.BAB11;0.45;0.09
020.BAB1A;0.17;0.03
020.BAB1B;0.3;0.06
020.BAB1D;0.32;0.06
020.BAB1E;0.18;0.04
020.BAB3Z;0.18;0.04
020.BB1;0.23;0.05
020.BB2A;0.47;0.09
020.BB2C;0.49;0.1
020.BB2E;0.31;0.06
020.BB5Z;0.83;0.27
020.BBAA;0.76;0.23
020.BBBB;0.61;0.12
020.BBF;0.78;0.21
020.BBG;0.71;0.19
020.BCA;0.22;0.05
020.BCB;0.49;0.1
020.BCD;0.77;0.23
020.BD;0.76;0.23
020.BE;0.54;0.11
020.BF;0.45;0.1
020.C1;0.3;0.07
020.C2Z;0.77;0.23
020.CZ;0.64;0.17
020.D1Z;0.5;0.11
020.D3;0.13;0.03
020.D5;0.18;0.04
020.D70;0.17;0.04
020.D7B;0.69;0.16
020.D8Z;0.74;0.22
020.E;0.17;0.03
020.F11;0.32;0.06
020.F1A;0.57;0.11
020.F1C;0.19;0.04
020.F1D;0.56;0.11
020.F1E;0.71;0.19
020.F3;0.68;0.18
020.G;0.87;0.31
021.122Z;0.72;0.17
021.123Z;0.59;0.12
021.124Z;0.71;0.19
021.1A0;0.29;0.06
021.1AZ;0.62;0.12
021.1B;0.31;0.07
021.21Z;0.3;0.06
021.22A;0.54;0.11
021.22B;0.51;0.1
021.23Z;0.44;0.09
021.A2Z;0.2;0.04
021.A31B;0.44;0.09
021.A32Z;0.24;0.05
021.A40;0.07;0.01
021.A4Z;0.73;0.21
021.A51;0.11;0.02
021.A6AA;0.32;0.07
021.A6AB;0.4;0.08
021.A6B;0.33;0.07
021.A6D0;0.66;0.17
021.A6DZ;0.61;0.14
021.AZ;0.4;0.1
021.B6A;0.17;0.03
021.B6B0;0.33;0.07
021.B6BZ;0.45;0.1
021.B71;0.07;0.01
021.BAA;0.67;0.16
021.BAB;0.54;0.13
021.BC;0.39;0.08
021.BD;0.34;0.08
021.C1Z;0.29;0.06
021.D1;0.46;0.09
021.D3A3;0.18;0.04
021.D3B;0.87;0.26
021.D5AZ;0.49;0.11
021.D5B;0.88;0.32
021.D6Z;0.52;0.12
021.D8Z;0.35;0.07
021.DB;0.69;0.14
021.DC;0.92;0.35
021.E1A1;0.27;0.05
021.E1A30;0.19;0.04
021.E1A3B;0.57;0.11
021.E1A5;0.39;0.08
021.E1B;0.94;0.36
021.E21;0.16;0.03
021.E2Z;0.48;0.12
021.E3A;0.25;0.05
021.E3B;0.85;0.26
021.E5BZ;0.54;0.13
021.E5D;0.41;0.08
021.E5E;0.57;0.14
021.EA1Z;0.26;0.05
021.EAZ;0.59;0.15
021.EC;0.59;0.14
021.F2C;0.73;0.2
021.F3;0.08;0.02
021.F50;0.05;0.01
021.F5A;0.68;0.15
021.F61AZ;0.65;0.15
021.F6B;0.21;0.04
021.F7A;0.53;0.13
021.F7B;0.39;0.09
021.FBB0;0.18;0.04
021.FBBZ;0.24;0.05
021.FBC;0.52;0.12
021.FC5;0.22;0.05
021.FC8;0.49;0.12
021.G2B;0.3;0.06
021.G3;0.05;0.01
021.GA11;0.06;0.01
021.GB11A1;0.07;0.01
021.GB11AA;0.11;0.02
021.GB11B31B;0.56;0.11
021.GB11C;0.25;0.05
021.GB11D;0.34;0.08
021.GB1B;0.3;0.06
021.GB2;0.35;0.07
021.GC;0.83;0.18
021.GDZ;0.09;0.02
021.GE2B;0.42;0.1
021.GF;0.32;0.06
021.GG;0.52;0.12
021.H31;0.14;0.03
021.H3Z;0.29;0.06
021.HA;0.53;0.11
021.HBB;0.78;0.19
021.HBC;0.31;0.07
021.HD;0.35;0.07
021.HE0;0.24;0.05
021.HEA;0.51;0.1
021.HEB;0.29;0.07
021.HF;0.43;0.09
021.J11Z;0.18;0.04
021.J1A;0.46;0.12
021.J1B;0.7;0.19
021.J3B;0.32;0.06
021.J3C1;0.49;0.1
021.J5;0.35;0.07
021.J6BZ;0.31;0.06
021.JB;0.45;0.09
021.JD;0.48;0.12
021.K1B;0.39;0.09
021.K51;0.14;0.03
021.K5Z;0.15;0.03
021.K6;0.43;0.09
021.LA;0.74;0.21
021.LC;0.33;0.07
021.LD;0.68;0.14
021.M1A;0.42;0.1
021.M1B;0.64;0.15
021.M2A;0.6;0.15
021.M2B;0.79;0.2
021.M5;0.47;0.09
022.11Z;0.4;0.08
022.1A1Z;0.66;0.15
022.1AB;0.66;0.13
022.1AC;0.56;0.11
022.1B1B0;0.38;0.08
022.1B1BA;0.38;0.08
022.1B5AA0;0.33;0.07
022.1B5AAZ;0.75;0.19
022.1C1Z;0.57;0.13
022.1C3Z;0.48;0.11
022.1C5;0.29;0.06
022.223Z;0.55;0.14
022.224Z;0.26;0.05
022.22Z;0.43;0.1
022.2A;0.19;0.04
022.2B0;0.47;0.09
022.2BZ;0.64;0.16
022.2C0;0.43;0.09
022.2CZ;0.51;0.12
022.32A;0.38;0.08
022.32B;0.57;0.11
022.3A;0.48;0.1
022.3B;0.36;0.07
022.3D;0.55;0.13
022.43Z;0.82;0.24
022.4A;0.27;0.05
022.4B;0.44;0.09
022.4C;0.57;0.11
022.A22Z;0.53;0.11
022.A41Z;0.29;0.06
022.A4Z;0.59;0.14
022.AA1A;0.33;0.07
022.AA1B;0.39;0.08
022.AA3;0.2;0.05
022.AA5;0.15;0.03
022.AB0;0.3;0.06
022.ABZ;0.34;0.07
022.B2AZ;0.68;0.19
022.B2BZ;0.43;0.1
022.B2D;0.28;0.06
022.C1;0.11;0.02
022.C3;0.02;0
022.C5;0.13;0.02
022.CA10;0.06;0.01
022.CA1A;0.38;0.08
022.CA3;0.16;0.03
022.CA5;0.27;0.06
022.CC0;0.41;0.09
022.CCA;0.33;0.07
022.CD;0.44;0.11
022.D6;0.04;0.01
022.D7;0.16;0.03
022.D8Z;0.44;0.09
022.E2B3;0.4;0.08
022.E2CA;0.22;0.04
022.E2CB;0.66;0.15
022.E2D1;0.17;0.03
022.E2DA;0.46;0.11
022.E2DB;0.2;0.04
022.E2E;0.74;0.22
022.EA1Z;0.65;0.18
022.EA6B;0.17;0.03
022.EA7;0.22;0.04
022.EB1Z;0.34;0.08
022.EB2B;0.31;0.06
022.EC;0.56;0.13
022.EE0;0.41;0.1
022.EEA;0.29;0.07
022.EEB;0.56;0.11
022.EEC;0.63;0.15
022.EF0;0.13;0.03
022.EFA;0.22;0.04
022.EFB;0.41;0.08
022.EFC;0.73;0.2
022.EG;0.43;0.1
022.EH;0.77;0.21
022.F3;0.14;0.03
022.F4B;0.3;0.06
022.F5;0.17;0.03
022.F82B;0.29;0.06
022.F82C;0.79;0.21
022.F83B;0.52;0.12
022.F8B;0.54;0.12
022.FA3;0.47;0.1
022.FC;0.67;0.16
022.G1;0.29;0.06
022.H11;0.11;0.02
022.H1A;0.25;0.06
022.H1B;0.68;0.16
022.H1C;0.29;0.06
022.H21;0.16;0.04
022.H2B;0.53;0.11
022.H3;0.23;0.05
022.H5;0.24;0.05
022.J6;0.2;0.04
023.22Z;0.6;0.14
023.2B;0.57;0.11
023.2C;0.17;0.03
023.A121Z;0.52;0.12
023.A123Z;0.4;0.08
023.A124Z;0.42;0.08
023.A12Z;0.53;0.12
023.A1AZ;0.73;0.18
023.A1B;0.21;0.04
023.A1C;0.42;0.08
023.A2A;0.32;0.06
023.A2B1;0.36;0.07
023.A2B2Z;0.61;0.14
023.A2B4Z;0.51;0.12
023.A2C;0.45;0.1
023.AB;0.13;0.03
023.AC0;0.43;0.1
023.ACB0;0.44;0.09
023.ACBZ;0.7;0.19
023.AE;0.41;0.09
023.AF;0.56;0.11
023.B11AZ;0.22;0.04
023.B11C;0.41;0.08
023.B12AZ;0.27;0.05
023.B12B;0.51;0.12
023.B2B;0.57;0.14
023.C1;0.36;0.07
023.C2Z;0.34;0.07
023.C3Z;0.19;0.04
023.E11;0.4;0.08
023.E1B;0.24;0.05
023.E2Z;0.22;0.04
023.EA;0.35;0.07
023.F2Z;0.6;0.15
023.F3;0.13;0.03
024.14A;0.3;0.06
024.14B;0.47;0.09
024.15Z;0.44;0.09
024.1A1;0.68;0.16
024.1A2Z;0.72;0.19
024.1B;0.25;0.05
024.2B;0.26;0.05
024.2C;0.47;0.09
024.2D;0.78;0.21
024.31Z;0.68;0.18
024.32Z;0.73;0.19
024.42B;0.46;0.1
024.42C;0.3;0.06
024.44A;0.6;0.14
024.51A;0.2;0.04
024.51B;0.1;0.02
024.51C;0.79;0.23
024.52Z;0.66;0.17
024.5A1;0.53;0.13
024.5A2Z;0.44;0.1
024.5C;0.61;0.16
024.62Z;0.49;0.1
024.71Z;0.83;0.22
024.7A;0.41;0.08
024.7D;0.56;0.14
024.7F;0.69;0.17
024.AB;0.14;0.03
024.AC;0.2;0.04
024.AD1;0.23;0.05
024.AD2Z;0.48;0.11
024.ADAA;0.5;0.11
024.ADB;0.36;0.08
024.AE;0.21;0.05
024.AF0;0.39;0.09
024.AFA;0.17;0.03
024.AFB;0.46;0.09
024.AFC;0.3;0.06
024.AH;0.51;0.12
024.B12Z;0.33;0.08
024.B13A;0.29;0.06
024.B13B;0.48;0.11
024.B14A;0.3;0.06
024.B14B;0.39;0.09
024.B1B10;0.11;0.02
024.B1B3;0.25;0.05
024.B1CZ;0.63;0.15
024.B1D;0.5;0.12
024.B21B;0.51;0.12
024.B22B;0.43;0.1
024.B22C;0.31;0.06
024.B22E;0.32;0.06
024.B2AZ;0.65;0.16
024.B2BZ;0.67;0.16
024.B2C;0.51;0.1
024.B3A1A;0.29;0.06
024.B3A1B;0.26;0.05
024.B3B;0.59;0.12
024.C1;0.39;0.08
024.C4AZ;0.2;0.04
024.C4C;0.75;0.19
024.CAZ;0.65;0.17
024.CB;0.21;0.04
024.CC;0.18;0.04
024.CD;0.4;0.09
024.CE;0.53;0.12
024.D1B;0.21;0.04
024.D3;0.07;0.01
024.D4Z;0.21;0.04
024.D5;0.14;0.03
024.DZ;0.47;0.12
024.E3;0.11;0.02
024.E5;0.32;0.07
024.E7AA0;0.28;0.06
024.E7AAZ;0.57;0.13
024.E7B;0.28;0.06
024.E7C;0.27;0.05
024.E7D;0.55;0.12
024.F3Z;0.5;0.12
024.G;0.55;0.11
025.1Z;0.5;0.12
025.2Z;0.65;0.15
025.32B0;0.19;0.04
025.32BA;0.47;0.11
025.32BB;0.25;0.05
025.32C;0.49;0.12
025.32F0;0.4;0.08
025.32FB;0.73;0.18
025.3A3;0.07;0.01
025.3B1;0.37;0.08
025.3B2Z;0.39;0.08
025.3C2B;0.3;0.06
025.3C2C;0.68;0.16
025.3C3A;0.25;0.06
025.3C3B;0.65;0.15
025.3C4A;0.25;0.05
025.3C4B0;0.35;0.07
025.3C4BZ;0.49;0.11
025.3C4C0;0.32;0.06
025.3C4CZ;0.29;0.06
025.3C4D;0.65;0.17
025.3CA;0.48;0.11
025.3CB;0.34;0.07
025.3DB;0.59;0.12
025.3G;0.39;0.08
025.52A;0.45;0.11
025.52B;0.61;0.15
025.5B10;0.63;0.13
025.5B1Z;0.53;0.12
025.5B2Z;0.31;0.06
025.5C;0.48;0.11
025.61Z;0.23;0.05
025.6A;0.2;0.04
025.6B0;0.25;0.05
025.6BZ;0.59;0.14
025.6C;0.45;0.1
025.A0;0.12;0.02
025.AA;0.16;0.03
025.ABZ;0.38;0.09
025.AC1;0.09;0.02
025.AC3;0.08;0.02
025.AC4Z;0.72;0.2
025.AC5;0.14;0.03
025.AC7;0.34;0.08
025.B2Z;0.59;0.14
025.B32;0;0
025.B3Z;0.48;0.12
025.B42Z;0.48;0.11
025.B5;0.03;0.01
025.BA0;0.18;0.04
025.BAB;0.65;0.18
025.BC;0.24;0.05
025.BD;0.29;0.06
025.BE;0.36;0.08
025.C1;0.03;0.01
025.C2B;0.71;0.19
025.CB;0.14;0.03
025.CC;0.45;0.11
025.D1;0.03;0.01
025.D2C;0.38;0.08
025.DE;0.67;0.16
025.E1;0.16;0.03
025.F11;0.07;0.01
025.F1A;0.44;0.11
025.F1B;0.45;0.1
025.G10;0.41;0.08
025.G1A;0.42;0.1
025.G1B;0.5;0.1
025.G1C;0.57;0.13
025.G52Z;0.37;0.08
025.G5Z;0.84;0.29
025.G8Z;0.57;0.14
025.H;0.46;0.11
025.J0;0.18;0.04
025.JA;0.28;0.06
025.JB;0.6;0.16
025.K12;0;0
025.K1A;0.38;0.09
025.K1B;0.55;0.11
025.L10;0.65;0.13
025.L1Z;0.4;0.09
025.L2A;0.29;0.06
025.L2B;0.43;0.09
025.L2C;0.43;0.1
025.L3Z;0.19;0.04
025.L50;0.05;0.01
025.L5A0;0.2;0.04
025.L5AA;0.44;0.11
025.L5B;0.71;0.19
025.M3;0.22;0.04
025.N;0.5;0.1
025.Q;0.5;0.11
026.11A;0.35;0.07
026.1A;0.2;0.04
026.1B;0.59;0.14
026.3B;0.09;0.02
026.3C;0.42;0.09
