regine;c_wood_mg/l_tot-p;c_upland_mg/l_tot-p;c_lake_kg/km2_tot-p;c_urban_kg/km2_tot-p;c_city_kg/km2_tot-p;c_wood_mg/l_tot-n;c_upland_mg/l_tot-n;c_lake_kg/km2_tot-n;c_urban_kg/km2_tot-n;c_city_kg/km2_tot-n
015.J1B0;0.004;0.003;15;50;100;0.25;0.2;200;350;700
015.J1BZ;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.J1C;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.J2;0.005;0.003;15;50;100;0.25;0.2;200;350;700
015.JA1;0.005;0.003;15;50;100;0.25;0.2;200;350;700
015.JA2;0.005;0.003;15;50;100;0.25;0.2;200;350;700
015.JA3;0.004;0.003;15;50;100;0.25;0.2;200;350;700
015.JA4;0.005;0.003;15;50;100;0.25;0.2;200;350;700
015.JAA1;0.004;0.003;15;50;100;0.25;0.2;200;350;700
015.JAA2;0.004;0.003;15;50;100;0.25;0.2;200;350;700
015.JAA3;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.JAA4;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.JAA5;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.JAA6;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.JAAZ;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JAB;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JB1;0.005;0.003;15;50;100;0.25;0.15;200;350;700
015.JB2;0.005;0.003;15;50;100;0.25;0.2;200;350;700
015.JB3;0.005;0.003;15;50;100;0.25;0.15;200;350;700
015.JB4;0.005;0.003;15;50;100;0.25;0.2;200;350;700
015.JB5;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JB60;0.005;0.003;15;50;100;0.25;0.2;200;350;700
015.JB6A;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JB6B;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JB71;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JB72;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JB7A;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JB7B;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JB81;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JB82;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JB8A;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JB8B0;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JB8BZ;0.004;0.003;15;50;100;0.25;0.2;200;350;700
015.JB8C;0.004;0.003;15;50;100;0.25;0.2;200;350;700
015.JBA0;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JBAA;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JBAB;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBB;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JBC1;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBC2;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBC3;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBC4;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBC5;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBC6;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBC7;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBC8;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBD;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBE;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JBF;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JC11;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JC12;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JC1Z;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JC21;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JC22;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JC2A;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JC2B;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JCA1;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JCA2;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JCA3;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JCA4;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JCA5;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JCA6;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JCB;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.JD11;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD121;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD122;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD1A;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD1B;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD1C;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD21;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD221;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD222;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD3;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD4;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD5;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JD6;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.JE;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.K;0.004;0.003;15;50;100;0.25;0.2;200;350;700
015.L11;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.L12;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.L1A;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.L1B;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.L2;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.M1;0.004;0.004;15;50;100;0.25;0.2;200;350;700
015.M2;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.M9;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.MA0;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.MAA;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.MAB;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.MAC;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.MB;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.MC;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.MD;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.ME;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.MF;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.MG;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.MH0;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.MHZ;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.MJ;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.N11;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N12;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N21;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N22;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N2Z;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N3;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N4;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N51;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N52;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N5Z;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N6;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N7;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.N8;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NA;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NB0;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NBZ;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.NC;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.ND1;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.ND2;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.ND9;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NDA;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NDB1;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NDB21;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NDB22;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.NDB23;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.NDB2A;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.NDB2B;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.NDB2C;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.NDBZ;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NDC;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.NE;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NF;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NG;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NH;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.NJ;0.004;0.003;15;50;100;0.25;0.15;200;350;700
015.P0;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.PA;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.PB;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.PC;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.PD;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.Q11;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.Q12;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.Q21;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.Q22;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.Q31;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.Q32;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.Q41;0.004;0.004;15;50;100;0.25;0.15;200;350;700
015.Q42;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.Q5;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.Q6;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.Q7;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.Q81;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.Q82;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.Q8Z;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.R11;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.R12;0.004;0.004;15;50;100;0.2;0.15;200;350;700
015.R1Z;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R21;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R22;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.R2Z;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.R31;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R32;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R41;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R42;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.R51;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R52;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R5Z;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R61;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R62;0.004;0.003;15;50;100;0.2;0.15;200;350;700
015.R6A0;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.R6AZ;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.R6B;0.003;0.003;15;50;100;0.2;0.15;200;350;700
015.R6C;0.003;0.003;15;50;100;0.2;0.15;200;350;700
016.10;0.005;0.005;35;50;100;0.45;0.3;900;350;700
016.1Z;0.005;0.005;35;50;100;0.45;0.3;900;350;700
016.210;0.005;0.005;35;50;100;0.45;0.3;900;350;700
016.21Z;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.22;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.23;0.005;0.005;35;50;100;0.45;0.3;900;350;700
016.2Z;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.31;0.005;0.005;35;50;100;0.45;0.3;900;350;700
016.32;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.3Z;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.41;0.005;0.005;35;50;100;0.45;0.3;900;350;700
016.42;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4A0;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4AA;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4AB;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4AC;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4B;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4C;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4D11;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4D12;0.005;0.005;35;50;100;0.4;0.35;900;350;700
016.4D1Z;0.005;0.005;35;50;100;0.4;0.3;900;350;700
016.4D2;0.005;0.005;35;50;100;0.4;0.35;900;350;700
016.4E;0.005;0.005;35;50;100;0.4;0.35;900;350;700
016.5;0.005;0.005;35;50;100;0.45;0.3;900;350;700
016.A11;0.005;0.005;35;50;100;0.45;0.3;800;350;700
016.A121;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.A122;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.A1Z;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.A21;0.005;0.005;35;50;100;0.45;0.3;800;350;700
016.A221;0.005;0.005;35;50;100;0.45;0.3;800;350;700
016.A222;0.005;0.005;35;50;100;0.45;0.3;800;350;700
016.AA0;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.AAA;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.AAB;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AB1;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.AB2;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.AB3;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.AB4;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.AC1;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC21;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC22;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC2A;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC2B;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC2C;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC2D;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC2E;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC31;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC32;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC33;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC41;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC42;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AC43;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AD1;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AD2;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AD9;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.ADA0;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.ADAZ;0.004;0.004;35;50;100;0.35;0.3;800;350;700
016.ADB;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.ADC;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.ADD;0.004;0.004;35;50;100;0.35;0.25;800;350;700
016.AE;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.AF;0.005;0.005;35;50;100;0.35;0.3;800;350;700
016.B1;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.B2;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.B3;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.B4;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA11;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA12;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA13;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA14;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA21;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA22;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA23;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA24;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA30;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA3Z;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA4;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA51;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA52;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA61;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA620;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA62Z;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA6A;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA6B;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA6C;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA71;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA72;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA73;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA7Z;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA81;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA82;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BA83;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BB11;0.005;0.005;35;50;100;0.4;0.3;800;350;700
016.BB12;0.005;0.005;35;50;100;0.3;0.25;800;350;700
016.BB1Z;0.005;0.005;35;50;100;0.3;0.25;800;350;700
016.BB2;0.005;0.005;35;50;100;0.35;0.25;800;350;700
016.BC11;0.004;0.004;25;50;100;0.3;0.2;500;350;700
016.BC12;0.005;0.003;25;50;100;0.3;0.2;500;350;700
016.BC1A0;0.005;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AA0;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AAA;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AAB;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AB11;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AB12;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AB1A1;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AB1A2;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AB1A3;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AB1A4;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AB1B;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AB2;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1AC;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1AD;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1AE11;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1AE12;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1AE1A;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1AE1B;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1AE2;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1AEZ;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1AF;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BC1B;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C11;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C12;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C1A;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C1B;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C1C;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C2;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C31;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C32;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C3A;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C3B;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1C4;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1D;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC1E;0.004;0.004;25;50;100;0.25;0.2;500;350;700
016.BC2;0.004;0.004;25;50;100;0.3;0.2;500;350;700
016.BD1;0.005;0.003;25;50;100;0.25;0.2;500;350;700
016.BD2;0.005;0.003;25;50;100;0.3;0.2;500;350;700
016.BD31;0.005;0.003;25;50;100;0.25;0.2;500;350;700
016.BD32;0.005;0.003;25;50;100;0.25;0.2;500;350;700
016.BD3A;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BD3B;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BD4;0.005;0.003;25;50;100;0.25;0.2;500;350;700
016.BD5;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BD6;0.005;0.003;25;50;100;0.25;0.2;500;350;700
016.BDA0;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BDAA;0.003;0.002;25;50;100;0.25;0.2;500;350;700
016.BDAB1;0.003;0.002;25;50;100;0.25;0.2;500;350;700
016.BDAB20;0.003;0.002;25;50;100;0.25;0.2;500;350;700
016.BDAB2Z;0.003;0.002;25;50;100;0.25;0.2;500;350;700
016.BDABZ;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BDAC;0.003;0.002;25;50;100;0.25;0.2;500;350;700
016.BDB;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BDC1;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BDC2;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BDC9;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BDCA;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BDCB;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BDD;0.003;0.002;25;50;100;0.25;0.2;500;350;700
016.BE1;0.005;0.003;25;50;100;0.25;0.2;500;350;700
016.BE20;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A10;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A1A1;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A1A2;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A1A3;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A1A4;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A1A5;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A1A6;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A1B;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2A2;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE2B;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BE2C;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BE3;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE40;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE4A10;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE4A1A;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE4A1B;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BE4A2;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE4A3;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE4A4;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE4A5;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BE4A6;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE4B;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BE511;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE512;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE51A;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE51B;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE520;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE52A;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE52B;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A1;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A20;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A2A;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A2B;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A3;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A4;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A5;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A6;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A7;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5A8;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE5B;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE611;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE612;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BE62;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BEA1;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BEA2;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BEA3;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BEA4;0.004;0.003;25;50;100;0.25;0.2;500;350;700
016.BEB11;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEB12;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BEB1A;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEB1B;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BEB21;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BEB22;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BEB2Z;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BEBA0;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BEBAA;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEBAB;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEBB;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEBC;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEC1;0.004;0.002;25;50;100;0.25;0.2;500;350;700
016.BEC2;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEC3;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEC4;0.004;0.002;25;50;100;0.25;0.15;500;350;700
016.BEC5;0.004;0.002;25;50;100;0.2;0.15;500;350;700
016.BEC60;0.004;0.002;25;50;100;0.2;0.15;500;350;700
016.BEC6A;0.004;0.002;25;50;100;0.2;0.15;500;350;700
016.BEC6B;0.004;0.002;25;50;100;0.2;0.15;500;350;700
016.BECA;0.004;0.002;25;50;100;0.2;0.15;500;350;700
016.BECB;0.004;0.002;25;50;100;0.2;0.15;500;350;700
