regine;c_wood_mg/l_tot-p;c_upland_mg/l_tot-p;c_lake_kg/km2_tot-p;c_urban_kg/km2_tot-p;c_city_kg/km2_tot-p;c_wood_mg/l_tot-n;c_upland_mg/l_tot-n;c_lake_kg/km2_tot-n;c_urban_kg/km2_tot-n;c_city_kg/km2_tot-n
002.A1;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A20;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A2A;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A2B;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A2C;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A3;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A4;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A51;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A52;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A5A;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A5B;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A5C;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A60;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A6Z;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A7;0.005;0.005;35;50;100;0.5;0.3;700;350;700
002.A8;0.006;0.005;35;50;100;0.5;0.3;700;350;700
002.AA1;0.005;0.005;30;50;100;0.5;0.3;700;350;700
002.AA2;0.005;0.005;30;50;100;0.5;0.3;700;350;700
002.AA3;0.005;0.005;30;50;100;0.5;0.3;700;350;700
002.AA4;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.AA5;0.005;0.005;30;50;100;0.5;0.3;700;350;700
002.AA6;0.005;0.005;30;50;100;0.5;0.3;700;350;700
002.AA7;0.005;0.005;30;50;100;0.5;0.3;700;350;700
002.AA8;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.AAA;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.AAB;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.AB0;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ABA;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ABB;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ABC;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ABD;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ABE;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.AC0;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ACA;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ACB;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.AD0;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ADA;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.ADB;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.AE;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B11;0.006;0.005;35;50;100;0.5;0.3;700;350;700
002.B12;0.006;0.005;35;50;100;0.5;0.3;700;350;700
002.B1A0;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B1AZ;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B1B;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B1C;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B1D;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B2;0.006;0.005;35;50;100;0.5;0.3;700;350;700
002.B3;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B4;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B5;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B61;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B62;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B6A;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B6B;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B7;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.B8;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.C11;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.C12;0.006;0.005;30;50;100;0.5;0.3;700;350;700
