regine;regine_ned;a_reg_km2;q_sp_m3/s/km2;runoff_mm/yr;q_reg_m3/s;vassom;komnr;fylke;ospar_region
001.B8;001.B7;1.7200;0.013000;409.9680;0.022360;1;101;1;Skagerrak
001.C1;001.B8;21.4300;0.014000;441.5040;0.300020;1;118;1;Skagerrak
001.C2;001.C1;3.9200;0.013000;409.9680;0.050960;1;118;1;Skagerrak
001.C31;001.C2;7.8000;0.012000;378.4320;0.093600;1;118;1;Skagerrak
001.C32;001.C31;13.9700;0.013000;409.9680;0.181610;1;118;1;Skagerrak
001.C3A;001.C32;12.2600;0.014000;441.5040;0.171640;1;118;1;Skagerrak
001.C3B1;001.C3A;0.9600;0.016000;504.5760;0.015360;1;118;1;Skagerrak
001.C3B2;001.C3B1;12.3700;0.017000;536.1120;0.210290;1;118;1;Skagerrak
001.C3C1;001.C3B2;5.6500;0.015000;473.0400;0.084750;1;118;1;Skagerrak
001.C3C2;001.C3C1;6.1200;0.017000;536.1120;0.104040;1;118;1;Skagerrak
001.C4;001.C32;20.2800;0.013000;409.9680;0.263640;1;118;1;Skagerrak
001.C5;001.C4;3.5700;0.013000;409.9680;0.046410;1;118;1;Skagerrak
001.C6;001.C5;4.3400;0.014000;441.5040;0.060760;1;118;1;Skagerrak
001.D1;001.C6;47.7000;0.013000;409.9680;0.620100;1;118;1;Skagerrak
001.D2;001.D1;50.6400;0.014000;441.5040;0.708960;1;118;1;Skagerrak
001.D3;001.D2;2.1900;0.014000;441.5040;0.030660;1;118;1;Skagerrak
001.D4;001.D3;0.9000;0.013000;409.9680;0.011700;1;118;1;Skagerrak
001.E1;001.D4;32.0600;0.012000;378.4320;0.384720;1;119;1;Skagerrak
001.E2;001.E1;18.5800;0.012000;378.4320;0.222960;1;118;1;Skagerrak
001.E31;001.E2;10.5200;0.011000;346.8960;0.115720;1;119;1;Skagerrak
001.E32;001.E31;0.8800;0.012000;378.4320;0.010560;1;119;1;Skagerrak
001.E3A;001.E32;1.7100;0.012000;378.4320;0.020520;1;119;1;Skagerrak
001.E3B;001.E3A;15.0900;0.012000;378.4320;0.181080;1;119;1;Skagerrak
001.E3C;001.E3B;12.1800;0.013000;409.9680;0.158340;1;119;1;Skagerrak
001.E4;001.E32;55.2000;0.013000;409.9680;0.717600;1;119;1;Skagerrak
001.F11;001.E4;59.4000;0.015000;473.0400;0.891000;1;119;1;Skagerrak
001.F12;001.F11;2.7400;0.014000;441.5040;0.038360;1;119;1;Skagerrak
001.F1A;001.F12;23.8200;0.017000;536.1120;0.404940;1;119;1;Skagerrak
001.F1B;001.F1A;11.1900;0.017000;536.1120;0.190230;1;119;1;Skagerrak
001.F1C;001.F1B;9.2100;0.016000;504.5760;0.147360;1;121;1;Skagerrak
001.F2;001.F12;72.5300;0.015000;473.0400;1.087950;1;119;1;Skagerrak
001.F3;001.F2;10.2700;0.015000;473.0400;0.154050;1;221;2;Skagerrak
001.F4;001.F3;3.6600;0.014000;441.5040;0.051240;1;221;2;Skagerrak
001.F5;001.F4;1.1500;0.014000;441.5040;0.016100;1;221;2;Skagerrak
001.F6;001.F5;1.3100;0.016000;504.5760;0.020960;1;221;2;Skagerrak
001.FA;001.F6;18.6100;0.015000;473.0400;0.279150;1;221;2;Skagerrak
001.FB;001.FA;77.2900;0.015000;473.0400;1.159350;1;221;2;Skagerrak
001.FC11;001.FB;8.0400;0.013000;409.9680;0.104520;1;221;2;Skagerrak
001.FC12;001.FC11;49.0900;0.015000;473.0400;0.736350;1;221;2;Skagerrak
001.FC1A;001.FC12;3.0500;0.016000;504.5760;0.048800;1;221;2;Skagerrak
001.FC1B;001.FC1A;9.8500;0.015000;473.0400;0.147750;1;221;2;Skagerrak
001.FC1C;001.FC1B;3.8100;0.016000;504.5760;0.060960;1;221;2;Skagerrak
001.FC2;001.FC12;38.4600;0.014000;441.5040;0.538440;1;221;2;Skagerrak
001.FD;001.FC2;56.7200;0.015000;473.0400;0.850800;1;221;2;Skagerrak
001.G0;001.F6;11.8700;0.014000;441.5040;0.166180;1;221;2;Skagerrak
001.GA0;001.G0;8.0500;0.014000;441.5040;0.112700;1;221;2;Skagerrak
001.GAA;001.GA0;55.8300;0.016000;504.5760;0.893280;1;221;2;Skagerrak
001.GAB;001.GAA;12.2100;0.016000;504.5760;0.195360;1;221;2;Skagerrak
001.GB;001.GA0;4.7100;0.014000;441.5040;0.065940;1;221;2;Skagerrak
001.GC;001.GB;83.1400;0.014000;441.5040;1.163960;1;221;2;Skagerrak
001.GD;001.GC;7.0700;0.016000;504.5760;0.113120;1;221;2;Skagerrak
001.H1;001.G0;35.2000;0.015000;473.0400;0.528000;1;221;2;Skagerrak
001.H2;001.H1;49.9400;0.015000;473.0400;0.749100;1;221;2;Skagerrak
001.H3;001.H2;1.3700;0.013000;409.9680;0.017810;1;221;2;Skagerrak
001.H4;001.H3;0.4300;0.013000;409.9680;0.005590;1;221;2;Skagerrak
001.J1;001.H4;1.4200;0.013000;409.9680;0.018460;1;221;2;Skagerrak
001.J2;001.J1;1.3700;0.012000;378.4320;0.016440;1;221;2;Skagerrak
001.J3;001.J2;17.6800;0.013000;409.9680;0.229840;1;221;2;Skagerrak
001.J4;001.J3;31.5600;0.015000;473.0400;0.473400;1;221;2;Skagerrak
001.K110;001.J4;2.1700;0.014000;441.5040;0.030380;1;221;2;Skagerrak
001.K11A;001.K110;7.0200;0.014000;441.5040;0.098280;1;221;2;Skagerrak
001.K11B;001.K11A;5.6700;0.014000;441.5040;0.079380;1;221;2;Skagerrak
001.K11C;001.K11B;5.1800;0.015000;473.0400;0.077700;1;221;2;Skagerrak
001.K12;001.K110;14.5400;0.014000;441.5040;0.203560;1;221;2;Skagerrak
001.K1Z;001.K12;47.2800;0.015000;473.0400;0.709200;1;221;2;Skagerrak
001.K2;001.K12;6.0400;0.014000;441.5040;0.084560;1;221;2;Skagerrak
001.K3;001.K2;14.3100;0.013000;409.9680;0.186030;1;221;2;Skagerrak
001.K41;001.K3;13.3300;0.014000;441.5040;0.186620;1;221;2;Skagerrak
001.K42;001.K41;9.7200;0.014000;441.5040;0.136080;1;221;2;Skagerrak
001.K4A;001.K42;41.5100;0.014000;441.5040;0.581140;1;221;2;Skagerrak
001.K4B;001.K4A;8.6200;0.015000;473.0400;0.129300;1;221;2;Skagerrak
001.K4C;001.K4B;5.2200;0.016000;504.5760;0.083520;1;221;2;Skagerrak
001.L;001.K42;21.7900;0.014000;441.5040;0.305060;1;221;2;Skagerrak
001.M;001.L;23.9900;0.014000;441.5040;0.335860;1;236;2;Skagerrak
002.;1_2;0.0000;0.000000;0.0000;0.000000;0;0;0;0
002.1110;002.;15.4700;0.011000;346.8960;0.170170;2;101;1;Skagerrak
002.111Z;002.1110;29.7300;0.011000;346.8960;0.327030;2;101;1;Skagerrak
002.1120;002.1110;14.8000;0.010000;315.3600;0.148000;2;105;1;Skagerrak
002.112Z;002.1120;7.1500;0.011000;346.8960;0.078650;2;105;1;Skagerrak
002.1130;002.1120;8.2800;0.011000;346.8960;0.091080;2;105;1;Skagerrak
002.113Z;002.1130;26.6100;0.012000;378.4320;0.319320;2;105;1;Skagerrak
002.114;002.1130;37.8300;0.011000;346.8960;0.416130;2;105;1;Skagerrak
002.1150;002.114;34.8100;0.011000;346.8960;0.382910;2;106;1;Skagerrak
002.115Z;002.1150;3.8000;0.012000;378.4320;0.045600;2;106;1;Skagerrak
002.1160;002.1150;23.1100;0.010000;315.3600;0.231100;2;106;1;Skagerrak
002.116Z;002.1160;2.5200;0.010000;315.3600;0.025200;2;106;1;Skagerrak
002.1170;002.1160;11.0900;0.010000;315.3600;0.110900;2;106;1;Skagerrak
002.117Z;002.1170;2.5300;0.011000;346.8960;0.027830;2;106;1;Skagerrak
002.1180;002.1170;2.2700;0.011000;346.8960;0.024970;2;106;1;Skagerrak
002.118Z;002.1180;2.9400;0.011000;346.8960;0.032340;2;106;1;Skagerrak
002.1190;002.1180;5.0600;0.011000;346.8960;0.055660;2;106;1;Skagerrak
002.119Z;002.1190;3.1900;0.011000;346.8960;0.035090;2;106;1;Skagerrak
002.11Z;002.1190;30.1900;0.012000;378.4320;0.362280;2;105;1;Skagerrak
002.12;002.1190;22.1100;0.011000;346.8960;0.243210;2;106;1;Skagerrak
002.21;002.12;36.4800;0.010000;315.3600;0.364800;2;106;1;Skagerrak
002.220;002.21;11.4200;0.010000;315.3600;0.114200;2;106;1;Skagerrak
002.22Z;002.220;6.2400;0.011000;346.8960;0.068640;2;106;1;Skagerrak
002.2A;002.220;28.8000;0.012000;378.4320;0.345600;2;106;1;Skagerrak
002.2B;002.2A;49.1500;0.013000;409.9680;0.638950;2;106;1;Skagerrak
002.2C;002.2B;38.7100;0.014000;441.5040;0.541940;2;135;1;Skagerrak
002.31;002.220;35.2900;0.005000;157.6800;0.176450;2;106;1;Skagerrak
002.320;002.31;80.0700;0.006000;189.2160;0.480420;2;106;1;Skagerrak
002.32Z;002.320;8.0900;0.013000;409.9680;0.105170;2;106;1;Skagerrak
002.3Z;002.320;5.0400;0.010000;315.3600;0.050400;2;106;1;Skagerrak
002.41;002.320;125.6800;0.009000;283.8240;1.131120;2;111;1;Skagerrak
002.42;002.41;148.6200;0.004000;126.1440;0.594480;2;111;1;Skagerrak
002.43;002.42;24.5800;0.009000;283.8240;0.221220;2;111;1;Skagerrak
002.44;002.43;177.1100;0.003000;94.6080;0.531330;2;111;1;Skagerrak
002.A1;002.44;8.3700;0.012000;378.4320;0.100440;2;106;1;Skagerrak
002.A20;002.A1;16.8000;0.012000;378.4320;0.201600;2;106;1;Skagerrak
002.A2A;002.A20;31.9900;0.013000;409.9680;0.415870;2;105;1;Skagerrak
002.A2B;002.A2A;31.0900;0.015000;473.0400;0.466350;2;105;1;Skagerrak
002.A2C;002.A2B;26.8200;0.012000;378.4320;0.321840;2;105;1;Skagerrak
002.A3;002.A20;27.1800;0.012000;378.4320;0.326160;2;106;1;Skagerrak
002.A4;002.A3;10.8400;0.013000;409.9680;0.140920;2;105;1;Skagerrak
002.A51;002.A4;14.6600;0.013000;409.9680;0.190580;2;105;1;Skagerrak
002.A52;002.A51;54.6000;0.013000;409.9680;0.709800;2;105;1;Skagerrak
002.A5A;002.A52;30.3700;0.013000;409.9680;0.394810;2;128;1;Skagerrak
002.A5B;002.A5A;52.1600;0.012000;378.4320;0.625920;2;105;1;Skagerrak
002.A5C;002.A5B;87.9400;0.012000;378.4320;1.055280;2;128;1;Skagerrak
002.A60;002.A52;31.8500;0.013000;409.9680;0.414050;2;105;1;Skagerrak
002.A6Z;002.A60;33.0200;0.014000;441.5040;0.462280;2;105;1;Skagerrak
002.A7;002.A60;14.4600;0.014000;441.5040;0.202440;2;128;1;Skagerrak
002.A8;002.A7;53.5200;0.017000;536.1120;0.909840;2;127;1;Skagerrak
002.AA1;002.A8;0.2200;0.013000;409.9680;0.002860;2;128;1;Skagerrak
002.AA2;002.AA1;0.3800;0.013000;409.9680;0.004940;2;128;1;Skagerrak
002.AA3;002.AA2;5.6200;0.014000;441.5040;0.078680;2;128;1;Skagerrak
002.AA4;002.AA3;15.7100;0.015000;473.0400;0.235650;2;128;1;Skagerrak
002.AA5;002.AA4;6.1600;0.014000;441.5040;0.086240;2;128;1;Skagerrak
002.AA6;002.AA5;0.1400;0.014000;441.5040;0.001960;2;128;1;Skagerrak
002.AA7;002.AA6;1.0900;0.014000;441.5040;0.015260;2;128;1;Skagerrak
002.AA8;002.AA7;5.4700;0.015000;473.0400;0.082050;2;125;1;Skagerrak
002.AAA;002.AA8;47.6000;0.016000;504.5760;0.761600;2;125;1;Skagerrak
002.AAB;002.AAA;7.1800;0.017000;536.1120;0.122060;2;125;1;Skagerrak
002.AB0;002.AA8;20.5600;0.014000;441.5040;0.287840;2;128;1;Skagerrak
002.ABA;002.AB0;36.8900;0.014000;441.5040;0.516460;2;128;1;Skagerrak
002.ABB;002.ABA;44.3900;0.014000;441.5040;0.621460;2;128;1;Skagerrak
002.ABC;002.ABB;10.6400;0.013000;409.9680;0.138320;2;128;1;Skagerrak
002.ABD;002.ABC;15.4000;0.013000;409.9680;0.200200;2;128;1;Skagerrak
002.ABE;002.ABD;25.2300;0.013000;409.9680;0.327990;2;128;1;Skagerrak
002.AC0;002.AB0;47.3300;0.014000;441.5040;0.662620;2;128;1;Skagerrak
002.ACA;002.AC0;18.8200;0.014000;441.5040;0.263480;2;128;1;Skagerrak
002.ACB;002.ACA;37.5000;0.015000;473.0400;0.562500;2;128;1;Skagerrak
002.AD0;002.AC0;39.2600;0.013000;409.9680;0.510380;2;128;1;Skagerrak
002.ADA;002.AD0;28.4400;0.014000;441.5040;0.398160;2;128;1;Skagerrak
002.ADB;002.ADA;6.9200;0.014000;441.5040;0.096880;2;119;1;Skagerrak
002.AE;002.AD0;47.2400;0.014000;441.5040;0.661360;2;119;1;Skagerrak
002.B11;002.A8;30.9900;0.015000;473.0400;0.464850;2;125;1;Skagerrak
002.B12;002.B11;39.9700;0.018000;567.6480;0.719460;2;124;1;Skagerrak
002.B1A0;002.B12;58.2700;0.018000;567.6480;1.048860;2;125;1;Skagerrak
002.B1AZ;002.B1A0;34.5700;0.017000;536.1120;0.587690;2;125;1;Skagerrak
002.B1B;002.B1A0;65.9900;0.016000;504.5760;1.055840;2;125;1;Skagerrak
002.B1C;002.B1B;38.3000;0.016000;504.5760;0.612800;2;122;1;Skagerrak
002.B1D;002.B1C;38.4900;0.018000;567.6480;0.692820;2;122;1;Skagerrak
002.B2;002.B12;38.7700;0.016000;504.5760;0.620320;2;127;1;Skagerrak
002.B3;002.B2;19.4500;0.018000;567.6480;0.350100;2;124;1;Skagerrak
002.B4;002.B3;28.5900;0.017000;536.1120;0.486030;2;123;1;Skagerrak
002.B5;002.B4;21.7100;0.018000;567.6480;0.390780;2;124;1;Skagerrak
002.B61;002.B5;41.9600;0.018000;567.6480;0.755280;2;123;1;Skagerrak
002.B62;002.B61;4.7000;0.018000;567.6480;0.084600;2;123;1;Skagerrak
002.B6A;002.B62;16.4200;0.020000;630.7200;0.328400;2;123;1;Skagerrak
002.B6B;002.B6A;28.5100;0.018000;567.6480;0.513180;2;229;2;Skagerrak
002.B7;002.B62;14.5700;0.019000;599.1840;0.276830;2;124;1;Skagerrak
002.B8;002.B7;12.9400;0.020000;630.7200;0.258800;2;123;1;Skagerrak
002.C11;002.B8;53.9700;0.019000;599.1840;1.025430;2;122;1;Skagerrak
002.C12;002.C11;26.1900;0.018000;567.6480;0.471420;2;122;1;Skagerrak
002.C2;002.C12;11.5500;0.017000;536.1120;0.196350;2;229;2;Skagerrak
002.C3;002.C2;30.6000;0.019000;599.1840;0.581400;2;227;2;Skagerrak
002.C40;002.C3;28.3700;0.018000;567.6480;0.510660;2;229;2;Skagerrak
002.C4A;002.C40;15.7200;0.019000;599.1840;0.298680;2;229;2;Skagerrak
002.C4B;002.C4A;16.5600;0.021000;662.2560;0.347760;2;229;2;Skagerrak
002.C4C;002.C4B;28.0600;0.020000;630.7200;0.561200;2;229;2;Skagerrak
002.C4D;002.C4C;8.4900;0.020000;630.7200;0.169800;2;229;2;Skagerrak
002.C5;002.C40;72.5600;0.018000;567.6480;1.306080;2;227;2;Skagerrak
002.C6;002.C5;33.4100;0.018000;567.6480;0.601380;2;229;2;Skagerrak
002.C7;002.C6;21.0800;0.015000;473.0400;0.316200;2;227;2;Skagerrak
002.C8;002.C7;40.7000;0.018000;567.6480;0.732600;2;228;2;Skagerrak
002.CA0;002.C8;36.2300;0.018000;567.6480;0.652140;2;227;2;Skagerrak
002.CAA0;002.CA0;56.4200;0.021000;662.2560;1.184820;2;226;2;Skagerrak
002.CAAA0;002.CAA0;38.0500;0.024000;756.8640;0.913200;2;234;2;Skagerrak
002.CAAAZ;002.CAAA0;25.3300;0.018000;567.6480;0.455940;2;234;2;Skagerrak
002.CAAB;002.CAAA0;25.4800;0.018000;567.6480;0.458640;2;234;2;Skagerrak
002.CAAC;002.CAAB;25.3400;0.022000;693.7920;0.557480;2;238;2;Skagerrak
002.CAB1;002.CAA0;96.1200;0.019000;599.1840;1.826280;2;235;2;Skagerrak
002.CAB2;002.CAB1;49.8900;0.020000;630.7200;0.997800;2;238;2;Skagerrak
002.CABA;002.CAB2;50.5900;0.018000;567.6480;0.910620;2;238;2;Skagerrak
002.CABB;002.CABA;15.9600;0.024000;756.8640;0.383040;2;238;2;Skagerrak
002.CAC;002.CAB2;158.4900;0.020000;630.7200;3.169800;2;238;2;Skagerrak
002.CAD1;002.CAC;0.8100;0.015000;473.0400;0.012150;2;533;5;Skagerrak
002.CAD2;002.CAD1;6.6200;0.017000;536.1120;0.112540;2;533;5;Skagerrak
002.CAD3;002.CAD2;4.2700;0.017000;536.1120;0.072590;2;533;5;Skagerrak
002.CAD4;002.CAD3;13.5700;0.018000;567.6480;0.244260;2;533;5;Skagerrak
002.CAD5;002.CAD4;23.3900;0.019000;599.1840;0.444410;2;534;5;Skagerrak
002.CAD6;002.CAD5;22.1500;0.020000;630.7200;0.443000;2;534;5;Skagerrak
002.CAE1;002.CAD6;2.0800;0.019000;599.1840;0.039520;2;534;5;Skagerrak
002.CAE2;002.CAE1;8.0600;0.021000;662.2560;0.169260;2;534;5;Skagerrak
002.CAE3;002.CAE2;12.1100;0.023000;725.3280;0.278530;2;534;5;Skagerrak
002.CAE4;002.CAE3;1.6100;0.021000;662.2560;0.033810;2;534;5;Skagerrak
002.CAE5;002.CAE4;14.1200;0.024000;756.8640;0.338880;2;534;5;Skagerrak
002.CAE6;002.CAE5;10.3600;0.024000;756.8640;0.248640;2;534;5;Skagerrak
002.CB0;002.CA0;9.1700;0.020000;630.7200;0.183400;2;231;2;Skagerrak
002.CBA0;002.CB0;15.1200;0.021000;662.2560;0.317520;2;230;2;Skagerrak
002.CBAA;002.CBA0;26.2200;0.020000;630.7200;0.524400;2;230;2;Skagerrak
002.CBAB;002.CBAA;28.3100;0.020000;630.7200;0.566200;2;230;2;Skagerrak
002.CBB1;002.CBA0;4.3900;0.021000;662.2560;0.092190;2;231;2;Skagerrak
002.CBB2;002.CBB1;2.8000;0.020000;630.7200;0.056000;2;230;2;Skagerrak
002.CBB3;002.CBB2;6.0600;0.022000;693.7920;0.133320;2;301;3;Skagerrak
002.CBB4;002.CBB3;5.5600;0.020000;630.7200;0.111200;2;230;2;Skagerrak
002.CBB5;002.CBB4;2.2000;0.021000;662.2560;0.046200;2;301;3;Skagerrak
002.CBB6;002.CBB5;0.6200;0.019000;599.1840;0.011780;2;230;2;Skagerrak
002.CBC;002.CBB6;17.4800;0.020000;630.7200;0.349600;2;230;2;Skagerrak
002.CC0;002.CB0;80.8500;0.023000;725.3280;1.859550;2;233;2;Skagerrak
002.CCZ;002.CC0;27.1000;0.033000;1040.6880;0.894300;2;233;2;Skagerrak
002.CD10;002.CC0;41.6400;0.031000;977.6160;1.290840;2;233;2;Skagerrak
002.CD1A;002.CD10;2.8600;0.038000;1198.3680;0.108680;2;233;2;Skagerrak
002.CD1B;002.CD1A;11.0700;0.046000;1450.6560;0.509220;2;238;2;Skagerrak
002.CD2;002.CD10;23.1000;0.032000;1009.1520;0.739200;2;233;2;Skagerrak
002.CDA;002.CD2;7.0500;0.035000;1103.7600;0.246750;2;233;2;Skagerrak
002.CDB;002.CDA;14.1400;0.036000;1135.2960;0.509040;2;301;3;Skagerrak
002.CE0;002.CD2;22.2300;0.035000;1103.7600;0.778050;2;233;2;Skagerrak
002.CEA1;002.CE0;1.3000;0.026000;819.9360;0.033800;2;533;5;Skagerrak
002.CEA21;002.CEA1;7.7000;0.035000;1103.7600;0.269500;2;233;2;Skagerrak
002.CEA22;002.CEA21;0.7900;0.029000;914.5440;0.022910;2;533;5;Skagerrak
002.CEA2A;002.CEA22;3.6100;0.035000;1103.7600;0.126350;2;533;5;Skagerrak
002.CEA2B;002.CEA2A;2.2800;0.039000;1229.9040;0.088920;2;533;5;Skagerrak
002.CEA3;002.CEA22;7.5700;0.030000;946.0800;0.227100;2;533;5;Skagerrak
002.CEA4;002.CEA3;1.2800;0.029000;914.5440;0.037120;2;533;5;Skagerrak
002.CEA5;002.CEA4;1.6100;0.035000;1103.7600;0.056350;2;533;5;Skagerrak
002.CEA60;002.CEA5;0.7800;0.032000;1009.1520;0.024960;2;533;5;Skagerrak
002.CEA6A;002.CEA60;0.9700;0.033000;1040.6880;0.032010;2;533;5;Skagerrak
002.CEA6B;002.CEA6A;3.4400;0.039000;1229.9040;0.134160;2;533;5;Skagerrak
002.CEB;002.CEA60;16.3100;0.033000;1040.6880;0.538230;2;533;5;Skagerrak
002.CF0;002.CE0;14.0700;0.028000;883.0080;0.393960;2;533;5;Skagerrak
002.CFZ;002.CF0;39.7600;0.030000;946.0800;1.192800;2;533;5;Skagerrak
002.CG;002.CF0;17.7500;0.031000;977.6160;0.550250;2;533;5;Skagerrak
002.CH;002.CG;18.2000;0.032000;1009.1520;0.582400;2;533;5;Skagerrak
002.D1;002.C8;42.0800;0.018000;567.6480;0.757440;2;227;2;Skagerrak
002.D21;002.D1;14.9600;0.019000;599.1840;0.284240;2;227;2;Skagerrak
002.D22;002.D21;3.3300;0.018000;567.6480;0.059940;2;226;2;Skagerrak
002.D2Z;002.D22;207.4300;0.022000;693.7920;4.563460;2;235;2;Skagerrak
002.D31;002.D22;10.1500;0.018000;567.6480;0.182700;2;226;2;Skagerrak
002.D32;002.D31;4.7800;0.017000;536.1120;0.081260;2;226;2;Skagerrak
002.D3Z;002.D32;129.8500;0.017000;536.1120;2.207450;2;226;2;Skagerrak
002.D4;002.D32;6.4700;0.017000;536.1120;0.109990;2;226;2;Skagerrak
002.D5;002.D4;70.4100;0.010000;315.3600;0.704100;2;236;2;Skagerrak
