regine;regine_ned;a_reg_km2;q_sp_m3/s/km2;runoff_mm/yr;q_reg_m3/s;vassom;komnr;fylke;ospar_region
001.;1_2;0.0000;0.000000;0.0000;0.000000;0;0;0;0
001.10;001.;1.4100;0.014000;441.5040;0.019740;1;101;1;Skagerrak
001.1A1;001.10;1.1600;0.014000;441.5040;0.016240;1;101;1;Skagerrak
001.1A20;001.1A1;0.3500;0.010000;315.3600;0.003500;1;101;1;Skagerrak
001.1A2A;001.1A20;17.4000;0.012000;378.4320;0.208800;1;101;1;Skagerrak
001.1A2B;001.1A2A;40.4900;0.012000;378.4320;0.485880;1;101;1;Skagerrak
001.1A3;001.1A20;16.7600;0.012000;378.4320;0.201120;1;101;1;Skagerrak
001.1A40;001.1A3;12.3700;0.012000;378.4320;0.148440;1;101;1;Skagerrak
001.1A4A;001.1A40;35.2000;0.014000;441.5040;0.492800;1;101;1;Skagerrak
001.1A4B;001.1A4A;2.8000;0.013000;409.9680;0.036400;1;101;1;Skagerrak
001.1A4C;001.1A4B;14.9700;0.013000;409.9680;0.194610;1;101;1;Skagerrak
001.1A4D;001.1A4C;7.9200;0.014000;441.5040;0.110880;1;101;1;Skagerrak
001.1A5;001.1A40;5.8700;0.017000;536.1120;0.099790;1;101;1;Skagerrak
001.1A6;001.1A5;0.3500;0.019000;599.1840;0.006650;1;101;1;Skagerrak
001.1B;001.1A6;114.9000;0.021000;662.2560;2.412900;1;101;1;Skagerrak
001.1C;001.1B;0.7400;0.021000;662.2560;0.015540;1;101;1;Skagerrak
001.1D;001.1C;226.0800;0.020000;630.7200;4.521600;1;101;1;Skagerrak
001.1E;001.1D;78.9000;0.021000;662.2560;1.656900;1;101;1;Skagerrak
001.1F;001.1E;54.6700;0.021000;662.2560;1.148070;1;101;1;Skagerrak
001.1G;001.1F;1.9500;0.021000;662.2560;0.040950;1;101;1;Skagerrak
001.1H;001.1G;30.5800;0.021000;662.2560;0.642180;1;101;1;Skagerrak
001.1J;001.1H;45.0700;0.016000;504.5760;0.721120;1;101;1;Skagerrak
001.1K;001.1J;17.2500;0.016000;504.5760;0.276000;1;101;1;Skagerrak
001.1L;001.1K;37.9600;0.015000;473.0400;0.569400;1;118;1;Skagerrak
001.1M;001.1L;15.3800;0.014000;441.5040;0.215320;1;101;1;Skagerrak
001.21;001.10;0.2200;0.010000;315.3600;0.002200;1;101;1;Skagerrak
001.2210;001.21;5.5000;0.012000;378.4320;0.066000;1;101;1;Skagerrak
001.221Z;001.2210;1.6800;0.012000;378.4320;0.020160;1;101;1;Skagerrak
001.2220;001.2210;5.0900;0.012000;378.4320;0.061080;1;101;1;Skagerrak
001.222Z;001.2220;6.2100;0.012000;378.4320;0.074520;1;101;1;Skagerrak
001.2230;001.2220;8.2700;0.011000;346.8960;0.090970;1;101;1;Skagerrak
001.223Z;001.2230;8.4500;0.012000;378.4320;0.101400;1;101;1;Skagerrak
001.224;001.2230;9.5900;0.012000;378.4320;0.115080;1;101;1;Skagerrak
001.22Z;001.224;22.3700;0.012000;378.4320;0.268440;1;101;1;Skagerrak
001.2Z;001.224;26.6000;0.013000;409.9680;0.345800;1;101;1;Skagerrak
001.310;001.224;2.1200;0.012000;378.4320;0.025440;1;101;1;Skagerrak
001.31Z;001.310;19.3700;0.012000;378.4320;0.232440;1;101;1;Skagerrak
001.320;001.310;2.9400;0.011000;346.8960;0.032340;1;101;1;Skagerrak
001.32Z;001.320;2.8200;0.011000;346.8960;0.031020;1;101;1;Skagerrak
001.33;001.320;6.2300;0.012000;378.4320;0.074760;1;101;1;Skagerrak
001.3Z;001.33;17.3300;0.011000;346.8960;0.190630;1;101;1;Skagerrak
001.A1;001.33;0.4300;0.011000;346.8960;0.004730;1;101;1;Skagerrak
001.A2;001.A1;7.5800;0.013000;409.9680;0.098540;1;101;1;Skagerrak
001.A3;001.A2;0.5400;0.011000;346.8960;0.005940;1;101;1;Skagerrak
001.A4;001.A3;0.7700;0.012000;378.4320;0.009240;1;101;1;Skagerrak
001.A5;001.A4;1.1800;0.012000;378.4320;0.014160;1;101;1;Skagerrak
001.A6;001.A5;1.9900;0.013000;409.9680;0.025870;1;101;1;Skagerrak
001.A7;001.A6;1.5400;0.012000;378.4320;0.018480;1;101;1;Skagerrak
001.A8;001.A7;0.2000;0.011000;346.8960;0.002200;1;101;1;Skagerrak
001.B10;001.A8;4.7100;0.010000;315.3600;0.047100;1;101;1;Skagerrak
001.B1A;001.B10;0.2000;0.011000;346.8960;0.002200;1;101;1;Skagerrak
001.B1B1;001.B1A;3.6300;0.012000;378.4320;0.043560;1;101;1;Skagerrak
001.B1B2;001.B1B1;1.0200;0.011000;346.8960;0.011220;1;101;1;Skagerrak
001.B1B3;001.B1B2;0.6100;0.010000;315.3600;0.006100;1;101;1;Skagerrak
001.B1B4;001.B1B3;42.6400;0.012000;378.4320;0.511680;1;101;1;Skagerrak
001.B1C;001.B1B4;2.2500;0.013000;409.9680;0.029250;1;101;1;Skagerrak
001.B1D;001.B1C;8.1500;0.012000;378.4320;0.097800;1;101;1;Skagerrak
001.B1E;001.B1D;2.7300;0.013000;409.9680;0.035490;1;101;1;Skagerrak
001.B21;001.B10;27.8900;0.012000;378.4320;0.334680;1;101;1;Skagerrak
001.B22;001.B21;42.7800;0.012000;378.4320;0.513360;1;101;1;Skagerrak
001.B2A;001.B22;19.7900;0.013000;409.9680;0.257270;1;101;1;Skagerrak
001.B2B;001.B2A;4.5000;0.012000;378.4320;0.054000;1;101;1;Skagerrak
001.B2C;001.B2B;21.5600;0.014000;441.5040;0.301840;1;101;1;Skagerrak
001.B3;001.B22;1.3400;0.012000;378.4320;0.016080;1;101;1;Skagerrak
001.B4;001.B3;0.9500;0.012000;378.4320;0.011400;1;101;1;Skagerrak
001.B5;001.B4;2.3500;0.013000;409.9680;0.030550;1;101;1;Skagerrak
001.B6;001.B5;2.8300;0.013000;409.9680;0.036790;1;101;1;Skagerrak
001.B7;001.B6;13.6400;0.014000;441.5040;0.190960;1;118;1;Skagerrak
