station_id,station_code,station_name,latitude,longitude,altitude,name
3167,620-4-6,Ørteren,60.47,7.795,1147.0,Østlandet
3168,621-1-27,Flåvatna,60.2,9.183,855.0,Østlandet
3169,621-3-5,Soneren,60.061,9.545,104.0,Østlandet
3170,622-2-43,Trytetjern,60.213,9.764,275.0,Østlandet
3171,622-4-4,Krøderen,60.327,9.645,133.0,Østlandet
3173,624-1-8,Grøntjern,59.71506672,9.7129563,276.0,Østlandet
3174,624-1-55,Brånavatnet,59.638,9.852,394.0,Østlandet
3175,624-2-23,Skogsvatnet,59.826,9.938,213.0,Østlandet
3176,624-4-5,Eikeren,59.666,9.912,19.0,Østlandet
3177,631-1-4,Nydammen,59.746,9.47,638.0,Østlandet
3178,631-2-29,Tryttjern,59.881,9.651,488.0,Østlandet
3179,632-1-20,Trytetjørn,59.985,9.373,695.0,Østlandet
3180,633-1-11,Øvre Halstjørnane,60.258,8.178,1190.0,Østlandet
3181,633-1-16,HOH 1217,60.223,7.738,1212.0,Østlandet
3182,633-1-18,HOH 1250,60.31,8.621,1244.0,Østlandet
3183,633-1-29,Tjørngrøtjørnane,60.363,8.345,1195.0,Østlandet
3184,633-1-30,Såtenattjørnan,60.361,9.137,1005.0,Østlandet
3185,633-2-2,Frygnevatnet,60.398,8.638,886.0,Østlandet
3186,633-2-4,Grånsettjørni,60.369,9.083,1031.0,Østlandet
3187,633-2-8,Vestre Søltjørni,60.189,8.239,1182.0,Østlandet
3188,633-2-11,Øvre Nutetjørnane,60.194,8.361,1286.0,Østlandet
3189,633-2-13,Holmevatni,60.425,8.954,1089.0,Østlandet
3190,633-2-21,Flåtåtjørni,60.2439566,8.51316846,1100.0,Østlandet
3191,633-2-24,Vegardhovdtjørnan,60.144,7.832,1255.0,Østlandet
3192,633-2-25,HOH 1065,60.316,9.11,1066.0,Østlandet
3193,633-3-14,Krossvatnet,60.247,7.984,1165.0,Østlandet
3194,633-4-8,Langesjøen,60.24543237,7.75004054,1206.0,Østlandet
3196,714-3-5,Bergsvatnet,59.58437116,10.05711867,36.0,Østlandet
3197,720-2-1,Gjennestadvatnet,59.234,10.244,53.0,Østlandet
3198,728-1-3,Solbergvatnet,59.334,9.997,232.0,Østlandet
3199,728-1-6,Rosovatnet,59.401,10.014,,Østlandet
3200,806-2-23,Holmevatn,59.447,9.594,513.0,Sørlandet
3201,807-1-36,Vassenden,59.603,9.347,289.0,Sørlandet
3203,807-3-1,Sønstevatn,59.727,9.131,318.0,Sørlandet
3204,807-4-1,Heddalsvatnet,59.558,9.218,16.0,Sørlandet
3206,815-1-29,HOH 50,58.89,9.284,61.0,Sørlandet
3207,815-2-27,Lønstravatnet,58.872,9.243,89.0,Sørlandet
3208,815-3-8,Leivatnet,58.787,9.313,9.0,Sørlandet
3209,817-1-14,Teksle,59.025,9.147,105.0,Sørlandet
3210,817-1-33,Store Kyrsvatnet,59.09600356,9.12629622,134.0,Sørlandet
3211,817-1-34,Eldhustjenna,59.00200945,9.20633988,59.0,Sørlandet
3212,817-1-38,Signevatnet,59.152,9.12,245.0,Sørlandet
3213,817-1-43,Skultrevatnet,59.072,9.27,226.0,Sørlandet
3214,817-1-72,Dei store tjørnane,59.072,8.683,642.0,Sørlandet
3215,817-2-61,Sandvatnet,59.086,8.757,369.0,Sørlandet
3217,819-2-13,Prestevatnet,59.166,9.211,148.0,Sørlandet
