station_id,station_code,station_name,sample_date,As_µg/l,Cd_µg/l,Cr_µg/l,Cu_µg/l,Ni_µg/l,Pb_µg/l,Zn_µg/l,TOC_mg C/l,pH_
35,928-1-7,Lundevatnet,1995-10-18,,0.1,0.1,0.6,0.5,0.52,11.4,7.7,4.66
37,935-1-19,Færetjørn,1995-10-18,,0.12,0.2,0.7,0.9,1.03,10.6,7.1,5.03
38,937-1-21,Øytjørn,1995-11-01,0.417,0.04,0.1,0.3,0.2,1.69,6.1,6.0,4.79
39,938-3-4,Storolavsvatnet,1995-10-21,,0.03,,0.2,0.2,0.55,2.8,0.76,5.04
40,940-2-9,HOH 1227,1995-09-19,0.172,,,,,0.55,1.1,0.21,5.39
41,941-2-23,Reinsgrovtjørnane,1995-09-19,,0.03,,0.6,0.1,0.42,3.0,0.31,5.24
43,1004-1-34,Store Einervann/HOH 230,1995-10-18,1.997,0.14,0.5,0.7,0.4,1.77,9.5,4.7,4.52
44,1014-1-32,Krossvatnet,1995-10-18,,0.11,,0.7,0.7,0.99,11.6,5.4,4.95
45,1032-1-19,Svartevatnet,1995-10-18,,0.12,,0.5,0.3,1.35,10.5,4.9,4.71
46,1037-1-1,Lisle Frøysvatnet,1995-10-18,0.36,0.09,,0.9,0.2,1.63,7.9,2.2,4.86
47,1046-1-23,Bergetjørni,1995-10-21,,0.06,,0.4,0.5,0.56,5.0,1.8,5.01
48,1111-1-14,Eikelitjørna,1995-11-01,,0.06,,,0.4,0.56,7.0,0.51,4.87
49,1114-1-20,Skjelbreidtjørni,1995-10-31,0.113,0.03,,0.2,0.3,0.32,5.2,2.1,6.06
50,1114-1-34,Lomstjørni,1995-10-31,,,,0.4,0.3,0.7,7.8,2.6,5.4
51,1122-1-9,Kråtjørni,1995-10-31,0.12,0.04,,0.2,0.2,1.09,4.5,2.1,4.74
52,1129-1-13,Tvaravatnet,1995-10-21,,,,,,0.48,2.3,0.76,4.99
53,1201-1-23,Knappatjørna,1995-10-31,0.172,,,0.3,,0.38,5.4,3.9,5.43
54,1201-1-32,Brekkevatnet,1995-10-31,,,0.2,0.7,0.5,0.55,1.6,0.94,5.66
55,1228-1-16,1230 HOH,1995-09-21,,,0.6,1.6,0.1,0.43,2.0,0.2,5.32
56,1228-2-4,Øvre Juklevatni,1995-09-21,,,1.1,0.8,0.4,0.4,1.4,0.2,5.7
57,1231-1-41,HOH 1092,1995-10-31,,,0.4,1.4,,0.15,1.2,0.33,5.65
58,1235-1-6,Rundatjørni,1995-09-16,0.148,0.02,0.2,0.9,,0.26,1.6,0.2,5.64
59,1235-1-17,Rennebergstjørni,1995-09-16,,0.03,,0.5,0.6,0.53,1.5,0.2,5.36
60,1263-3-10,Husdalsvatnet,1995-10-31,0.204,0.03,,0.4,0.3,0.43,3.7,2.0,5.11
61,1266-1-25,Stemmevatnet,1995-10-31,,0.06,0.1,0.3,0.2,0.89,5.8,1.7,4.84
62,1266-1-43,HOH 816,1995-09-16,,,,0.2,0.1,0.44,1.9,0.2,5.13
63,1401-1-35,Rundedalsvatnet,1995-10-30,,,,,0.1,0.27,1.1,0.57,4.39
64,1411-2-17,Holmevatnet,1995-10-31,,,,0.2,,0.58,2.7,1.5,4.9
65,1411-2-34,Botnavatnet,1995-10-31,,,,,0.1,0.37,1.4,1.8,4.96
66,1416-1-5,HOH 1110,1995-09-16,,,,,,0.3,0.6,0.2,5.23
67,1416-2-6,Blåfjellvatnet,1995-09-16,,,,,,0.28,1.5,0.51,5.35
68,1421-1-34,HOH 1530,1995-09-17,,,,0.4,0.2,0.14,0.9,0.23,5.57
69,1426-2-29,Krongeltjørni,1995-09-17,,,,,1.0,0.12,0.4,0.35,5.9
70,1429-3-22,Langesjøen,1995-10-30,,0.06,0.1,0.4,0.4,0.47,2.6,3.5,5.15
71,1432-2-20,Steinbotsvatna,1995-09-16,,,,,,0.12,0.6,0.23,5.52
72,1433-1-30,Einevollsvatnet,1995-10-30,,,,,,0.14,0.7,2.7,5.35
73,1438-1-16,HOH 770,1995-10-30,,,,,0.3,0.36,0.6,0.42,5.03
74,1534-2-5,St. Hestevatn,1995-10-30,,0.02,,1.0,0.1,0.13,2.7,1.9,5.89
75,1539-3-3,Ulvådalsvatnet,1995-09-17,,0.05,0.1,0.3,0.1,0.05,,0.3,6.16
76,1543-2-8,Røndalskarvatn,1995-10-29,,0.03,,,,0.05,1.0,0.26,6.34
77,1566-2-3,Kvernvatnet,1995-09-18,,,,0.2,,,0.4,0.85,6.47
78,1566-2-19,HOH 1078,1995-09-18,,0.06,0.1,1.2,0.3,0.28,4.5,0.7,6.36
79,1622-1-5,Nedre Hanstjørna,1995-10-30,,,,,0.1,0.16,0.8,10.0,4.92
80,1622-2-4,Austvatnet,1995-10-30,,0.03,0.1,0.3,0.3,0.14,1.3,4.9,5.89
81,1640-2-18,Skebrosjøane,1995-09-20,,,,,0.2,0.16,0.9,4.4,6.08
82,1718-1-3,Hyttvatnet,1995-09-19,,0.04,0.1,0.5,0.1,0.3,1.0,3.4,5.76
83,1736-3-4,Snaufjellvatnet,1995-09-19,,,,,,0.12,3.3,1.3,6.09
84,1738-3-9,Midtre Blåfjellvatnet,1995-09-19,,,,0.2,,0.07,0.5,0.79,6.29
85,1751-2-11,Grønlivatnet,1995-09-19,,,,,0.1,0.22,1.1,3.1,6.03
86,1851-2-13,Trollvatnet,1995-09-14,,0.03,0.2,1.0,0.2,0.14,2.0,1.4,6.42
87,1929-2-9,Storvatnet,1995-09-28,,,,0.7,0.3,0.06,,1.0,6.31
88,1929-2-13,Daudmannsvatn,1995-09-28,,,,1.0,0.2,0.06,0.9,0.75,6.29
89,2011-1-13,HOH 510,1995-09-18,,,0.3,,0.2,0.09,0.3,3.3,5.4
90,2011-1-29,HOH 407,1995-09-18,,0.03,0.1,,,0.06,1.4,1.7,5.76
91,2011-1-60,HOH 414,1995-09-18,,,0.2,0.2,0.2,,0.5,3.6,5.65
92,2011-2-34,Guolehisjavri,1995-09-19,,,0.1,,0.4,0.08,0.5,4.0,6.5
93,2020-2-30,HOH 515,1995-09-21,,0.02,,,0.1,0.05,0.6,0.46,6.18
94,2022-1-42,HOH 292,1995-09-21,,,,,,,,0.69,5.57
95,2022-1-45,HOH 561,1995-09-21,,0.03,,0.3,0.3,0.16,1.7,0.6,5.35
96,2023-1-19,HOH 314,1995-09-21,,0.02,0.1,0.3,0.4,0.27,2.5,0.2,5.12
97,2023-1-63,HOH 323,1995-09-21,,,0.1,,0.1,0.05,0.6,0.2,5.31
98,2025-1-57,HOH 450,1995-09-21,,,,,,0.15,,0.32,5.24
99,817-607,Måvatn,1995-10-19,,,,,,,,0.49,4.69
100,623-603,Breidlivatnet,1995-10-20,,,,,,,,4.6,4.87
115,831-501,Brårvatn,1995-10-20,,0.03,,0.3,0.2,0.35,3.2,0.55,5.79
116,1640-603,Tufsingen,1995-09-20,,,,,,0.05,0.9,1.5,6.48
125,2030-607,St.Valvatnet,1995-09-18,,,,2.0,6.0,,,1.2,6.44
135,1228-501,Steinavatn,1995-11-03,,0.02,0.5,1.5,0.2,4.09,2.1,0.2,5.11
137,620-502,Storekrækkja,1995-10-12,,,,0.3,0.2,0.43,1.8,0.42,6.2
166,1018-4,Kleivsetvannet,1995-10-18,,0.17,0.2,0.9,0.8,1.39,19.8,4.7,5.0
171,1840-601,Kjemåvatn,1995-10-02,,,,,,,0.6,0.49,6.03
187,429-601,Holmsjøen,1995-09-20,,,0.1,0.4,0.3,0.38,2.3,4.5,5.54
191,402-604,Storbørja,1995-10-20,,,,,,,,9.8,5.31
193,1725-3-14,Bjørfarvatnet,1995-09-19,,,,,,0.19,1.4,2.7,5.6
2998,101-2-2,Steinsvatnet,1995-10-20,0.426,0.06,0.4,0.5,0.8,1.13,8.7,6.6,5.04
2999,101-4-1,Femsjøen,1995-10-20,,,0.2,1.1,0.8,0.18,3.3,6.4,6.76
3000,105-3-6,Isesjøen,1995-10-20,,0.02,0.2,1.3,1.1,0.43,2.4,6.1,6.73
3001,105-3-10,Tunevatnet,1995-10-20,0.648,0.02,0.2,1.1,0.9,0.59,1.5,4.7,7.19
3002,118-1-7,Lilledalstjernet,1995-10-20,,,,0.5,0.5,0.31,1.5,9.3,7.23
3003,118-1-39,Ekertjernet,1995-10-20,0.266,,0.3,1.0,1.4,0.32,3.4,10.6,6.68
3004,119-1-2,Hølevatnet,1995-10-20,,0.05,,0.5,0.6,0.44,4.1,5.1,6.53
3005,119-2-81,Nordre Torgrimsbutjern,1995-10-20,,,0.4,1.3,1.0,0.38,3.7,14.5,6.31
3006,119-4-3,Rødenessjøen,1995-10-20,0.262,0.03,0.3,1.1,0.8,0.25,3.0,6.9,6.99
3007,128-1-4,Stomperudtjernet,1995-10-20,0.346,0.02,1.6,2.1,3.3,1.36,6.4,14.0,7.66
3009,137-3-1,Sæbyvatnet,1995-10-20,,0.05,0.4,1.4,1.6,0.42,6.0,8.4,6.83
3010,217-3-1,Gjersjøen,1995-10-19,0.251,0.03,,2.0,7.0,0.12,2.2,5.8,7.64
3011,220-2-9,Bondivatnet,1995-10-20,0.335,0.07,0.3,0.6,0.6,0.64,10.0,4.5,8.16
3012,221-1-6,Lombergtjern,1995-10-20,0.165,0.03,0.4,0.5,0.8,0.38,5.4,11.1,6.32
3013,221-1-9,Lembruvatna,1995-10-20,,0.04,0.3,0.5,0.5,0.92,6.7,14.4,4.95
3014,221-3-2,Floen,1995-10-20,,,0.2,0.8,0.5,0.17,2.5,8.5,6.81
3015,227-2-1,Heia,1995-10-20,0.256,,0.2,0.7,0.6,0.32,2.3,6.9,6.79
3016,231-2-5,Tretjernet,1995-10-20,,,,0.5,0.5,0.15,0.5,5.9,7.59
3017,235-1-3,Sesvolltjernet,1995-10-19,0.103,,,,2.4,0.08,1.7,5.6,7.4
3018,236-1-12,Djuptjern,1995-10-20,,0.03,0.1,0.5,0.5,0.69,4.2,9.1,6.56
3019,236-2-4,Flasjøen,1995-10-20,0.239,0.02,0.3,0.5,0.5,0.62,3.8,12.5,5.65
3020,239-1-186,Buråstjern,1995-10-20,,0.02,,0.3,0.4,0.16,3.6,4.7,6.95
3021,239-2-3,Bundlitjernet,1995-10-20,,,,0.3,0.4,0.22,8.0,5.2,6.74
3022,239-2-10,Holtjernet,1995-10-20,,0.04,,0.3,0.2,0.09,1.7,3.9,7.09
3023,239-4-3,Hurdalsjøen,1995-10-20,,0.04,,0.4,0.4,0.08,4.4,2.9,6.93
3024,301-1-1,Steinsrudtjern,1995-10-19,,,,0.9,0.9,0.12,3.4,9.3,7.34
3025,301-2-1,Rottungen,1995-10-15,,0.03,,0.4,0.2,0.21,8.9,4.0,5.96
3026,301-3-1,Helgeren,1995-10-15,,0.03,,0.2,0.3,0.09,9.0,2.5,6.54
3027,402-1-28,Eintjern,1995-10-20,0.105,0.04,0.2,0.7,0.3,0.22,2.2,9.4,7.05
3028,402-2-7,Kjerketjerna,1995-10-20,0.13,0.03,0.2,0.2,0.2,0.67,5.6,9.6,5.0
3030,402-3-9,N Hærsjøen,1995-10-20,,,,0.6,0.3,0.17,2.0,6.1,6.37
3031,403-3-15,Brumundsjøen,1995-09-20,,0.04,0.2,1.7,2.5,0.13,5.2,6.5,6.21
3032,412-1-20,Kinnlitjernet,1995-11-13,,,,,0.1,0.12,0.8,11.1,7.84
3033,412-1-22,Ørtjernet,1995-11-13,0.322,0.03,0.2,1.3,0.4,0.75,16.1,11.0,5.09
3034,412-3-4,Sjusjøen,1995-11-13,,,,0.6,0.8,0.12,1.6,1.0,6.62
3035,412-5-1,Mjøsa,1995-11-15,,,0.3,1.3,1.9,,,1.9,7.29
3036,418-1-4,Vesle Otten,1995-10-20,,,,0.4,0.4,0.22,2.6,4.4,6.46
